Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																			
Дата голосования: 04.12.2011																																																																																																																			
																																																																																																																			
"Наименование Избирательной комиссии:    Новосибирск, Ленинская "																																																																																																																			
																																																																																																																			
Сводная таблица результатов выборов																																																																																																																			
																																																																																																																			
		Сумма	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837					
1	"Число избирателей, внесенных в список избирателей"	219617	49	2555	2608	2436	2779	1935	2001	1276	1210	1237	1472	2293	2042	1596	2766	2819	2555	2093	1471	2504	1134	909	2672	1326	1080	1713	2482	2520	2733	2744	1860	2310	2234	2234	2593	2642	2397	2257	2718	2687	2190	2475	2194	2311	2281	2165	2519	2253	183	1617	2752	1731	2585	1539	2618	2791	1518	1676	1728	1858	2044	1621	2204	2409	2384	2669	2616	2545	2721	2289	1817	2673	2668	2320	2487	2219	2153	1459	1549	1539	1724	1467	2487	1747	1642	2219	1701	1808	2129	1508	2485	2504	2195	2406	2502	1651	1577	904	2313	2749	2213	2405	2555	2300	1577	195	117	225					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	198130	60	2200	2300	2200	2500	1800	1700	1100	1100	1100	1300	2100	1800	1400	2500	2500	2300	1900	1300	2300	1000	750	2400	1200	1000	1500	2200	2300	2400	2500	1700	2000	2000	2000	2400	2400	2200	2100	2400	2300	2000	2300	2000	2100	2100	2000	2300	2000	170	1400	2400	1400	2310	1400	2400	2500	1400	1600	1600	1700	1800	1400	2000	2200	2200	2400	2400	2300	2500	2100	1700	2400	2400	2100	2300	2000	1800	1300	1400	1400	1500	1300	2300	1600	1500	2000	1500	1700	1900	1300	2300	2300	2000	2200	2300	1600	1400	800	2110	2500	2000	2200	2300	2200	1400	190	120	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	113606	49	1263	1426	1346	1352	1205	1177	690	638	724	831	1239	1090	858	1589	1327	1217	926	609	1226	465	451	1458	734	582	706	1289	1319	1405	1581	1049	1213	1106	1126	1282	1383	1216	1190	1380	1462	1269	1357	993	1284	1175	1166	1223	1178	136	749	1342	1038	1404	916	1455	1179	583	798	749	790	1076	728	1135	1098	1242	1170	1346	1352	1444	1243	927	1451	1375	1121	1313	1223	1113	745	871	812	930	748	1334	990	723	1033	787	948	1144	952	1172	1276	1258	1376	1382	818	861	440	1201	1420	1113	1309	1353	1302	682	46	54	206					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3495	0	38	18	12	19	16	0	40	26	30	41	42	64	47	38	39	49	70	53	60	26	6	17	27	13	101	19	25	47	19	21	65	22	28	41	31	21	38	18	18	30	14	29	30	23	52	21	28	18	63	25	36	44	21	19	54	26	20	32	18	20	23	45	33	29	38	28	19	24	21	16	22	34	22	20	22	13	33	25	26	19	20	32	34	15	23	19	33	41	41	37	35	37	44	35	15	22	51	54	28	51	57	42	34	34	144	63	14					
6	Число погашенных избирательных бюллетеней	81029	11	899	856	842	1129	579	523	370	436	346	428	819	646	495	873	1134	1034	904	638	1014	509	293	925	439	405	693	892	956	948	900	630	722	872	846	1077	986	963	872	1002	820	701	929	978	786	902	782	1056	794	16	588	1033	326	862	463	926	1267	791	782	819	892	704	649	820	1069	929	1192	1026	929	1032	836	757	927	991	957	967	755	674	522	504	562	551	532	934	576	762	944	694	719	715	307	1091	989	705	780	883	767	517	309	855	1052	836	834	905	864	684	0	3	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3492	0	38	18	12	19	16	0	40	26	30	41	42	64	47	38	39	49	70	53	60	26	6	17	27	13	101	19	25	47	19	21	65	22	28	41	31	21	38	18	18	30	14	29	30	23	52	21	28	18	63	25	36	44	21	19	54	26	20	32	18	20	23	45	33	29	38	28	19	24	21	16	22	34	22	20	22	13	33	25	26	19	20	32	34	15	23	19	31	41	41	37	35	37	44	35	15	22	51	54	28	51	57	42	34	34	143	63	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	113552	49	1259	1426	1345	1352	1205	1177	690	638	724	831	1239	1090	858	1589	1327	1217	926	609	1226	465	451	1458	734	582	706	1289	1319	1404	1581	1049	1213	1105	1124	1282	1383	1216	1190	1380	1460	1269	1357	993	1284	1175	1166	1223	1149	136	749	1342	1038	1403	915	1455	1178	583	798	749	790	1075	728	1135	1098	1242	1168	1346	1352	1444	1243	927	1450	1375	1121	1313	1220	1113	745	871	812	928	748	1333	990	723	1033	787	948	1144	952	1172	1275	1258	1376	1382	818	861	440	1201	1420	1113	1309	1353	1302	682	46	54	206					
9	Число недействительных избирательных бюллетеней	1335	0	6	13	12	10	13	11	11	9	5	5	11	13	15	24	17	21	16	14	22	13	5	15	5	15	9	12	45	26	19	4	13	10	12	10	12	10	13	23	13	10	8	16	4	15	17	20	21	1	7	13	14	9	10	8	11	7	13	7	11	15	6	10	8	14	14	22	26	10	22	6	29	12	8	15	21	13	4	6	5	22	8	11	18	6	11	12	15	11	6	13	5	13	12	21	10	14	6	21	12	10	12	17	17	7	0	0	5					
10	Число действительных избирательных бюллетеней	115709	49	1291	1431	1345	1361	1208	1166	719	655	749	867	1270	1141	890	1603	1349	1245	980	648	1264	478	452	1460	756	580	798	1296	1299	1425	1581	1066	1265	1117	1140	1313	1402	1227	1215	1375	1465	1289	1363	1006	1310	1183	1201	1224	1156	153	805	1354	1060	1438	926	1466	1221	602	805	774	797	1080	745	1170	1123	1257	1192	1352	1345	1458	1242	937	1443	1397	1135	1318	1221	1113	774	890	833	925	760	1354	1006	732	1045	794	964	1174	987	1196	1305	1282	1408	1396	823	869	485	1234	1436	1154	1354	1378	1319	709	189	117	215					
