Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Слободская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070					
1	"Число избирателей, внесенных в списки"	26717	727	92	276	270	801	206	642	305	254	235	194	79	2811	1490	1538	1526	1614	1745	752	1883	534	995	1020	112	352	312	64	414	120	660	497	346	478	885	126	101	245	434	808	138	72	462	102					
2	"Число бюллетеней, полученных участковыми комиссиями"	25300	680	85	260	240	790	210	620	270	220	200	180	80	2600	1350	1450	1450	1500	1650	700	1750	520	950	1000	110	340	280	60	390	110	670	490	350	450	850	120	105	230	420	800	140	65	460	105					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15007	424	66	189	187	396	100	433	211	133	150	110	46	1553	858	802	824	758	1020	321	963	328	596	655	79	189	205	49	235	69	334	319	190	305	487	65	59	143	257	465	86	55	244	49					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	958	30	8	10	5	94	67	6	0	9	11	26	8	35	32	21	16	10	15	18	66	28	39	12	4	33	16	1	14	0	46	21	7	6	61	27	12	18	39	40	4	0	22	21					
6	Число погашенных бюллетеней	9335	226	11	61	48	300	43	181	59	78	39	44	26	1012	460	627	610	732	615	361	721	164	315	333	27	118	59	10	141	41	290	150	153	139	302	28	34	69	124	295	50	10	194	35					
7	Число бюллетеней в переносных ящиках для голосования	958	30	8	10	5	94	67	6	0	9	11	26	8	35	32	21	16	10	15	18	66	28	39	12	4	33	16	1	14	0	46	21	7	6	61	27	12	18	39	40	4	0	22	21					
8	Число бюллетеней в стационарных ящиках для голосования	15003	424	66	189	187	396	100	433	211	133	150	110	46	1553	858	802	824	757	1020	321	961	328	596	655	79	189	205	49	235	69	334	318	190	305	487	65	59	143	257	465	86	55	244	49					
9	Число недействительных бюллетеней	327	4	1	4	0	2	4	14	0	3	3	2	0	21	26	29	16	25	9	16	13	5	12	22	2	6	2	1	9	4	27	8	5	6	6	1	1	2	1	13	0	0	0	2					
10	Число действительных бюллетеней	15634	450	73	195	192	488	163	425	211	139	158	134	54	1567	864	794	824	742	1026	323	1014	351	623	645	81	216	219	49	240	65	353	331	192	305	542	91	70	159	295	492	90	55	266	68					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	298	16	2	2	2	6	12	6	4	2	2	2	2	16	16	16	16	16	16	6	16	6	16	12	2	4	4	2	3	2	6	6	3	6	10	2	2	2	6	10	4	4	6	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	129	7	0	0	1	4	11	1	1	0	0	1	0	5	5	4	2	9	7	4	8	2	9	9	2	4	1	0	0	0	4	6	2	3	0	0	2	1	2	5	2	1	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	134	11	4	0	29	2	1	5	9	2	3	2	1	7	4	4	1	1	3	0	4	2	3	3	0	0	5	0	0	2	1	1	0	5	2	2	2	2	5	3	0	1	0	2					
14	Число погашенных открепительных удостоверений	169	9	2	2	1	2	1	5	3	2	2	1	2	11	11	12	14	7	9	2	8	4	7	3	0	0	3	2	3	2	2	0	1	3	10	2	0	1	4	5	2	3	2	4					
15	Число открепительных удостоверений выданных ТИК	13	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	4	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
18	"1. ""ЕДИНЕНИЕ"""	233	7	4	1	4	8	2	5	3	8	0	3	1	13	11	9	14	11	18	5	8	4	12	10	0	4	4	0	4	5	7	5	2	7	2	2	1	3	6	13	1	0	3	3					
		1.45%	1.54%	5.40%	0.50%	2.08%	1.63%	1.19%	1.13%	1.42%	5.63%	0.0%	2.20%	1.85%	0.81%	1.23%	1.09%	1.66%	1.43%	1.73%	1.47%	0.77%	1.12%	1.88%	1.49%	0.0%	1.80%	1.80%	0.0%	1.60%	7.24%	1.84%	1.47%	1.01%	2.25%	0.36%	2.17%	1.40%	1.86%	2.02%	2.57%	1.11%	0.0%	1.12%	4.28%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	439	14	0	9	11	27	3	17	2	5	6	10	2	55	19	37	28	14	34	10	27	9	7	11	1	4	1	4	8	0	8	6	3	16	7	1	0	1	3	8	0	2	8	1					
		2.75%	3.08%	0.0%	4.52%	5.72%	5.51%	1.79%	3.87%	0.94%	3.52%	3.72%	7.35%	3.70%	3.46%	2.13%	4.49%	3.33%	1.82%	3.28%	2.94%	2.62%	2.52%	1.10%	1.64%	1.20%	1.80%	0.45%	8.0%	3.21%	0.0%	2.10%	1.76%	1.52%	5.14%	1.27%	1.08%	0.0%	0.62%	1.01%	1.58%	0.0%	3.63%	3.00%	1.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	656	18	2	15	4	22	10	20	12	3	5	8	11	65	51	24	34	31	31	19	58	8	36	20	0	8	3	5	12	7	9	11	12	10	14	3	0	17	8	14	6	0	6	4					
		4.11%	3.96%	2.70%	7.53%	2.08%	4.48%	5.98%	4.55%	5.68%	2.11%	3.10%	5.88%	20.37%	4.09%	5.73%	2.91%	4.04%	4.04%	2.99%	5.60%	5.64%	2.24%	5.66%	2.99%	0.0%	3.60%	1.35%	10.0%	4.81%	10.14%	2.36%	3.24%	6.09%	3.21%	2.55%	3.26%	0.0%	10.55%	2.70%	2.77%	6.66%	0.0%	2.25%	5.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	387	12	3	5	12	14	3	15	0	1	6	5	1	47	31	22	15	17	32	11	30	7	13	3	1	6	1	2	7	4	8	7	2	3	11	1	0	3	4	9	0	0	11	2					
