Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Биробиджанская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123					
1	"Число избирателей, внесенных в списки"	9052	1437	875	695	635	346	423	969	121	92	200	857	355	213	746	223	163	270	181	251					
2	"Число бюллетеней, полученных участковыми комиссиями"	8917	1328	840	680	630	350	419	950	125	108	206	870	364	237	730	236	168	275	175	226					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	42	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	19	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6191	830	578	450	411	251	307	624	97	66	148	593	303	186	479	213	151	190	127	187					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	536	41	82	49	49	21	43	24	14	3	12	43	18	11	73	6	4	19	11	13					
6	Число погашенных бюллетеней	2148	457	180	181	170	78	69	302	14	16	46	234	43	40	178	17	13	47	37	26					
7	Число бюллетеней в переносных ящиках для голосования	578	41	82	49	49	21	43	24	14	26	12	43	18	11	73	6	4	38	11	13					
8	Число бюллетеней в стационарных ящиках для голосования	6191	830	578	450	411	251	307	624	97	66	148	593	303	186	479	213	151	190	127	187					
9	Число недействительных бюллетеней	116	4	18	3	10	3	7	12	6	0	5	10	1	8	12	5	0	5	3	4					
10	Число действительных бюллетеней	6653	867	642	496	450	269	343	636	105	92	155	626	320	189	540	214	155	223	135	196					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	255	20	30	15	15	10	15	20	5	10	10	30	10	15	20	5	5	5	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	107	14	12	8	0	0	11	6	0	6	3	21	9	1	5	1	0	1	1	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	181	38	9	16	15	4	8	6	2	5	3	5	6	4	5	3	3	3	9	37					
14	Число погашенных открепительных удостоверений	148	6	18	7	15	10	4	14	5	4	7	9	1	14	15	4	5	4	4	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	124	12	9	9	9	1	8	12	3	3	7	15	1	3	7	7	7	9	0	2					
		1.83%	1.37%	1.36%	1.80%	1.95%	0.36%	2.28%	1.85%	2.70%	3.26%	4.37%	2.35%	0.31%	1.52%	1.26%	3.19%	4.51%	3.94%	0.0%	1.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	100	19	21	11	6	2	5	10	0	2	2	1	4	2	8	1	0	3	3	0					
		1.47%	2.18%	3.18%	2.20%	1.30%	0.73%	1.42%	1.54%	0.0%	2.17%	1.25%	0.15%	1.24%	1.01%	1.44%	0.45%	0.0%	1.31%	2.17%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	83	8	7	4	13	4	3	13	2	3	1	11	5	0	5	0	0	1	2	1					
