Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Ядринская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101					
1	"Число избирателей, внесенных в списки избирателей"	24539	1445	3180	2846	509	229	234	88	495	610	311	497	375	228	457	285	467	625	330	314	247	205	374	262	553	818	490	237	353	233	241	514	238	235	74	279	512	288	497	446	409	661	340	298	224	265	176	552	398	300	295					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23230	1300	2800	2600	500	200	200	90	500	650	300	500	350	200	450	250	450	600	300	300	250	200	400	250	600	800	500	250	350	220	200	500	200	200	70	250	500	250	500	450	400	650	350	300	200	250	150	550	350	250	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16813	938	1983	1815	398	155	173	61	382	432	218	333	275	145	299	186	298	429	226	193	156	147	290	186	380	599	350	184	247	171	166	327	177	154	59	226	427	222	373	346	272	504	253	184	180	123	112	365	270	200	224					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1691	48	89	76	24	32	17	22	35	63	35	52	58	52	42	21	71	57	37	16	20	15	29	17	69	59	9	3	33	32	25	45	18	45	9	22	36	17	12	35	44	43	45	16	0	33	13	34	19	15	32					
6	Число погашенных избирательных бюллетеней	4726	314	728	709	78	13	10	7	83	155	47	115	17	3	109	43	81	114	37	91	74	38	81	47	151	142	141	63	70	17	9	128	5	1	2	2	37	11	115	69	84	103	52	100	20	94	25	151	61	35	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1691	48	89	76	24	32	17	22	35	63	35	52	58	52	42	21	71	57	37	16	20	15	29	17	69	59	9	3	33	32	25	45	18	45	9	22	36	17	12	35	44	43	45	16	0	33	13	34	19	15	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16813	938	1983	1815	398	155	173	61	382	432	218	333	275	145	299	186	298	429	226	193	156	147	290	186	380	599	350	184	247	171	166	327	177	154	59	226	427	222	373	346	272	504	253	184	180	123	112	365	270	200	224					
9	Число недействительных избирательных бюллетеней	249	26	25	19	9	0	6	0	1	10	3	5	2	1	3	1	3	6	2	5	0	1	5	5	2	12	13	0	1	7	7	5	3	2	1	3	1	6	0	4	6	12	2	7	2	5	1	2	2	4	1					
10	Число действительных избирательных бюллетеней	18255	960	2047	1872	413	187	184	83	416	485	250	380	331	196	338	206	366	480	261	204	176	161	314	198	447	646	346	187	279	196	184	367	192	197	67	245	462	233	385	377	310	535	296	193	178	151	124	397	287	211	255					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1959	100	170	130	40	20	20	20	60	70	30	40	40	20	40	20	40	70	30	30	20	20	37	33	60	70	40	20	30	20	20	40	20	20	10	30	50	20	50	40	30	50	30	30	20	20	20	40	30	20	29					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1303	16	83	83	38	20	19	15	53	68	30	40	40	20	9	5	36	56	13	11	8	2	32	26	56	70	40	20	24	12	6	28	10	17	4	18	26	6	40	21	30	28	14	21	17	11	4	21	15	9	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	469	22	92	85	8	3	5	7	14	8	11	8	9	10	6	2	4	14	3	5	2	5	4	3	8	21	2	0	5	5	3	6	5	2	3	1	8	2	14	8	7	7	2	2	3	2	2	8	3	2	8					
14	Число погашенных неиспользованных открепительных удостоверений	656	84	87	47	2	0	1	5	7	2	0	0	0	0	31	15	4	14	17	19	12	18	5	7	4	0	0	0	6	8	14	12	10	3	6	12	24	14	10	19	0	22	16	9	3	9	16	19	15	11	17					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	1	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	1.Политическая партия «Аграрная партия России»	360	9	47	24	9	1	3	1	8	5	8	6	1	3	2	5	7	15	1	8	8	5	6	8	6	10	12	2	6	3	6	7	1	3	1	3	9	4	13	8	4	18	6	6	4	5	8	3	20	1	1					
		1.95%	0.91%	2.27%	1.27%	2.13%	0.53%	1.58%	1.20%	1.92%	1.01%	3.16%	1.56%	0.30%	1.52%	0.59%	2.42%	1.90%	3.09%	0.38%	3.83%	4.55%	3.09%	1.88%	3.94%	1.34%	1.52%	3.34%	1.07%	2.14%	1.48%	3.14%	1.88%	0.51%	1.51%	1.47%	1.21%	1.94%	1.67%	3.38%	2.10%	1.27%	3.29%	2.01%	3.00%	2.22%	3.21%	6.40%	0.75%	6.92%	0.47%	0.39%					
19	2.Всероссийская политическая партия «Гражданская Сила»	55	1	12	8	0	1	1	2	1	0	2	0	0	1	1	2	0	1	0	1	0	0	3	0	3	1	0	0	0	2	2	2	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0					
		0.30%	0.10%	0.58%	0.42%	0.00%	0.53%	0.53%	2.41%	0.24%	0.00%	0.79%	0.00%	0.00%	0.51%	0.29%	0.97%	0.00%	0.21%	0.00%	0.48%	0.00%	0.00%	0.94%	0.00%	0.67%	0.15%	0.00%	0.00%	0.00%	0.99%	1.05%	0.54%	0.51%	0.00%	1.47%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.50%	0.56%	0.64%	0.00%	0.25%	0.35%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	26	2	3	0	1	1	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	3	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	2	0	0					
		0.14%	0.20%	0.14%	0.00%	0.24%	0.53%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.48%	0.00%	0.00%	0.00%	1.48%	0.22%	0.00%	0.28%	0.00%	0.36%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.18%	0.34%	0.00%	0.56%	0.00%	0.00%	0.25%	0.69%	0.00%	0.00%					
