Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    территориальная избирательная комиссия Гусь-Хрустального района																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517					
1	"Число избирателей, внесенных в списки избирателей"	38112	778	204	439	712	593	326	129	207	348	597	629	686	513	590	564	290	604	311	1806	774	409	1662	148	1583	552	228	2497	439	874	516	1641	380	2001	641	193	1863	1964	1863	1794	766	440	180	2073	1471	433	401					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	29454	600	200	350	500	450	250	125	194	250	450	500	520	400	450	420	220	550	250	1400	600	350	1300	152	1200	420	200	2000	350	650	400	1300	300	1500	500	172	1400	1500	1400	1300	600	350	181	1500	1100	350	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17983	390	117	226	364	279	139	55	108	189	250	431	379	244	295	115	125	364	123	1191	367	153	725	47	737	239	95	879	116	252	181	784	151	1066	199	77	1079	1154	1285	526	314	187	65	972	592	167	190					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3271	35	14	12	7	79	36	34	19	13	144	27	52	56	68	131	53	100	87	187	56	79	107	33	136	49	39	125	31	137	135	82	48	115	183	78	43	60	67	139	75	105	39	37	40	39	40					
6	Число погашенных избирательных бюллетеней	8200	175	69	112	129	92	75	36	67	48	56	42	89	100	87	174	42	86	40	22	177	118	468	72	327	132	66	996	203	261	84	434	101	319	118	17	278	286	48	635	211	58	77	491	468	144	70					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3271	35	14	12	7	79	36	34	19	13	144	27	52	56	68	131	53	100	87	187	56	79	107	33	136	49	39	125	31	137	135	82	48	115	183	78	43	60	67	139	75	105	39	37	40	39	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17981	390	117	226	364	279	139	55	108	189	250	431	379	244	295	115	125	364	123	1190	367	153	725	47	736	239	95	879	116	252	181	784	151	1066	199	77	1079	1154	1285	526	314	187	65	972	592	167	190					
9	Число недействительных избирательных бюллетеней	195	3	2	3	1	4	1	0	2	2	7	9	7	5	4	2	1	7	1	10	5	1	10	0	8	1	0	8	3	2	3	5	1	23	1	1	15	8	11	4	2	1	0	6	4	0	1					
10	Число действительных избирательных бюллетеней	21057	422	129	235	370	354	174	89	125	200	387	449	424	295	359	244	177	457	209	1367	418	231	822	80	864	287	134	996	144	387	313	861	198	1158	381	154	1107	1206	1341	661	387	291	104	1003	628	206	229					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	555	10	5	5	10	10	5	5	5	5	10	10	10	10	10	5	5	15	5	20	10	15	20	5	20	5	5	40	5	10	10	50	5	25	10	5	20	20	20	20	10	5	5	25	20	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	347	10	1	5	7	6	3	0	5	3	4	2	4	7	9	2	2	11	1	9	10	15	7	0	15	4	3	35	5	2	5	50	3	23	1	1	11	9	20	9	10	3	1	5	4	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	148	5	1	2	7	1	1	5	5	1	5	3	0	0	0	2	2	4	3	5	0	1	7	1	7	1	1	9	2	4	3	5	3	8	2	2	3	5	10	4	1	2	2	8	3	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	208	0	4	0	3	4	2	5	0	2	6	8	6	3	1	3	3	4	4	11	0	0	13	5	5	1	2	5	0	8	5	0	2	2	9	4	9	11	0	11	0	2	4	20	16	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	1.Политическая партия «Аграрная партия России»	510	11	2	6	3	15	10	1	1	12	22	6	7	9	18	9	8	18	9	28	26	11	11	0	15	2	2	16	3	20	10	10	7	17	19	1	30	16	12	16	12	31	5	8	12	2	1					
		2.40%	2.59%	1.53%	2.52%	0.81%	4.19%	5.71%	1.12%	0.79%	5.94%	5.58%	1.31%	1.62%	3.00%	4.96%	3.66%	4.49%	3.88%	4.29%	2.03%	6.15%	4.74%	1.32%	0.00%	1.72%	0.69%	1.49%	1.59%	2.04%	5.14%	3.16%	1.15%	3.52%	1.44%	4.97%	0.65%	2.67%	1.32%	0.89%	2.41%	3.08%	10.62%	4.81%	0.79%	1.90%	0.97%	0.43%					
19	2.Всероссийская политическая партия «Гражданская Сила»	95	0	2	0	0	1	0	1	0	1	2	2	0	0	1	0	1	3	0	18	3	0	5	0	2	1	0	9	0	0	0	1	5	8	2	1	5	3	6	3	3	1	0	1	0	4	0					
		0.45%	0.00%	1.53%	0.00%	0.00%	0.28%	0.00%	1.12%	0.00%	0.50%	0.51%	0.44%	0.00%	0.00%	0.28%	0.00%	0.56%	0.65%	0.00%	1.31%	0.71%	0.00%	0.60%	0.00%	0.23%	0.35%	0.00%	0.90%	0.00%	0.00%	0.00%	0.12%	2.51%	0.68%	0.52%	0.65%	0.45%	0.25%	0.44%	0.45%	0.77%	0.34%	0.00%	0.10%	0.00%	1.94%	0.00%					
20	3.Политическая партия «Демократическая партия России»	19	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	2	1	1	1	2	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0					
		0.09%	0.24%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.43%	0.00%	0.00%	0.24%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.20%	0.68%	0.26%	0.32%	0.23%	0.00%	0.08%	0.00%	0.00%	0.18%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%					
