Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Пестяковская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643					
1	"Число избирателей, внесенных в список"	6655	305	289	121	147	482	80	125	106	653	280	1498	1913	124	228	304					
2	Число полученных избирательных бюллетеней	6107	277	256	126	147	441	80	131	104	593	247	1357	1744	129	200	275					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3643	159	143	71	59	244	59	58	61	326	166	842	1085	80	120	170					
5	"Число избирательных бюллетеней, выданных вне помещения"	852	50	67	25	47	47	4	24	22	114	64	99	137	9	59	84					
6	Число погашенных избирательных бюллетеней	1612	68	46	30	41	150	17	49	21	153	17	416	522	40	21	21					
7	Число избирательных бюллетеней в переносных ящиках	852	50	67	25	47	47	4	24	22	114	64	99	137	9	59	84					
8	Число бюллетеней в стационарных ящиках для голосования	3643	159	143	71	59	244	59	58	61	326	166	842	1085	80	120	170					
9	Число недействительных избирательных бюллетеней	24	0	2	1	1	3	0	0	0	0	1	5	8	0	1	2					
10	Число действительных избирательных бюллетеней	4471	209	208	95	105	288	63	82	83	440	229	936	1214	89	178	252					
11	Число полученных открепительных  удостоверений	99	5	1	1	4	6	1	7	1	8	9	23	22	3	4	4					
12	Число выданных открепительных удостоверений	84	5	1	0	1	6	0	6	0	8	8	20	22	2	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	2	6	2	2	1	2	2	3	4	3	7	5	2	3	0					
14	Число неиспользованных открепительных удостоверений	15	0	0	1	3	0	1	1	1	0	1	3	0	1	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	119	3	2	3	4	9	0	1	2	16	9	28	24	4	6	8					
		2.65%	1.44%	0.95%	3.12%	3.77%	3.09%	0.00%	1.22%	2.41%	3.64%	3.91%	2.98%	1.96%	4.49%	3.35%	3.15%					
19	. Малышкин Олег Александрович	137	2	7	3	2	6	3	1	1	17	3	33	45	2	5	7					
		3.05%	0.96%	3.33%	3.12%	1.89%	2.06%	4.76%	1.22%	1.20%	3.86%	1.30%	3.51%	3.68%	2.25%	2.79%	2.76%					
20	. Миронов Сергей Михайлович	60	1	6	4	0	1	2	0	2	7	1	12	18	2	2	2					
		1.33%	0.48%	2.86%	4.17%	0.00%	0.34%	3.17%	0.00%	2.41%	1.59%	0.43%	1.28%	1.47%	2.25%	1.12%	0.79%					
21	. Путин Владимир Владимирович	3055	157	158	65	90	176	40	59	58	310	174	606	836	70	126	130					
		67.96%	75.12%	75.24%	67.71%	84.91%	60.48%	63.49%	71.95%	69.88%	70.45%	75.65%	64.40%	68.41%	78.65%	70.39%	51.18%					
22	. Хакамада Ирина Муцуовна	97	3	0	0	4	3	2	1	6	6	4	25	34	1	4	4					
		2.16%	1.44%	0.00%	0.00%	3.77%	1.03%	3.17%	1.22%	7.23%	1.36%	1.74%	2.66%	2.78%	1.12%	2.23%	1.57%					
23	. Харитонов Николай Михайлович	851	33	28	16	4	86	14	19	14	68	29	200	208	9	29	94					
		18.93%	15.79%	13.33%	16.67%	3.77%	29.55%	22.22%	23.17%	16.87%	15.45%	12.61%	21.25%	17.02%	10.11%	16.20%	37.01%					
																						
24	Против всех	152	10	7	4	1	7	2	1	0	16	9	32	49	1	6	7					
		3.38%	4.78%	3.33%	4.17%	0.94%	2.41%	3.17%	1.22%	0.00%	3.64%	3.91%	3.40%	4.01%	1.12%	3.35%	2.76%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
