Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Кувандыкская городская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37579	2440	1629	1443	1889	781	1937	925	1461	710	1270	1351	1286	567	2151	819	600	360	434	75	175	241	439	502	248	160	584	593	308	126	81	51	528	135	1139	128	178	151	881	544	503	423	142	701	144	579	382	190	667	82	86	909	216	72	379	434	158	1050	372	329	441									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38112	2433	1638	1443	2020	788	1960	941	1491	716	1288	1376	1299	571	2178	830	606	371	441	73	178	248	460	505	252	165	589	608	314	130	84	53	536	139	1141	131	180	155	882	553	496	426	146	708	147	579	386	193	677	81	89	923	222	73	384	434	154	1071	377	333	447									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12606	664	538	494	568	338	574	333	425	239	418	436	390	177	791	262	158	98	181	34	65	98	168	184	94	93	181	213	127	48	32	32	194	53	454	45	82	44	294	211	157	132	60	212	52	143	110	90	205	17	37	384	104	40	175	175	28	345	101	65	144									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1079	7	6	8	14	5	5	7	10	21	19	13	30	17	19	15	3	13	8	3	23	20	61	19	17	9	26	23	18	9	5	0	8	8	9	7	13	22	32	22	35	4	0	68	17	27	24	4	7	0	2	42	0	0	24	17	42	44	44	77	27									
6	Число погашенных избирательных бюллетеней	24427	1762	1094	941	1438	445	1381	601	1056	456	851	927	879	377	1368	553	445	260	252	36	90	130	231	302	141	63	382	372	169	73	47	21	334	78	678	79	85	89	556	320	304	290	86	428	78	409	252	99	465	64	50	497	118	33	185	242	84	682	232	191	276									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1079	7	6	8	14	5	5	7	10	21	19	13	30	17	19	15	3	13	8	3	23	20	61	19	17	9	26	23	18	9	5	0	8	8	9	7	13	22	32	22	35	4	0	68	17	27	24	4	7	0	2	42	0	0	24	17	42	44	44	77	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12599	664	532	494	568	338	574	333	425	239	418	436	390	177	791	262	158	98	181	34	65	98	168	184	94	93	181	213	127	48	32	32	194	53	454	45	82	44	294	211	157	132	60	212	52	143	110	90	205	17	37	383	104	40	175	175	28	345	101	65	144									
9	Число недействительных избирательных бюллетеней	292	11	17	10	3	5	9	7	8	2	7	7	11	7	17	9	3	0	3	0	0	1	4	4	1	3	9	10	0	1	2	1	3	0	12	1	4	0	2	10	13	2	4	7	0	2	4	2	10	0	2	7	0	3	9	6	1	12	1	0	3									
10	Число действительных избирательных бюллетеней	13386	660	521	492	579	338	570	333	427	258	430	442	409	187	793	268	158	111	186	37	88	117	225	199	110	99	198	226	145	56	35	31	199	61	451	51	91	66	324	223	179	134	56	273	69	168	130	92	202	17	37	418	104	37	190	186	69	377	144	142	168									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	308	17	11	10	14	6	13	7	12	5	11	10	9	4	15	6	3	3	4	2	2	2	8	4	2	2	4	4	3	2	2	2	4	2	8	2	2	2	7	4	4	4	2	5	2	5	3	2	8	2	2	7	2	2	5	3	2	7	3	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	152	4	5	6	7	3	6	5	10	1	11	7	6	2	11	5	2	2	1	2	0	0	6	0	0	1	1	4	0	1	1	0	2	1	2	0	0	0	0	2	0	0	0	1	0	0	3	0	6	0	0	7	1	0	5	0	0	4	2	4	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	116	5	2	1	1	0	3	3	1	2	4	0	2	1	4	3	1	0	0	6	0	0	2	0	1	0	3	0	1	2	1	1	0	1	4	0	2	0	1	0	10	4	0	6	2	7	5	1	2	4	0	2	0	2	4	2	2	2	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	156	13	6	4	7	3	7	2	2	4	0	3	3	2	4	1	1	1	3	0	2	2	2	4	2	1	3	0	3	1	1	2	2	1	6	2	2	2	7	2	4	4	2	4	2	5	0	2	2	2	2	0	1	2	0	3	2	3	1	1	1									
