Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Бурзянская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №3462									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11453	332	285	232	313	262	272	424	195	228	241	279	42	345	260	196	64	310	163	73	466	273	50	189	92	345	223	440	640	568	415	305	368	823	199	735	334	472									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12199	353	303	264	345	285	299	477	214	239	269	322	40	350	281	211	71	315	173	81	487	290	51	198	94	356	233	444	729	657	420	321	402	834	220	779	314	478									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8096	235	194	192	251	169	235	339	124	176	200	180	33	251	163	148	53	246	139	63	316	185	33	131	85	215	186	283	431	314	290	261	276	537	154	470	247	291									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	445	14	16	9	11	16	8	16	11	9	11	7	0	13	16	5	3	9	4	8	25	19	1	13	2	17	6	13	19	6	6	12	24	16	8	36	16	20									
6	Число погашенных избирательных бюллетеней	3658	104	93	63	83	100	56	122	79	54	58	135	7	86	102	58	15	60	30	10	146	86	17	54	7	124	41	148	279	337	124	48	102	281	58	273	51	167									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	445	14	16	9	11	16	8	16	11	9	11	7	0	13	16	5	3	9	4	8	25	19	1	13	2	17	6	13	19	6	6	12	24	16	8	36	16	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8096	235	194	192	251	169	235	339	124	176	200	180	33	251	163	148	53	246	139	63	316	185	33	131	85	215	186	283	431	314	290	261	276	537	154	470	247	291									
9	Число недействительных избирательных бюллетеней	276	15	4	0	0	7	0	10	3	32	4	8	0	1	9	8	1	5	7	1	24	2	1	9	0	14	4	12	30	11	14	3	12	2	0	8	5	10									
10	Число действительных избирательных бюллетеней	8265	234	206	201	262	178	243	345	132	153	207	179	33	263	170	145	55	250	136	70	317	202	33	135	87	218	188	284	420	309	282	270	288	551	162	498	258	301									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	510	10	15	15	23	9	10	21	5	8	23	25	1	12	20	5	9	22	23	10	10	11	0	11	6	37	7	19	14	14	8	15	24	9	20	20	9	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	510	10	15	15	23	9	10	21	5	8	23	25	1	12	20	5	9	22	23	10	10	11	0	11	6	37	7	19	14	14	8	15	24	9	20	20	9	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	121	9	2	3	3	3	0	3	1	4	0	0	3	2	4	5	2	4	3	1	4	4	0	2	5	1	1	2	7	3	6	3	3	9	0	10	4	5									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	240	21	0	20	9	17	0	14	15	7	1	0	0	1	0	15	0	8	14	0	25	12	0	0	0	0	10	1	1	1	2	0	0	4	0	1	21	20									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	53	2	0	1	4	0	1	4	1	1	0	0	1	2	2	1	0	1	0	0	3	2	0	1	0	5	2	2	5	1	2	1	0	3	0	2	3	0									
		0.62%	0.80%	0.00%	0.50%	1.53%	0.00%	0.41%	1.13%	0.74%	0.54%	0.00%	0.00%	3.03%	0.76%	1.12%	0.65%	0.00%	0.39%	0.00%	0.00%	0.88%	0.98%	0.00%	0.69%	0.00%	2.16%	1.04%	0.68%	1.11%	0.31%	0.68%	0.37%	0.00%	0.54%	0.00%	0.40%	1.14%	0.00%									
