Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Аннинская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157					
1	"Число избирателей, внесенных в списки избирателей"	38655	1097	1085	1436	2016	1396	1663	1010	1569	1217	1372	1031	1079	937	428	517	522	223	1136	503	182	570	788	335	470	243	351	187	242	445	299	113	903	414	923	476	401	344	436	140	291	172	620	121	115	759	947	568	642	889	1033	942	902	634	516	189	538	278					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	38451	1049	1000	1446	2030	1357	1665	975	1495	1162	1324	1068	1082	935	435	526	530	225	1150	509	184	566	788	339	473	243	355	183	241	450	311	115	905	411	940	470	399	342	445	146	292	172	625	122	116	756	960	573	648	881	1030	945	900	639	517	189	539	278					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28226	978	662	1136	1654	1066	1341	637	1085	875	947	636	853	759	320	316	454	111	943	292	105	365	567	310	356	164	229	95	188	379	200	78	654	342	706	226	124	268	348	81	169	100	497	119	112	637	663	324	481	703	847	506	652	372	411	134	408	241					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	8092	70	281	183	165	94	227	200	216	125	248	326	167	162	105	190	52	108	173	144	75	76	215	21	109	75	120	86	50	58	82	35	242	61	212	244	264	74	85	58	101	70	117	0	0	119	284	237	146	144	155	416	240	258	105	55	130	37					
6	Число погашенных избирательных бюллетеней	2133	1	57	127	211	197	97	138	194	162	129	106	62	14	10	20	24	6	34	73	4	125	6	8	8	4	6	2	3	13	29	2	9	8	22	0	11	0	12	7	22	2	11	3	4	0	13	12	21	34	28	23	8	9	1	0	1	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8092	70	281	183	165	94	227	200	216	125	248	326	167	162	105	190	52	108	173	144	75	76	215	21	109	75	120	86	50	58	82	35	242	61	212	244	264	74	85	58	101	70	117	0	0	119	284	237	146	144	155	416	240	258	105	55	130	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28221	978	662	1136	1654	1066	1340	637	1085	875	947	636	853	759	320	316	454	111	943	292	105	365	567	310	356	164	229	95	188	379	200	78	654	342	706	226	124	268	348	81	169	100	497	119	112	635	663	324	481	703	847	506	650	372	411	134	408	241					
9	Число недействительных избирательных бюллетеней	600	0	40	9	3	17	10	18	16	14	5	6	54	5	7	21	0	0	5	2	0	10	59	2	2	0	0	0	0	3	21	0	6	3	0	3	1	29	17	0	18	14	42	0	0	31	2	22	45	3	19	3	6	7	0	0	0	0					
10	Число действительных избирательных бюллетеней	35713	1048	903	1310	1816	1143	1557	819	1285	986	1190	956	966	916	418	485	506	219	1111	434	180	431	723	329	463	239	349	181	238	434	261	113	890	400	918	467	387	313	416	139	252	156	572	119	112	723	945	539	582	844	983	919	884	623	516	189	538	278					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	743	12	20	20	25	25	33	20	25	20	25	25	14	14	14	7	10	7	20	32	6	40	11	14	9	9	2	9	9	9	15	6	23	0	11	7	6	6	10	6	6	10	6	6	6	7	7	7	15	15	15	15	15	7	10	7	7	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	486	7	14	10	25	18	33	20	24	11	25	12	14	3	4	7	10	7	8	32	6	40	2	14	1	0	1	0	2	9	15	2	21	0	4	4	4	0	10	6	2	4	3	1	0	3	3	7	14	3	2	2	8	1	7	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	223	2	10	20	3	7	4	10	11	12	4	8	2	2	2	1	1	5	8	6	2	10	5	1	0	1	0	1	5	2	2	3	5	4	0	4	3	1	6	1	3	1	4	2	1	4	2	6	3	4	1	2	5	3	2	2	4	0					
14	Число погашенных неиспользованных открепительных удостоверений	257	5	6	10	0	7	0	0	1	9	0	13	0	11	10	0	0	0	12	0	0	0	9	0	8	9	1	9	7	0	0	4	2	0	7	3	2	6	0	0	4	6	3	5	6	4	4	0	1	12	13	13	7	6	3	6	7	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	1.Политическая партия «Аграрная партия России»	469	4	14	15	10	14	32	17	17	8	18	8	9	13	18	12	7	5	19	8	3	10	13	9	3	4	2	1	0	11	4	0	8	2	4	13	22	9	5	0	6	1	8	8	2	5	12	7	10	0	17	9	10	2	1	0	0	0					
		1.29%	0.38%	1.48%	1.14%	0.55%	1.21%	2.04%	2.03%	1.31%	0.80%	1.51%	0.83%	0.88%	1.41%	4.24%	2.37%	1.38%	2.28%	1.70%	1.83%	1.67%	2.27%	1.66%	2.72%	0.65%	1.67%	0.57%	0.55%	0.00%	2.52%	1.42%	0.00%	0.89%	0.50%	0.44%	2.77%	5.67%	2.63%	1.15%	0.00%	2.22%	0.59%	1.30%	6.72%	1.79%	0.66%	1.27%	1.25%	1.59%	0.00%	1.70%	0.98%	1.12%	0.32%	0.19%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	100	0	3	7	3	5	3	7	5	5	2	6	3	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	33	2	0	0	2	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0					
