Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Завьяловская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16265	1944	2261	1807	163	793	499	1021	327	1115	1464	974	669	502	1588	1138									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13000	1700	1800	1600	150	600	400	800	250	900	1100	700	500	400	1200	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6560	664	952	675	81	364	235	351	156	473	601	378	317	290	610	413									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	464	28	25	65	12	33	6	60	4	55	53	50	28	15	6	24									
6	Число погашенных избирательных бюллетеней	5976	1008	823	860	57	203	159	389	90	372	446	272	155	95	584	463									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	464	28	25	65	12	33	6	60	4	55	53	50	28	15	6	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6555	660	952	675	81	364	235	351	156	473	600	378	317	290	610	413									
9	Число недействительных избирательных бюллетеней	211	17	30	23	5	16	7	13	3	13	21	9	14	12	16	12									
10	Число действительных избирательных бюллетеней	6808	671	947	717	88	381	234	398	157	515	632	419	331	293	600	425									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	119	12	22	20	2	5	5	5	3	5	7	5	5	5	10	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	59	9	16	14	1	0	1	2	1	0	2	1	2	2	3	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	2	9	5	0	2	4	4	2	3	3	2	2	1	4	7									
14	Число погашенных неиспользованных открепительных удостоверений	60	3	6	6	1	5	4	3	2	5	5	4	3	3	7	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	46	3	11	5	0	2	3	3	2	5	4	0	0	2	3	3									
		0.66%	0.44%	1.13%	0.68%	0.00%	0.50%	1.24%	0.73%	1.25%	0.95%	0.61%	0.00%	0.00%	0.66%	0.49%	0.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	260	14	35	28	2	13	12	7	11	21	30	25	14	8	22	18									
		3.70%	2.03%	3.58%	3.78%	2.15%	3.27%	4.98%	1.70%	6.88%	3.98%	4.59%	5.84%	4.06%	2.62%	3.57%	4.12%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	133	14	14	10	1	13	6	6	0	8	4	5	13	6	10	23									
		1.89%	2.03%	1.43%	1.35%	1.08%	3.27%	2.49%	1.46%	0.00%	1.52%	0.61%	1.17%	3.77%	1.97%	1.62%	5.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2353	203	306	205	30	151	70	161	77	138	266	87	154	121	257	127									
		33.52%	29.51%	31.32%	27.70%	32.26%	38.04%	29.05%	39.17%	48.13%	26.14%	40.74%	20.33%	44.64%	39.67%	41.72%	29.06%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	1	5	4	0	0	0	1	0	4	0	2	0	0	1	1									
		0.27%	0.15%	0.51%	0.54%	0.00%	0.00%	0.00%	0.24%	0.00%	0.76%	0.00%	0.47%	0.00%	0.00%	0.16%	0.23%									
