Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																				
Дата голосования: 02.12.2007																																																				
																																																				
Наименование Избирательной комиссии:    Сокольская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699					
1	"Число избирателей, внесенных в списки избирателей"	44139	747	788	903	861	1597	1851	1771	1792	1795	1855	1519	1596	1514	1538	848	960	1831	1609	1736	1677	967	539	1579	1585	2034	1689	303	267	201	327	161	95	519	113	1037	194	467	291	654	828	218	412	711	111	49					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35610	595	610	725	730	1285	1510	1430	1450	1435	1510	1230	1280	1220	1230	665	770	1470	1290	1405	1350	780	430	1270	1270	1630	1330	240	215	165	260	135	85	415	85	830	150	370	240	530	675	170	340	590	120	95					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22092	301	288	442	500	873	881	1041	926	1026	1035	730	802	906	754	323	420	942	794	917	804	428	224	746	789	1206	850	116	153	97	104	81	57	191	36	487	91	276	143	306	316	96	189	336	41	28					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2145	19	52	34	22	27	19	21	34	29	35	23	34	22	43	56	74	34	31	34	44	54	47	15	19	32	60	70	24	34	79	28	16	137	38	121	25	45	43	140	163	28	59	114	46	21					
6	Число погашенных избирательных бюллетеней	11373	275	270	249	208	385	610	368	490	380	440	477	444	292	433	286	276	494	465	454	502	298	159	509	462	392	420	54	38	34	77	26	12	87	11	222	34	49	54	84	196	46	92	140	33	46					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2145	19	52	34	22	27	19	21	34	29	35	23	34	22	43	56	74	34	31	34	44	54	47	15	19	32	60	70	24	34	79	28	16	137	38	121	25	45	43	140	163	28	59	114	46	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22091	301	288	442	500	873	881	1041	926	1026	1035	730	802	906	754	323	420	942	794	917	804	428	224	745	789	1206	850	116	153	97	104	81	57	191	36	487	91	276	143	306	316	96	189	336	41	28					
9	Число недействительных избирательных бюллетеней	150	1	2	2	2	11	15	6	7	7	7	0	7	5	5	2	2	7	3	4	4	6	3	8	6	7	3	0	1	0	1	0	0	5	0	3	0	1	1	0	0	0	2	2	2	0					
10	Число действительных избирательных бюллетеней	24086	319	338	474	520	889	885	1056	953	1048	1063	753	829	923	792	377	492	969	822	947	844	476	268	752	802	1231	907	186	176	131	182	109	73	323	74	605	116	320	185	446	479	124	246	448	85	49					
