Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    Тотемская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779					
1	"Число избирателей, внесенных в списки избирателей"	20542	1168	1022	992	1200	1402	1088	1404	348	234	231	153	157	582	206	286	543	144	227	286	148	162	1228	978	1201	806	961	245	201	1193	333	306	358	436	313					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16400	820	720	700	930	1010	770	980	350	250	200	150	150	550	250	250	500	150	250	250	150	150	1030	730	860	580	720	250	200	850	300	300	350	400	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11460	611	570	554	679	819	646	716	232	179	103	64	113	278	140	134	324	123	107	174	101	90	896	548	563	331	488	150	100	648	192	157	162	258	210					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2372	78	73	42	93	47	51	68	60	20	82	66	13	180	13	58	42	13	57	55	18	58	32	171	162	144	178	48	38	94	14	38	132	90	44					
6	Число погашенных избирательных бюллетеней	2568	131	77	104	158	144	73	196	58	51	15	20	24	92	97	58	134	14	86	21	31	2	102	11	135	105	54	52	62	108	94	105	56	52	46					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2372	78	73	42	93	47	51	68	60	20	82	66	13	180	13	58	42	13	57	55	18	58	32	171	162	144	178	48	38	94	14	38	132	90	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11460	611	570	554	679	819	646	716	232	179	103	64	113	278	140	134	324	123	107	174	101	90	896	548	563	331	488	150	100	648	192	157	162	258	210					
9	Число недействительных избирательных бюллетеней	86	6	2	4	4	5	7	5	0	1	3	0	1	1	1	4	2	0	2	1	0	3	6	3	3	5	7	1	1	5	0	0	0	0	3					
10	Число действительных избирательных бюллетеней	13746	683	641	592	768	861	690	779	292	198	182	130	125	457	152	188	364	136	162	228	119	145	922	716	722	470	659	197	137	737	206	195	294	348	251					
