Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
Наименование Избирательной комиссии:    Московская N27																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1819					
1	"Число избирателей, внесенных в списки избирателей"	95215	2593	2219	2035	2775	2013	2843	2847	2617	2343	1744	2185	1901	2362	1887	1562	1486	2791	2145	2850	2336	2092	2098	2488	2344	1580	1665	1721	1192	1418	1281	2110	2326	2149	2201	2357	2454	1446	719	2214	1836	2086	2338	2195	292	1105	2821	1153					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	81273	2000	2000	1700	2500	1700	2500	2800	2300	2000	1500	2000	1500	2000	1500	1200	1100	2300	1800	2500	2000	1800	1800	2000	2000	1200	1500	1500	1000	1200	1000	1700	2000	1800	1800	2000	2100	1100	700	2000	1500	1700	2000	1800	273	1000	2800	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	48161	1363	1082	1034	1687	1032	1472	1459	1269	1109	780	1070	941	1136	884	774	711	1248	1155	1266	1278	921	1050	1292	1142	841	727	963	667	742	661	1025	1223	1131	1202	1201	1249	682	365	1175	838	1123	1187	1077	100	487	1875	465					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1246	43	26	25	9	24	36	31	39	38	28	27	16	35	20	22	21	39	15	24	32	13	15	27	38	12	17	13	25	20	27	30	31	35	21	23	18	5	22	20	32	28	13	38	161	12	0	0					
6	Число погашенных избирательных бюллетеней	31866	594	892	641	804	644	992	1310	992	853	692	903	543	829	596	404	368	1013	630	1210	690	866	735	681	820	347	756	524	308	438	312	645	746	634	577	776	833	413	313	805	630	549	800	685	12	501	925	635					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1246	43	26	25	9	24	36	31	39	38	28	27	16	35	20	22	21	39	15	24	32	13	15	27	38	12	17	13	25	20	27	30	31	35	21	23	18	5	22	20	32	28	13	38	161	12	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48036	1361	1078	1029	1681	1032	1472	1459	1269	1109	780	1070	935	1101	881	774	711	1248	1155	1266	1246	921	1050	1282	1140	841	726	962	667	742	661	1025	1220	1130	1202	1197	1249	677	365	1175	838	1120	1187	1075	100	487	1875	465					
9	Число недействительных избирательных бюллетеней	478	17	12	8	32	8	15	17	13	13	4	9	6	13	7	10	4	8	16	10	15	10	13	7	12	11	7	10	2	7	7	10	11	3	10	8	4	2	7	12	6	9	11	14	0	7	37	4					
10	Число действительных избирательных бюллетеней	48804	1387	1092	1046	1658	1048	1493	1473	1295	1134	804	1088	945	1123	894	786	728	1279	1154	1280	1263	924	1052	1302	1166	842	736	965	690	755	681	1045	1240	1162	1213	1212	1263	680	380	1183	864	1139	1189	1099	261	492	1838	461					
