Выборы Президента Российской Федерации																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																																			
																																																																																																			
Итоги голосования 																																																																																																			
																																																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №174	УИК №175	УИК №176					
1	"Число избирателей, внесенных в список"	151738	2233	2271	2368	1939	2113	2280	1036	2142	2722	2357	2845	2379	2084	1936	1313	1734	2400	2807	2193	2013	1148	1165	2411	1051	1028	2534	360	665	628	2179	2592	2486	2507	2406	1881	2675	988	2375	2453	2811	2347	2338	2439	1838	1699	2328	2229	2105	2625	2651	2197	2328	2528	2064	1138	2043	1948	1923	1779	2770	2947	2006	2569	2376	2342	2104	2738	2720	1744	1684	1132	285	95	229	140	54	65	113	83	205	283	556	453	611	583	223	239	129	162	14	15	14					
2	Число полученных избирательных бюллетеней	152429	2115	2265	2442	1890	2035	2379	1023	2173	2561	2401	2553	2498	1994	1979	1330	1759	1861	2665	2315	2016	1285	1142	2445	960	1041	2648	341	679	625	2228	2685	2599	2610	2496	1929	2528	1059	2464	2556	2673	2481	2497	2533	1934	1759	2402	2354	2193	2662	2554	2252	2410	2578	2128	1158	1925	1949	1967	1812	2644	2767	1988	2651	2440	2493	2221	2619	2627	1829	1726	1101	270	100	240	130	60	70	140	120	230	269	500	461	579	573	216	231	131	160	14	17	17					
3	"Число избирательных бюллетеней, выданных  досрочно"	253	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	80429	1274	1323	903	988	1045	1207	456	1162	1351	1310	1493	1342	1172	893	572	886	1163	1418	1043	888	491	581	1285	588	435	1303	234	328	361	1166	1398	1470	1295	1343	1027	1444	471	1289	1379	1420	1366	1327	1457	1058	841	1248	1076	1038	1286	1421	1210	1326	1257	1040	499	1210	1127	1048	946	1549	1423	1113	1256	1369	1080	1157	1431	1449	791	790	553	252	82	229	120	54	65	113	68	186	227	457	285	332	344	159	199	127	148	14	15	14					
5	"Число избирательных бюллетеней, выданных вне помещения"	2039	4	8	264	49	40	33	27	32	10	23	18	61	19	70	11	18	14	10	18	12	5	14	8	5	12	15	1	4	2	11	21	24	12	23	20	25	0	36	13	33	19	10	9	2	20	33	33	29	23	21	24	22	14	32	8	29	8	10	11	16	297	37	32	18	17	47	8	25	19	30	63	0	0	0	0	0	0	0	0	0	13	35	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	69608	837	934	1275	853	950	1139	540	979	1100	1068	1042	1095	803	1016	747	855	684	1237	1254	1116	789	547	1152	367	594	1330	106	347	262	1051	1266	1105	1303	1130	782	1059	588	1139	1164	1220	1096	1160	1067	874	898	1121	1245	1126	1353	1112	1018	1062	1307	1056	651	686	814	909	855	1079	910	838	1363	1053	1380	1017	1180	1153	1019	906	485	18	18	11	10	6	5	27	52	44	29	8	176	247	229	57	32	4	12	0	2	3					
7	Число избирательных бюллетеней в переносных ящиках	2292	4	8	264	49	40	33	27	32	110	23	18	61	19	70	11	18	14	10	18	12	5	14	8	5	12	15	1	4	2	11	21	24	12	23	20	25	0	36	13	33	19	10	9	2	20	33	33	29	23	21	24	22	14	32	8	29	8	10	11	16	434	37	32	18	33	47	8	25	19	30	63	0	0	0	0	0	0	0	0	0	13	35	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	80379	1273	1322	903	987	1045	1207	456	1159	1348	1308	1491	1342	1170	893	572	883	1163	1418	1043	887	491	581	1285	588	435	1302	234	328	361	1166	1395	1468	1294	1341	1027	1440	471	1288	1379	1420	1366	1324	1456	1056	841	1247	1075	1038	1285	1421	1210	1326	1253	1040	499	1210	1127	1048	946	1547	1423	1113	1256	1369	1080	1157	1431	1449	791	789	553	252	82	229	120	54	65	113	68	186	227	457	284	332	344	159	199	127	148	14	15	14					
9	Число недействительных избирательных бюллетеней	350	9	2	7	2	4	9	2	3	4	3	6	3	12	8	2	7	2	1	4	5	2	8	4	0	2	11	2	6	4	8	6	3	8	3	10	9	1	6	7	4	4	7	4	0	2	8	5	2	5	5	3	5	7	5	2	4	7	5	4	9	4	0	1	3	6	8	2	1	1	3	4	4	2	1	0	0	0	2	0	10	0	0	0	1	3	1	0	1	0	0	0	0					
10	Число действительных избирательных бюллетеней	82321	1268	1328	1160	1034	1081	1231	481	1188	1454	1328	1503	1400	1177	955	581	894	1175	1427	1057	894	494	587	1289	593	445	1306	233	326	359	1169	1410	1489	1298	1361	1037	1456	470	1318	1385	1449	1381	1327	1461	1058	859	1272	1103	1065	1303	1437	1231	1343	1260	1067	505	1235	1128	1053	953	1554	1853	1150	1287	1384	1107	1196	1437	1473	809	816	612	248	80	228	120	54	65	111	68	176	240	492	284	331	341	158	199	126	148	14	15	14					
11	Число полученных открепительных  удостоверений	2800	46	46	46	32	46	46	10	46	46	46	46	46	46	46	20	32	32	46	46	32	20	10	46	20	20	46	15	10	10	46	46	46	46	46	32	46	20	46	46	46	46	46	46	32	32	46	46	46	46	46	46	46	46	46	20	32	32	32	32	46	46	32	46	46	46	32	46	46	32	32	20	0	0	0	0	0	0	0	0	0	20	10	10	10	10	10	13	9	9	0	0	0					
12	Число выданных открепительных удостоверений	758	8	6	4	4	3	4	2	16	17	15	18	6	22	11	4	23	12	7	23	7	1	5	13	3	1	17	12	4	4	10	11	9	6	18	7	19	4	11	9	11	15	11	14	12	10	13	13	7	4	14	7	12	12	11	0	13	13	12	6	16	16	15	8	10	15	19	12	15	3	6	2	0	0	0	0	0	0	0	0	0	8	1	5	1	10	1	7	0	2	0	0	0					
