Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Белебеевская																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565					
1	"Число избирателей, внесенных в списки"	73582	1727	1622	1290	2274	2072	1890	1698	1822	1853	854	1072	1659	2311	1716	1649	2046	1875	2228	1178	1774	1690	2138	1760	2227	1747	1855	1254	1824	1798	1741	1556	1798	1560	700	2593	562	541	712	781	273	500	333	239	471	21	752	166	454	486	329	820	136	304	89	213	280	405	293	267	296	280	330	186	735	366	230	509	102	270					
2	"Число бюллетеней, полученных участковыми комиссиями"	73541	1530	1660	1650	2280	2080	1760	1770	1760	1700	700	1490	1630	2330	1570	1750	1750	1940	2200	1410	1690	1540	2090	1760	2080	1760	1870	1730	1850	1810	1760	1620	1820	1590	680	2230	505	555	655	735	280	490	325	239	445	25	760	160	460	470	235	810	140	362	103	188	260	413	310	290	384	270	330	170	730	360	220	650	99	273					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	52316	1086	937	1179	1294	1691	1141	1233	1182	1166	627	1057	1196	1459	1206	1166	1502	1388	1577	1149	1176	1142	1516	1316	1706	1275	1360	1193	1284	1300	1097	1205	1308	953	443	1696	436	440	492	569	214	322	241	169	381	21	539	126	269	313	167	595	75	290	86	154	197	282	204	169	253	183	243	93	388	273	175	463	74	214					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2362	15	78	111	70	63	54	23	22	49	17	15	65	42	38	45	26	21	32	29	24	20	21	22	81	43	44	61	39	29	28	36	70	53	50	66	11	0	28	15	20	41	13	20	17	0	43	5	75	17	32	27	44	14	3	12	45	16	22	21	43	9	30	24	115	33	19	46	0	0					
6	Число погашенных бюллетеней	18843	427	645	352	916	326	565	514	556	485	56	418	369	829	326	539	222	531	591	232	490	376	553	422	293	442	466	476	527	481	635	371	442	584	187	468	58	115	135	151	46	127	71	50	47	4	178	29	116	140	36	188	21	58	14	22	18	115	84	100	88	78	57	53	227	54	26	141	25	59					
7	Число бюллетеней в переносных ящиках для голосования	2362	15	78	111	70	63	54	23	22	49	17	15	65	42	38	45	26	21	32	29	24	20	21	22	81	43	44	61	39	29	28	36	70	53	50	66	11	0	28	15	20	41	13	20	17	0	43	5	75	17	32	27	44	14	3	12	45	16	22	21	43	9	30	24	115	33	19	46	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	52194	1085	937	1179	1224	1643	1141	1233	1182	1166	627	1057	1193	1459	1189	1166	1502	1388	1577	1149	1176	1142	1513	1316	1703	1281	1360	1192	1284	1299	1125	1205	1299	953	443	1696	436	440	492	569	214	322	241	169	381	21	539	126	269	313	167	595	75	290	86	154	197	282	204	169	253	183	243	93	388	273	175	463	74	214					
9	Число недействительных бюллетеней	1145	19	42	23	23	24	12	24	16	24	9	21	23	17	10	9	26	17	29	8	18	14	21	11	16	26	21	17	23	34	49	68	33	19	5	12	22	7	10	16	8	25	4	8	7	0	23	9	11	5	7	19	4	21	5	6	18	10	12	7	15	9	11	10	8	17	3	27	10	8					
10	Число действительных бюллетеней	53411	1081	973	1267	1271	1682	1183	1232	1188	1191	635	1051	1235	1484	1217	1202	1502	1392	1580	1170	1182	1148	1513	1327	1768	1298	1383	1236	1300	1294	1104	1173	1336	987	488	1750	425	433	510	568	226	338	250	181	391	21	559	122	333	325	192	603	115	283	84	160	224	288	214	183	281	183	262	107	495	289	191	482	64	206					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1890	30	20	30	50	30	30	40	40	30	20	90	30	60	40	30	40	42	55	40	80	55	63	30	40	40	30	30	30	55	30	30	39	30	25	30	15	25	25	25	10	10	5	20	25	0	25	0	25	25	10	25	2	25	10	3	5	5	20	10	25	5	25	10	25	20	20	25	0	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1396	22	16	29	38	30	30	40	40	25	20	89	30	60	40	28	39	42	47	37	80	42	63	30	40	39	29	30	30	38	20	30	39	20	10	27	4	8	2	7	2	2	1	4	1	0	8	0	16	15	4	8	0	5	1	0	0	3	0	3	6	1	5	1	2	9	1	7	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1133	10	7	20	17	19	55	15	16	16	13	8	15	17	24	6	21	11	15	18	10	14	13	20	70	25	15	11	10	19	13	10	8	10	35	312	16	8	8	6	1	6	1	3	7	21	10	6	4	5	6	7	6	6	5	9	3	4	6	5	8	5	10	8	4	7	5	5	4	0					
14	Число погашенных открепительных удостоверений	494	8	4	1	12	0	0	0	0	5	0	1	0	0	0	2	1	0	8	3	0	13	0	0	0	1	1	0	0	17	10	0	0	10	15	3	11	17	23	18	8	8	4	16	24	0	17	0	9	10	6	17	2	20	9	3	5	2	20	7	19	4	20	9	23	11	19	18	0	0					
15	Число открепительных удостоверений выданных ТИК	10	0	0	1	0	0	0	0	0	0	0	2	0	0	2	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	20	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
