Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Конаковская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564					
1	"Число избирателей, внесенных в список"	76694	1469	1747	2347	2111	1640	1185	598	2355	2085	2511	1671	2818	2547	2191	2500	2523	2623	1725	32	2493	1931	1273	508	2177	1658	1441	274	1577	2004	1106	1287	1351	1009	1572	1962	1749	1315	727	1653	1223	671	386	518	847	194	1301	199	247	109	2033	1077	1200	231	294	350	69					
2	Число полученных избирательных бюллетеней	73525	1400	1700	2300	2000	1600	1100	550	2300	2000	2400	1600	2700	2500	2100	2400	2400	2500	1700	32	2400	1900	1200	500	2100	1600	1400	310	1500	2000	1050	1200	1300	950	1500	1800	1700	1300	700	1600	1200	650	350	420	780	180	1250	180	230	100	1900	1000	1100	210	280	340	63					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	39127	574	731	1002	905	680	485	257	1212	1110	1398	920	1537	1368	1261	1155	1313	1280	910	32	1308	1016	655	220	1107	831	822	252	922	990	613	695	614	545	837	1333	937	485	385	770	611	290	249	284	357	104	585	113	104	81	1183	537	661	129	173	147	52					
5	"Число избирательных бюллетеней, выданных вне помещения"	2926	87	56	50	46	56	43	41	18	29	17	12	23	49	39	26	13	26	18	0	23	16	12	9	37	29	50	22	0	57	29	19	67	11	31	25	57	293	118	270	134	135	25	43	102	22	136	29	72	15	78	100	60	29	30	83	9					
6	Число погашенных избирательных бюллетеней	31472	739	913	1248	1049	864	572	252	1070	861	985	668	1140	1083	800	1219	1074	1194	772	0	1069	868	533	271	956	740	528	36	578	953	408	486	619	394	632	442	706	522	197	560	455	225	76	93	321	54	529	38	54	4	639	363	379	52	77	110	2					
7	Число избирательных бюллетеней в переносных ящиках	2926	87	56	50	46	56	43	41	18	29	17	12	23	49	39	26	13	26	18	0	23	16	12	9	37	29	50	22	0	57	29	19	67	11	31	25	57	293	118	270	134	135	25	43	102	22	136	29	72	15	78	100	60	29	30	83	9					
8	Число бюллетеней в стационарных ящиках для голосования	39107	573	731	1002	905	680	485	256	1212	1107	1398	920	1536	1368	1261	1155	1313	1280	910	32	1301	1015	655	220	1107	830	822	252	922	990	613	695	614	544	836	1333	937	485	385	770	611	289	249	284	357	104	585	113	104	81	1181	537	661	129	173	147	52					
9	Число недействительных избирательных бюллетеней	204	0	4	9	9	0	2	0	5	5	6	4	2	5	8	4	1	3	7	0	6	4	0	0	6	2	2	2	8	13	7	12	1	4	5	13	5	5	8	0	2	0	0	1	0	2	2	0	0	0	8	7	3	0	1	1	0					
10	Число действительных избирательных бюллетеней	41829	660	783	1043	942	736	526	297	1225	1131	1409	928	1557	1412	1292	1177	1325	1303	921	32	1318	1027	667	229	1138	857	870	272	914	1034	635	702	680	551	862	1345	989	773	495	1040	743	424	274	326	459	124	719	142	176	96	1251	630	718	158	202	229	61					
11	Число полученных открепительных  удостоверений	881	10	20	20	10	15	15	10	20	20	21	15	30	25	20	35	25	25	15	0	25	25	15	5	20	25	15	15	8	30	10	10	12	10	10	35	15	15	45	15	15	30	6	10	5	5	15	5	7	5	12	10	15	8	7	5	10					
12	Число выданных открепительных удостоверений	527	5	12	9	4	6	2	5	12	7	20	4	9	17	15	15	12	10	13	0	25	25	15	0	20	14	10	1	8	22	4	5	6	3	5	24	15	8	45	15	6	24	2	7	5	1	4	4	1	0	12	3	6	1	1	1	2					
