Выборы Президента Российской Федерации																																																																		
Дата голосования: 02.03.2008																																																																		
																																																																		
Наименование Избирательной комиссии:    Конаковская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
	Число участковых избирательных комиссий	59																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	59																																																																
																																																																		
		Сумма	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554					
1	"Число избирателей, включенных в списки избирателей"	77130	2177	1932	1945	2065	1476	1595	774	1630	1597	1747	1857	1689	1908	2000	1777	1642	1754	1853	2289	1829	1780	278	459	77	2010	2092	1346	526	1951	2060	1400	278	1478	1954	1222	1171	1330	1147	1443	195	1525	1941	1362	757	1618	1169	742	1059	247	1353	186	126	2044	1015	1206	334	327	336	50					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	72482	2000	1900	1900	1900	1400	1500	700	1500	1500	1600	1700	1600	1800	1900	1700	1600	1700	1800	2100	1700	1700	250	400	82	2000	2000	1300	500	1900	2000	1300	250	1400	1900	1100	1100	1200	1100	1300	150	1400	1800	1300	800	1500	1000	650	1000	200	1200	150	100	1900	1000	1100	300	300	300	50					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	40425	882	992	936	964	593	675	307	884	902	976	985	1010	1125	1144	1079	933	854	1024	1291	1085	959	139	215	77	983	1033	657	203	1031	993	804	155	823	809	612	577	558	602	779	128	1150	1136	684	464	727	557	356	479	132	607	96	40	1278	602	709	238	210	140	42					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3068	123	42	31	85	46	38	43	24	20	19	42	22	27	30	33	20	15	7	6	31	14	0	26	0	23	21	47	8	19	39	59	20	0	43	52	48	102	19	50	22	28	103	289	121	229	160	129	137	24	95	43	54	95	50	63	36	30	66	0					
6	Число погашенных избирательных бюллетеней	28989	995	866	933	851	761	787	350	592	578	605	673	568	648	726	588	647	831	769	803	584	727	111	159	5	994	946	596	289	850	968	437	75	577	1048	436	475	540	479	471	0	222	561	327	215	544	283	165	384	44	498	11	6	527	348	328	26	60	94	8					
