Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва								
Дата голосования: 07.12.2003 0:00:00								
								
Наименование Избирательной комиссии:    Солнечная поселковая								
								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)								
								
		Сумма	УИК  965					
1	"Число избирателей, внесенных в списки"	1713	1713					
2	"Число бюллетеней, полученных участковыми комиссиями"	2000	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1025	1025					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	23	23					
6	Число погашенных бюллетеней	952	952					
7	Число бюллетеней в переносных ящиках для голосования	23	23					
8	Число бюллетеней в стационарных ящиках для голосования	1025	1025					
9	Число недействительных бюллетеней	14	14					
10	Число действительных бюллетеней	1034	1034					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	100					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	18	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	5	5					
14	Число погашенных открепительных удостоверений	82	82					
15	Число открепительных удостоверений выданных ТИК	0	0					
16	Число утраченных бюллетеней	0	0					
17	Число не учтенных при получении бюллетеней	0	0					
								
18	"1. ""ЕДИНЕНИЕ"""	16	16					
		1.52%	1.52%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	24	24					
		2.29%	2.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	28	28					
		2.67%	2.67%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	53	53					
		5.05%	5.05%					
22	"5. ""За Русь Святую"""	5	5					
		0.47%	0.47%					
23	"6. ""Объединенная Российская партия ""Русь"""	0	0					
		0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	16	16					
		1.52%	1.52%					
25	"8. ""Народно-республиканская партия России"""	3	3					
		0.28%	0.28%					
26	"9. ""Российская экологическая партия ""Зеленые"""	5	5					
		0.47%	0.47%					
27	"10. ""Аграрная партия России"""	37	37					
		3.53%	3.53%					
28	"11. ""Истинные патриоты России"""	0	0					
		0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	23	23					
		2.19%	2.19%					
30	"13. ""Демократическая партия России"""	3	3					
		0.28%	0.28%					
31	"14. ""Великая Россия - Евразийский Союз"""	3	3					
		0.28%	0.28%					
32	"15. ""Партия СЛОН"""	2	2					
		0.19%	0.19%					
33	"16. ""Родина"" (народно-патриотический союз)"""	129	129					
		12.30%	12.30%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	2					
		0.19%	0.19%					
35	"18. ""ЛДПР"""	135	135					
		12.88%	12.88%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	35	35					
		3.33%	3.33%					
37	"20. ""Политическая партия ""Единая Россия"""	302	302					
		28.81%	28.81%					
38	"21. ""Российская Конституционно-демократическая партия"""	0	0					
		0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	2	2					
		0.19%	0.19%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	128	128					
		12.21%	12.21%					
								
41	Против всех	83	83					
		7.91%	7.91%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
