Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Домбаровская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13124	179	602	47	56	649	149	39	197	370	219	103	1420	827	1076	360	782	1088	1336	1071	164	159	561	191	221	78	92	630	210	248									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13074	178	604	44	55	642	148	38	196	369	217	114	1416	823	1056	359	771	1078	1322	1086	163	162	566	192	219	78	94	631	206	247									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4531	74	299	31	33	226	46	18	61	123	82	29	411	213	359	102	271	366	498	333	74	86	170	64	52	20	31	324	55	80									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	191	6	20	0	0	5	3	0	1	12	2	5	6	27	8	4	9	6	2	19	9	1	8	8	4	0	0	0	24	2									
6	Число погашенных избирательных бюллетеней	8352	98	285	13	22	411	99	20	134	234	133	80	999	583	689	253	491	706	822	734	80	75	388	120	163	58	63	307	127	165									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	191	6	20	0	0	5	3	0	1	12	2	5	6	27	8	4	9	6	2	19	9	1	8	8	4	0	0	0	24	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4531	74	299	31	33	226	46	18	61	123	82	29	411	213	359	102	271	366	498	333	74	86	170	64	52	20	31	324	55	80									
9	Число недействительных избирательных бюллетеней	139	7	18	0	0	1	2	0	5	4	2	1	5	5	6	6	10	6	19	7	3	0	9	3	5	0	2	5	4	4									
10	Число действительных избирательных бюллетеней	4583	73	301	31	33	230	47	18	57	131	82	33	412	235	361	100	270	366	481	345	80	87	169	69	51	20	29	319	75	78									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	255	5	5	2	2	10	2	2	5	10	4	10	20	20	20	20	20	10	20	20	4	4	10	4	2	2	2	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	46	0	0	0	0	0	1	0	0	5	0	10	6	0	0	1	1	2	3	3	0	2	2	1	0	0	0	6	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	0	0	0	0	6	0	1	0	4	1	0	3	0	0	0	2	4	3	1	1	0	0	0	1	0	0	6	2	2									
