Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Нязепетровская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183					
1	"Число избирателей, внесенных в список избирателей"	16047	1812	1639	2327	1434	472	2086	419	674	605	145	384	655	82	190	396	977	150	93	214	155	757	257	124					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15880	1800	1600	2350	1450	450	2100	400	650	600	140	350	650	80	190	400	950	150	90	210	150	750	250	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7659	774	827	1259	621	211	928	164	218	330	75	226	335	59	127	159	439	102	72	100	95	343	134	61					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1140	106	113	96	93	48	59	48	76	63	7	16	43	7	15	64	95	8	6	36	21	70	38	12					
6	Число погашенных избирательных бюллетеней	7081	920	660	995	736	191	1113	188	356	207	58	108	272	14	48	177	416	40	12	74	34	337	78	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1140	106	113	96	93	48	59	48	76	63	7	16	43	7	15	64	95	8	6	36	21	70	38	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7656	774	827	1259	620	211	928	164	216	330	75	226	335	59	127	159	439	102	72	100	95	343	134	61					
9	Число недействительных избирательных бюллетеней	149	30	12	27	8	6	10	1	4	5	1	5	7	1	3	2	9	0	0	0	3	12	3	0					
10	Число действительных избирательных бюллетеней	8647	850	928	1328	705	253	977	211	288	388	81	237	371	65	139	221	525	110	78	136	113	401	169	73					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	133	9	13	25	16	5	11	1	1	10	2	1	8	1	1	8	3	1	1	2	5	5	3	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	126	9	12	25	16	5	9	0	1	10	2	1	8	1	1	7	3	1	1	1	5	5	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	53	6	6	3	5	2	7	0	2	1	1	2	2	1	4	2	0	0	0	2	1	6	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	7	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1					
