Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																												
Дата голосования: 04.12.2011																																																																												
																																																																												
Наименование Избирательной комиссии:    Тюменская																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713					
1	"Число избирателей, внесенных в список избирателей"	81726	1124	1339	1776	1377	2193	937	260	1234	211	2749	2113	2623	2581	2720	1573	2119	1260	1562	1250	1172	590	1930	2280	2022	580	1332	312	442	2468	2986	703	470	1745	1015	1357	226	1817	1769	358	675	1085	627	897	266	252	203	268	2339	327	278	2323	675	1440	796	152	912	1096	2689	666	112	224	2910	675	380	408	383	1157	405	531					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81601	1143	1337	1786	1354	2219	924	263	1262	212	2714	2128	2593	2588	2735	1544	2133	1249	1578	1214	1005	527	1903	2267	2021	571	1345	292	451	2481	2975	690	476	1766	1280	1339	213	1798	1744	355	663	1076	632	889	276	261	209	274	2394	320	280	2357	675	1421	820	152	887	1125	2632	672	112	225	2907	671	372	381	385	1170	404	484					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	55482	859	864	1132	1001	1447	729	206	824	142	2325	1387	1786	1753	1571	998	1395	737	863	762	570	379	1253	1437	1105	416	793	175	390	1783	2039	468	320	1064	997	903	137	1208	1191	229	466	695	511	738	212	205	150	189	1947	236	199	2070	414	849	522	105	739	744	1483	539	63	172	1818	412	195	255	232	936	353	395					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1703	18	13	30	35	47	13	0	29	11	35	23	23	32	16	30	11	23	27	123	182	13	16	12	27	2	36	9	2	18	14	11	24	12	18	46	15	25	19	17	8	19	10	23	7	5	0	6	45	8	5	20	7	25	19	0	32	42	139	22	0	0	77	31	22	28	14	16	6	10					
6	Число погашенных избирательных бюллетеней	24416	266	460	624	318	725	182	57	409	59	354	718	784	803	1148	516	727	489	688	329	253	135	634	818	889	153	516	108	59	680	922	211	132	690	265	390	61	565	534	109	189	362	111	128	57	51	59	79	402	76	76	267	254	547	279	47	116	339	1010	111	49	53	1012	228	155	98	139	218	45	79					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1703	18	13	30	35	47	13	0	29	11	35	23	23	32	16	30	11	23	27	123	182	13	16	12	27	2	36	9	2	18	14	11	24	12	18	46	15	25	19	17	8	19	10	23	7	5	0	6	45	8	5	20	7	25	19	0	32	42	139	22	0	0	77	31	22	28	14	16	6	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	55424	859	864	1132	1001	1447	729	206	824	142	2325	1387	1786	1697	1571	998	1395	737	863	762	570	379	1253	1437	1105	416	793	175	390	1783	2039	468	320	1064	997	903	137	1208	1191	229	466	695	511	738	212	205	150	189	1947	236	199	2070	414	847	522	105	739	744	1483	539	63	172	1818	412	195	255	232	936	353	395					
9	Число недействительных избирательных бюллетеней	929	40	7	17	8	10	6	4	6	1	0	30	20	38	25	14	4	0	7	14	1	0	36	11	26	0	14	5	6	20	27	6	84	23	43	0	0	0	1	0	0	3	2	18	0	2	4	2	5	0	4	15	7	9	0	0	7	16	8	8	0	2	12	9	0	5	2	24	45	166					
10	Число действительных избирательных бюллетеней	56198	837	870	1145	1028	1484	736	202	847	152	2360	1380	1789	1691	1562	1014	1402	760	883	871	751	392	1233	1438	1106	418	815	179	386	1781	2026	473	260	1053	972	949	152	1233	1209	246	474	711	519	743	219	208	146	193	1987	244	200	2075	414	863	541	105	764	770	1614	553	63	170	1883	434	217	278	244	928	314	239					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2421	34	40	53	40	66	27	8	37	6	80	63	77	77	81	45	63	37	47	36	30	15	56	67	62	17	40	8	13	74	88	20	14	52	38	40	6	53	51	10	19	32	18	26	13	10	6	13	71	9	8	70	20	42	24	4	26	33	78	20	3	6	86	20	11	11	11	34	12	14					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	838	13	17	19	14	24	22	8	35	1	31	16	8	16	14	7	14	7	9	4	7	1	16	12	12	3	27	4	2	23	13	20	3	18	8	12	0	28	13	4	3	8	18	9	13	10	6	13	41	0	8	17	1	9	10	0	21	29	17	7	0	2	50	3	4	3	6	19	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	845	4	19	7	9	13	14	5	25	1	8	18	8	10	13	19	8	8	3	44	30	37	6	7	8	2	7	25	2	13	20	8	2	10	8	11	0	19	54	3	6	9	12	16	3	2	1	4	17	3	7	15	1	7	4	1	43	11	43	2	2	3	45	5	0	5	2	12	4	52					
14	Число погашенных неиспользованных открепительных удостоверений	1583	21	23	34	26	42	5	0	2	5	49	47	69	61	67	38	49	30	38	32	23	14	40	55	50	14	13	4	11	51	75	0	11	34	30	28	6	25	38	6	16	24	0	17	0	0	0	0	30	9	0	53	19	33	14	4	5	4	61	13	3	4	36	17	7	8	5	15	8	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
