Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Элистинская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60					
1	"Число избирателей, внесенных в списки избирателей"	78606	2096	1315	1877	1551	1454	1946	1690	1711	1929	182	1345	1321	1382	1386	1206	65	1810	1144	832	1072	1472	1935	2191	720	1059	1840	1371	1559	25	1681	1685	1668	1755	1243	1486	1435	1166	1572	1754	1504	2706	1187	1852	1669	1473	746	1721	1321	899	271	1682	194	297	146	833	1302	228	1432	979	1233					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	72900	1986	1152	1690	1544	1278	1690	1525	1594	1671	190	1231	1327	1335	1354	1042	65	1780	1089	713	949	1435	2184	1797	684	957	1797	1293	1523	26	1558	1758	1613	1746	1249	1392	1371	1121	1528	1610	1381	1980	1025	1564	1447	1025	665	1596	1191	822	271	1609	172	286	130	772	1277	217	1417	878	1328					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	46975	1284	785	1109	963	827	1094	890	903	1143	102	861	813	868	803	746	0	1030	656	526	616	974	1264	1497	384	660	1004	792	939	0	995	955	875	1111	778	992	876	740	935	1043	933	1309	654	1012	1000	1006	429	1107	788	573	122	1091	136	143	81	538	985	146	770	540	779					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2717	63	24	37	44	47	31	57	57	39	80	57	56	33	38	34	65	47	38	47	59	42	55	30	29	46	45	31	29	25	32	31	35	40	21	31	60	26	42	75	72	111	68	54	54	19	34	42	36	55	149	22	13	85	12	29	38	40	45	27	34					
6	Число погашенных избирательных бюллетеней	23208	639	343	544	537	404	565	578	634	489	8	313	458	434	513	262	0	703	395	140	274	419	865	270	271	251	748	470	555	1	531	772	703	595	450	369	435	355	551	492	376	560	303	498	393	0	202	447	367	194	0	496	23	58	37	205	254	31	602	311	515					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2717	63	24	37	44	47	31	57	57	39	80	57	56	33	38	34	65	47	38	47	59	42	55	30	29	46	45	31	29	25	32	31	35	40	21	31	60	26	42	75	72	111	68	54	54	19	34	42	36	55	149	22	13	85	12	29	38	40	45	27	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46932	1284	785	1102	963	827	1093	890	903	1143	102	861	813	868	803	746	0	1026	656	526	616	974	1237	1495	384	660	1004	792	939	0	995	955	875	1111	778	992	876	740	935	1043	933	1309	654	1010	1000	1006	429	1107	788	573	122	1091	136	143	81	538	985	146	770	540	779					
9	Число недействительных избирательных бюллетеней	441	9	8	10	9	6	12	9	7	8	2	5	7	13	3	7	0	14	1	1	6	7	13	9	3	8	8	10	7	1	6	14	14	9	4	8	18	3	4	11	5	15	4	7	13	8	0	9	10	3	4	13	0	7	2	7	6	2	9	5	18					
10	Число действительных избирательных бюллетеней	49208	1338	801	1129	998	868	1112	938	953	1174	180	913	862	888	838	773	65	1059	693	572	669	1009	1279	1516	410	698	1041	813	961	24	1021	972	896	1142	795	1015	918	763	973	1107	1000	1405	718	1057	1041	1017	463	1140	814	625	267	1100	149	221	91	560	1017	184	806	562	795					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1773	41	35	45	53	35	42	25	40	53	0	40	32	26	36	27	0	29	29	25	31	38	44	35	13	18	45	33	32	0	25	34	30	45	34	36	38	30	42	42	41	40	25	34	41	29	25	34	29	24	0	36	5	5	3	22	39	9	20	22	32					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1503	41	20	43	51	24	42	20	40	53	0	34	27	20	35	20	0	28	21	23	28	29	41	22	7	7	30	28	25	0	22	32	28	36	34	35	38	18	30	37	29	34	17	33	21	20	25	30	23	20	0	36	4	5	3	17	39	8	18	22	30					
