Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
Наименование Избирательной комиссии:    Элистинская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50					
1	"Число избирателей, внесенных в список избирателей"	85859	2662	260	1369	1972	334	203	1236	2322	1021	2231	2433	1627	166	2574	1892	1890	2397	933	2385	324	2079	637	1784	2270	1232	2619	2249	2429	2412	2116	1501	1508	1915	1495	1866	2323	2033	2293	2380	1998	1925	1596	1791	2297	2209	1072	2412	1143	1729	315					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	84112	2500	250	1300	1900	310	180	1150	2300	2000	2200	2400	1600	170	2500	1600	1800	2350	950	2300	300	2100	600	1700	2250	1100	2200	2200	2400	2400	2050	1450	1500	1850	1500	1900	2300	2000	2250	2400	1950	1800	1550	1750	2150	2150	1000	2250	1100	1900	302					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	43468	1328	148	630	957	163	105	646	1139	955	985	1139	803	89	1465	982	931	1194	506	1111	140	1058	311	756	1180	657	1447	1135	1222	1247	998	773	771	936	724	1047	1351	1124	1223	1203	912	915	718	767	996	990	573	1258	632	1001	127					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2487	85	2	45	18	56	2	55	44	66	43	37	49	76	66	80	50	64	39	77	31	81	30	74	80	25	40	50	58	40	85	28	40	15	18	21	56	44	47	33	37	61	35	30	18	38	40	100	46	57	175					
6	Число погашенных избирательных бюллетеней	38157	1087	100	625	925	91	73	449	1117	979	1172	1224	748	5	969	538	819	1092	405	1112	129	961	259	870	990	418	713	1015	1120	1113	967	649	689	899	758	832	893	832	980	1164	1001	824	797	953	1136	1122	387	892	422	842	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2487	85	2	45	18	56	2	55	44	66	43	37	49	76	66	80	50	64	39	77	31	81	30	74	80	25	40	50	58	40	85	28	40	15	18	21	56	44	47	33	37	61	35	30	18	38	40	100	46	57	175					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43449	1328	148	629	957	163	105	646	1138	955	985	1139	803	89	1455	982	931	1194	506	1111	140	1058	311	754	1180	657	1447	1135	1220	1247	998	771	771	936	724	1047	1351	1124	1222	1203	912	915	718	767	996	990	573	1258	632	1001	127					
9	Число недействительных избирательных бюллетеней	1001	23	2	11	26	9	1	9	25	12	13	13	16	7	18	23	23	156	7	20	5	17	5	8	29	9	16	31	10	25	16	11	11	15	12	18	54	23	29	25	18	18	13	14	56	18	18	27	14	17	5					
10	Число действительных избирательных бюллетеней	44935	1390	148	663	949	210	106	692	1157	1009	1015	1163	836	158	1503	1039	958	1102	538	1168	166	1122	336	820	1231	673	1471	1154	1268	1262	1067	788	800	936	730	1050	1353	1145	1240	1211	931	958	740	783	958	1010	595	1331	664	1041	297					
