Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Талицкая 																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №962	УИК №963	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №984	УИК №986	УИК №987									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39980	1449	2019	1794	1888	1784	687	995	1211	1073	1747	1712	1633	1805	1245	1890	737	150	416	269	186	494	162	198	540	448	159	184	436	633	520	622	187	311	449	910	234	168	628	163	57	1785	307	410	222	596	543	221	930	448	547	761	974	43									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31400	1100	1550	1350	1450	1350	500	750	900	850	1350	1300	1250	1350	950	1450	600	150	350	200	150	400	150	150	450	350	150	150	350	500	400	500	150	250	350	700	200	150	500	150	50	1350	250	350	200	500	450	200	700	350	450	600	850	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13567	441	728	655	602	622	203	327	407	364	534	572	470	427	411	587	178	70	191	90	73	229	74	81	234	145	76	89	196	274	189	209	69	98	174	324	66	33	242	56	23	637	108	132	74	211	196	108	345	158	187	258	280	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1908	54	48	39	25	25	13	25	31	21	46	54	64	62	36	64	33	7	28	25	7	30	8	16	8	26	10	29	43	40	51	53	29	27	30	115	40	12	50	15	11	56	37	14	13	18	16	8	43	50	92	54	157	0									
6	Число погашенных избирательных бюллетеней	15925	605	774	656	823	703	284	398	462	465	770	674	716	861	503	799	389	73	131	85	70	141	68	53	208	179	64	32	111	186	160	238	52	125	146	261	94	105	208	79	16	657	105	204	113	271	238	84	312	142	171	288	413	160									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1908	54	48	39	25	25	13	25	31	21	46	54	64	62	36	64	33	7	28	25	7	30	8	16	8	26	10	29	43	40	51	53	29	27	30	115	40	12	50	15	11	56	37	14	13	18	16	8	43	50	92	54	157	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13564	441	727	655	602	622	203	327	405	364	534	572	470	427	411	587	178	70	191	90	73	229	74	81	234	145	76	89	196	274	189	209	69	98	174	324	66	33	242	56	23	637	108	132	74	211	196	108	345	158	187	258	280	40									
9	Число недействительных избирательных бюллетеней	614	30	37	28	18	25	3	18	20	14	33	32	17	8	31	23	5	2	9	7	2	10	3	6	8	4	6	6	14	12	11	9	4	5	2	12	2	2	16	0	0	25	7	1	2	12	11	7	10	1	6	22	16	0									
10	Число действительных избирательных бюллетеней	14858	465	738	666	609	622	213	334	416	371	547	594	517	481	416	628	206	75	210	108	78	249	79	91	234	167	80	112	225	302	229	253	94	120	202	427	104	43	276	71	34	668	138	145	85	217	201	109	378	207	273	290	421	40									
