Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Глинковская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК  86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96					
1	"Число избирателей, внесенных в списки"	4714	393	165	246	1689	211	544	191	134	190	722	229					
2	"Число бюллетеней, полученных участковыми комиссиями"	4900	410	170	250	1700	220	580	200	150	200	780	240					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2041	210	83	107	748	102	214	47	89	103	220	118					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	656	25	38	93	44	41	123	72	5	42	122	51					
6	Число погашенных бюллетеней	2203	175	49	50	908	77	243	81	56	55	438	71					
7	Число бюллетеней в переносных ящиках для голосования	656	25	38	93	44	41	123	72	5	42	122	51					
8	Число бюллетеней в стационарных ящиках для голосования	2041	210	83	107	748	102	214	47	89	103	220	118					
9	Число недействительных бюллетеней	51	1	0	0	17	3	15	0	4	1	3	7					
10	Число действительных бюллетеней	2646	234	121	200	775	140	322	119	90	144	339	162					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	144	10	10	10	44	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	13	1	0	0	11	0	0	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	0	2	1	2	1	2	2	6	2	1	0					
14	Число погашенных открепительных удостоверений	131	9	10	10	33	10	10	10	10	10	9	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	41	5	2	1	14	0	4	1	2	1	6	5					
		1.52%	2.12%	1.65%	0.5%	1.76%	0.0%	1.18%	0.84%	2.12%	0.68%	1.75%	2.95%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	22	0	2	4	10	0	0	1	0	1	3	1					
		0.81%	0.0%	1.65%	2.0%	1.26%	0.0%	0.0%	0.84%	0.0%	0.68%	0.87%	0.59%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	90	8	8	7	32	2	16	3	0	2	8	4					
		3.33%	3.40%	6.61%	3.5%	4.04%	1.39%	4.74%	2.52%	0.0%	1.37%	2.33%	2.36%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	29	1	4	3	11	0	2	1	1	2	3	1					
		1.07%	0.42%	3.30%	1.5%	1.38%	0.0%	0.59%	0.84%	1.06%	1.37%	0.87%	0.59%					
22	"5. ""За Русь Святую"""	6	2	1	0	2	0	0	1	0	0	0	0					
		0.22%	0.85%	0.82%	0.0%	0.25%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	0	0	0	2	0	1	2	0	0	1	0					
		0.22%	0.0%	0.0%	0.0%	0.25%	0.0%	0.29%	1.68%	0.0%	0.0%	0.29%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	11	2	0	0	3	0	0	0	0	1	4	1					
		0.40%	0.85%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.68%	1.16%	0.59%					
25	"8. ""Народно-республиканская партия России"""	2	0	0	0	0	0	2	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	0	0	0	1	1	2	0	0	0	0	0					
		0.14%	0.0%	0.0%	0.0%	0.12%	0.69%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	99	20	4	8	20	1	9	6	9	5	13	4					
		3.67%	8.51%	3.30%	4.0%	2.52%	0.69%	2.67%	5.04%	9.57%	3.44%	3.80%	2.36%					
28	"11. ""Истинные патриоты России"""	6	0	0	0	4	0	0	0	0	1	0	1					
		0.22%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.59%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	46	2	5	4	14	1	5	0	2	3	8	2					
		1.70%	0.85%	4.13%	2.0%	1.76%	0.69%	1.48%	0.0%	2.12%	2.06%	2.33%	1.18%					
30	"13. ""Демократическая партия России"""	7	0	0	1	1	0	0	0	1	1	2	1					
		0.25%	0.0%	0.0%	0.5%	0.12%	0.0%	0.0%	0.0%	1.06%	0.68%	0.58%	0.59%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	0	0	0	2	3	2	0	0	0	0	0					
		0.25%	0.0%	0.0%	0.0%	0.25%	2.09%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	4	0	0	0	0	0	1	0	1	0	1	1					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	1.06%	0.0%	0.29%	0.59%					
33	"16. ""Родина"" (народно-патриотический союз)"""	94	4	7	6	45	4	12	6	3	2	5	0					
		3.48%	1.70%	5.78%	3.0%	5.68%	2.79%	3.56%	5.04%	3.19%	1.37%	1.46%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	15	1	3	1	0	1	2	0	0	2	4	1					
		0.55%	0.42%	2.47%	0.5%	0.0%	0.69%	0.59%	0.0%	0.0%	1.37%	1.16%	0.59%					
35	"18. ""ЛДПР"""	244	21	11	6	79	10	27	7	7	13	48	15					
		9.04%	8.93%	9.09%	3.0%	9.97%	6.99%	8.01%	5.88%	7.44%	8.96%	14.03%	8.87%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	46	2	1	5	21	0	6	0	1	2	6	2					
		1.70%	0.85%	0.82%	2.5%	2.65%	0.0%	1.78%	0.0%	1.06%	1.37%	1.75%	1.18%					
37	"20. ""Политическая партия ""Единая Россия"""	1263	140	55	126	308	101	140	70	33	98	139	53					
		46.82%	59.57%	45.45%	63.0%	38.88%	70.62%	41.54%	58.82%	35.10%	67.58%	40.64%	31.36%					
38	"21. ""Российская Конституционно-демократическая партия"""	4	0	0	0	2	0	1	0	0	0	1	0					
		0.14%	0.0%	0.0%	0.0%	0.25%	0.0%	0.29%	0.0%	0.0%	0.0%	0.29%	0.0%					
39	"22. ""Развитие предпринимательства"""	6	1	0	0	2	1	0	0	0	0	1	1					
		0.22%	0.42%	0.0%	0.0%	0.25%	0.69%	0.0%	0.0%	0.0%	0.0%	0.29%	0.59%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	538	22	16	24	170	12	86	21	29	10	83	65					
		19.94%	9.36%	13.22%	12.0%	21.46%	8.39%	25.51%	17.64%	30.85%	6.89%	24.26%	38.46%					
																		
41	Против всех	56	3	2	4	32	3	4	0	1	0	3	4					
		2.07%	1.27%	1.65%	2.0%	4.04%	2.09%	1.18%	0.0%	1.06%	0.0%	0.87%	2.36%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
