Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Красноуфимская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509					
1	"Число избирателей, внесенных в список"	23133	150	1023	382	224	89	417	103	580	189	485	409	376	454	1671	80	375	158	665	372	444	107	352	116	1685	131	285	167	329	371	1131	1033	90	1608	936	439	297	356	529	336	89	243	211	317	227	784	410	564	362	514	352	116					
2	Число полученных избирательных бюллетеней	23225	155	1038	389	230	90	425	124	565	194	480	420	369	450	1680	84	370	152	700	365	450	104	345	115	1700	135	340	170	340	380	1138	1005	79	1573	875	450	290	350	521	350	95	258	210	356	225	766	410	570	365	501	360	119					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14052	116	585	253	143	63	302	51	347	100	276	257	231	256	958	51	207	116	431	239	356	84	240	92	1018	86	152	120	198	216	630	513	59	1012	502	300	221	220	313	183	53	170	127	199	149	473	302	326	207	272	201	76					
5	"Число избирательных бюллетеней, выданных вне помещения"	1204	6	53	32	20	6	17	24	43	27	26	2	19	27	26	5	35	4	50	33	18	11	21	7	29	11	65	10	10	29	46	92	11	39	64	17	14	8	28	10	0	11	13	15	16	37	19	4	8	44	32	10					
6	Число погашенных избирательных бюллетеней	7969	33	400	104	67	21	106	49	175	67	178	161	119	167	696	28	128	32	219	93	76	9	84	16	653	38	123	40	132	135	462	400	9	522	309	133	55	122	180	157	42	77	70	142	60	256	89	240	150	185	127	33					
7	Число избирательных бюллетеней в переносных ящиках	1204	6	53	32	20	6	17	24	43	27	26	2	19	27	26	5	35	4	50	33	18	11	21	7	29	11	65	10	10	29	46	92	11	39	64	17	14	8	28	10	0	11	13	15	16	37	19	4	8	44	32	10					
8	Число бюллетеней в стационарных ящиках для голосования	14052	116	585	253	143	63	302	51	347	100	276	257	231	256	958	51	207	116	431	239	356	84	240	92	1018	86	152	120	198	216	630	513	59	1012	502	300	221	220	313	183	53	170	127	199	149	473	302	326	207	272	201	76					
9	Число недействительных избирательных бюллетеней	238	1	6	4	2	2	1	0	11	3	2	1	2	8	15	0	3	1	9	13	9	2	2	1	13	4	4	0	4	6	8	3	2	13	9	4	3	10	5	6	0	0	5	7	6	5	1	6	5	7	3	1					
10	Число действительных избирательных бюллетеней	15018	121	632	281	161	67	318	75	379	124	300	258	248	275	969	56	239	119	472	259	365	93	259	98	1034	93	213	130	204	239	668	602	68	1038	557	313	232	218	336	187	53	181	135	207	159	505	320	324	210	309	230	85					
11	Число полученных открепительных  удостоверений	448	8	11	9	7	7	9	7	9	8	9	7	9	9	11	8	13	8	9	9	9	6	9	9	11	7	9	7	9	9	18	9	6	11	9	9	9	9	9	9	6	9	7	9	9	9	9	9	9	9	7	6					
12	Число выданных открепительных удостоверений	130	0	8	0	3	0	5	0	0	0	3	3	2	1	6	1	1	4	7	2	1	2	0	0	2	0	7	0	1	2	14	5	0	11	4	3	0	0	5	3	0	9	3	0	3	2	0	1	4	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	115	1	1	3	1	1	5	1	6	4	3	0	4	0	5	0	3	3	3	1	1	0	2	1	1	0	1	2	2	2	7	7	3	9	3	2	0	2	4	2	0	2	4	0	3	2	4	0	1	1	1	1					
14	Число неиспользованных открепительных удостоверений	318	8	3	9	4	7	4	7	9	8	6	4	7	8	5	7	12	4	2	7	8	4	9	9	9	7	2	7	8	7	4	4	6	0	5	6	9	9	4	6	6	0	4	9	6	7	9	8	5	8	7	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	373	3	13	8	1	1	11	2	6	3	3	2	7	4	40	1	3	3	6	1	8	1	4	1	28	0	5	1	5	12	25	34	3	41	15	6	4	2	3	2	0	9	2	4	5	8	3	5	3	7	9	0					
		2.44%	2.46%	2.04%	2.81%	0.61%	1.45%	3.45%	2.67%	1.54%	2.36%	0.99%	0.77%	2.80%	1.41%	4.07%	1.79%	1.24%	2.50%	1.25%	0.37%	2.14%	1.05%	1.53%	1.01%	2.67%	0.00%	2.30%	0.77%	2.40%	4.90%	3.70%	5.62%	4.29%	3.90%	2.65%	1.89%	1.70%	0.88%	0.88%	1.04%	0.00%	4.97%	1.43%	1.87%	3.03%	1.57%	0.93%	1.52%	1.40%	2.22%	3.86%	0.00%					
19	. Малышкин Олег Александрович	353	4	20	7	7	0	7	2	1	2	6	6	2	13	28	2	14	2	11	1	4	4	6	1	24	5	11	7	8	7	14	13	4	23	27	2	1	1	10	4	2	2	12	5	4	5	1	4	5	1	1	0					
		2.31%	3.28%	3.13%	2.46%	4.29%	0.00%	2.19%	2.67%	0.26%	1.57%	1.99%	2.32%	0.80%	4.59%	2.85%	3.57%	5.79%	1.67%	2.29%	0.37%	1.07%	4.21%	2.30%	1.01%	2.29%	5.15%	5.07%	5.38%	3.85%	2.86%	2.07%	2.15%	5.71%	2.19%	4.77%	0.63%	0.43%	0.44%	2.93%	2.07%	3.77%	1.10%	8.57%	2.34%	2.42%	0.98%	0.31%	1.21%	2.33%	0.32%	0.43%	0.00%					
20	. Миронов Сергей Михайлович	121	1	6	4	1	0	3	0	3	2	1	0	1	2	8	1	2	2	1	0	1	0	1	2	7	0	2	1	3	1	3	4	0	17	10	2	1	1	1	0	1	0	3	1	2	6	2	0	2	0	7	2					
		0.79%	0.82%	0.94%	1.40%	0.61%	0.00%	0.94%	0.00%	0.77%	1.57%	0.33%	0.00%	0.40%	0.71%	0.81%	1.79%	0.83%	1.67%	0.21%	0.00%	0.27%	0.00%	0.38%	2.02%	0.67%	0.00%	0.92%	0.77%	1.44%	0.41%	0.44%	0.66%	0.00%	1.62%	1.77%	0.63%	0.43%	0.44%	0.29%	0.00%	1.89%	0.00%	2.14%	0.47%	1.21%	1.18%	0.62%	0.00%	0.93%	0.00%	3.00%	2.33%					
21	. Путин Владимир Владимирович	11870	86	497	213	129	60	258	68	283	107	250	219	213	227	770	50	197	91	414	238	307	76	224	82	792	78	144	104	166	203	450	450	50	793	394	246	158	162	257	129	39	151	102	146	115	434	264	292	178	256	184	74					
		77.81%	70.49%	77.90%	74.74%	79.14%	86.96%	80.88%	90.67%	72.56%	84.25%	82.78%	84.56%	85.20%	80.21%	78.25%	89.29%	81.40%	75.83%	86.07%	87.50%	82.09%	80.00%	85.82%	82.83%	75.64%	80.41%	66.36%	80.00%	79.81%	82.86%	66.57%	74.38%	71.43%	75.45%	69.61%	77.60%	67.23%	71.05%	75.37%	66.84%	73.58%	83.43%	72.86%	68.22%	69.70%	85.10%	82.24%	88.48%	82.79%	81.01%	78.97%	86.05%					
22	. Хакамада Ирина Муцуовна	303	3	16	5	0	0	4	1	14	1	5	6	5	1	27	0	2	1	6	7	7	1	2	1	49	1	5	5	12	4	10	12	3	21	10	4	7	2	4	4	1	2	2	6	5	3	5	0	2	6	3	0					
		1.99%	2.46%	2.51%	1.75%	0.00%	0.00%	1.25%	1.33%	3.59%	0.79%	1.66%	2.32%	2.00%	0.35%	2.74%	0.00%	0.83%	0.83%	1.25%	2.57%	1.87%	1.05%	0.77%	1.01%	4.68%	1.03%	2.30%	3.85%	5.77%	1.63%	1.48%	1.98%	4.29%	2.00%	1.77%	1.26%	2.98%	0.88%	1.17%	2.07%	1.89%	1.10%	1.43%	2.80%	3.03%	0.59%	1.56%	0.00%	0.93%	1.90%	1.29%	0.00%					
23	. Харитонов Николай Михайлович	1852	22	75	41	19	4	35	1	71	9	30	19	19	27	76	1	20	17	32	11	38	11	22	9	118	8	42	10	7	9	159	82	8	135	98	50	60	48	60	48	10	15	14	42	27	47	44	23	19	35	16	9					
		12.14%	18.03%	11.76%	14.39%	11.66%	5.80%	10.97%	1.33%	18.21%	7.09%	9.93%	7.34%	7.60%	9.54%	7.72%	1.79%	8.26%	14.17%	6.65%	4.04%	10.16%	11.58%	8.43%	9.09%	11.27%	8.25%	19.35%	7.69%	3.37%	3.67%	23.52%	13.55%	11.43%	12.84%	17.31%	15.77%	25.53%	21.05%	17.60%	24.87%	18.87%	8.29%	10.00%	19.63%	16.36%	9.22%	13.71%	6.97%	8.84%	11.08%	6.87%	10.47%					
																																																										
24	Против всех	146	2	5	3	4	2	0	1	1	0	5	6	1	1	20	1	1	3	2	1	0	0	0	2	16	1	4	2	3	3	7	7	0	8	3	3	1	2	1	0	0	2	0	3	1	2	1	0	1	4	10	0					
		0.96%	1.64%	0.78%	1.05%	2.45%	2.90%	0.00%	1.33%	0.26%	0.00%	1.66%	2.32%	0.40%	0.35%	2.03%	1.79%	0.41%	2.50%	0.42%	0.37%	0.00%	0.00%	0.00%	2.02%	1.53%	1.03%	1.84%	1.54%	1.44%	1.22%	1.04%	1.16%	0.00%	0.76%	0.53%	0.95%	0.43%	0.88%	0.29%	0.00%	0.00%	1.10%	0.00%	1.40%	0.61%	0.39%	0.31%	0.00%	0.47%	1.27%	4.29%	0.00%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
