Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Унечская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153					
1	"Число избирателей, внесенных в списки"	37357	2352	2190	2629	2296	1733	1869	2119	2345	1962	1359	3006	237	634	311	362	717	397	284	708	492	562	847	376	324	587	750	181	586	509	411	121	772	522	528	313	524	569	72	272	448	81					
2	"Число бюллетеней, полученных участковыми комиссиями"	37672	2287	2162	2673	2357	1753	1780	2000	2342	1934	1467	3010	232	646	315	361	765	419	292	713	562	552	897	398	335	577	808	215	622	511	410	124	788	548	543	312	512	562	85	283	432	88					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16519	818	946	1200	1195	734	760	914	1103	970	573	1222	129	317	89	158	350	176	127	294	165	249	455	160	168	191	282	42	141	208	161	81	470	292	228	124	278	304	44	124	234	43					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1664	25	22	29	20	60	86	99	65	33	46	40	5	47	52	60	42	19	19	31	82	28	16	4	0	63	63	53	189	10	71	0	28	26	34	67	5	52	17	43	3	10					
6	Число погашенных бюллетеней	19489	1444	1194	1444	1142	959	934	987	1174	931	848	1748	98	282	174	143	373	224	146	388	315	275	426	234	167	323	463	120	292	293	178	43	290	230	281	121	229	206	24	116	195	35					
7	Число бюллетеней в переносных ящиках для голосования	1664	25	22	29	20	60	86	99	65	33	46	40	5	47	52	60	42	19	19	31	82	28	16	4	0	63	63	53	189	10	71	0	28	26	34	67	5	52	17	43	3	10					
8	Число бюллетеней в стационарных ящиках для голосования	16518	816	946	1200	1197	734	760	914	1101	970	573	1223	129	317	89	158	350	176	127	294	165	249	455	160	168	191	282	42	141	208	161	81	470	292	228	124	278	304	44	124	234	43					
9	Число недействительных бюллетеней	383	7	19	18	11	11	15	20	14	27	6	25	3	11	6	8	12	6	4	12	6	6	6	1	1	12	22	7	7	13	10	3	14	11	5	2	6	8	0	1	4	3					
10	Число действительных бюллетеней	17799	834	949	1211	1206	783	831	993	1152	976	613	1238	131	353	135	210	380	189	142	313	241	271	465	163	167	242	323	88	323	205	222	78	484	307	257	189	277	348	61	166	233	50					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	498	10	10	15	15	10	20	10	10	10	10	10	15	10	10	10	10	10	10	10	10	10	10	10	28	15	10	10	10	10	30	30	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	106	4	8	10	12	7	5	7	9	10	2	10	0	2	0	1	1	0	1	1	0	0	2	0	1	1	1	1	0	0	1	0	0	0	0	0	6	2	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	111	6	4	3	4	4	4	5	9	11	4	5	1	2	3	0	0	3	1	2	1	4	6	2	5	1	1	0	1	1	1	0	2	4	2	1	2	3	0	0	2	1					
14	Число погашенных открепительных удостоверений	392	6	2	5	3	3	15	3	1	0	8	0	15	8	10	9	9	10	9	9	10	10	8	10	27	14	9	9	10	10	29	30	10	10	10	10	4	8	10	10	9	10					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	"1. ""ЕДИНЕНИЕ"""	180	6	8	9	4	5	5	5	7	5	6	7	1	7	1	2	3	6	5	8	2	3	13	2	6	2	2	0	1	2	6	0	11	6	7	5	4	5	0	0	3	0					
