Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
Наименование Избирательной комиссии:    Верхнеуслонская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292					
1	"Число избирателей, внесенных в списки избирателей"	14129	435	473	458	579	733	926	250	669	748	344	480	134	970	99	437	658	144	173	234	184	95	425	86	117	313	238	408	277	239	622	362	90	126	252	170	57	420	151	283	270					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13268	420	420	450	540	650	800	220	610	745	300	440	123	900	97	420	610	135	176	230	187	95	405	86	110	300	236	400	278	237	560	350	90	124	250	163	46	390	150	285	240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11511	321	340	377	433	491	650	214	526	650	258	315	110	870	76	398	552	131	164	213	163	95	373	74	88	262	203	354	222	168	555	327	86	124	222	148	46	351	126	232	203					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	803	63	21	21	28	48	59	3	45	27	35	72	13	8	16	15	15	4	0	10	21	0	24	7	22	14	9	14	32	45	0	0	0	0	9	6	0	1	24	44	28					
6	Число погашенных избирательных бюллетеней	954	36	59	52	79	111	91	3	39	68	7	53	0	22	5	7	43	0	12	7	3	0	8	5	0	24	24	32	24	24	5	23	4	0	19	9	0	38	0	9	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	803	63	21	21	28	48	59	3	45	27	35	72	13	8	16	15	15	4	0	10	21	0	24	7	22	14	9	14	32	45	0	0	0	0	9	6	0	1	24	44	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11510	321	340	376	433	491	650	214	526	650	258	315	110	870	76	398	552	131	164	213	163	95	373	74	88	262	203	354	222	168	555	327	86	124	222	148	46	351	126	232	203					
9	Число недействительных избирательных бюллетеней	215	2	4	6	6	34	7	2	13	2	1	10	7	28	0	3	2	5	0	7	0	0	6	0	0	6	3	0	1	0	2	1	0	0	11	19	0	27	0	0	0					
10	Число действительных избирательных бюллетеней	12098	382	357	391	455	505	702	215	558	675	292	377	116	850	92	410	565	130	164	216	184	95	391	81	110	270	209	368	253	213	553	326	86	124	220	135	46	325	150	276	231					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	250	8	14	10	11	12	14	4	9	11	6	9	2	10	2	4	16	2	3	5	4	2	8	2	2	6	5	8	7	6	10	6	2	2	5	3	1	6	3	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	155	7	13	10	10	12	14	4	5	5	0	8	0	6	0	3	16	1	2	1	1	0	2	1	0	4	2	3	4	5	0	3	1	0	3	2	0	3	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	195	10	4	5	2	5	0	1	7	60	5	4	1	1	2	2	3	2	1	0	1	1	2	1	2	3	2	2	0	4	12	0	2	2	9	3	4	7	4	7	12					
14	Число погашенных неиспользованных открепительных удостоверений	95	1	1	0	1	0	0	0	4	6	6	1	2	4	2	1	0	1	1	4	3	2	6	1	2	2	3	5	3	1	10	3	1	2	2	1	1	3	3	3	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	1.Политическая партия «Аграрная партия России»	118	10	2	1	7	8	14	1	13	3	5	4	0	3	0	2	5	0	0	8	3	1	4	0	0	3	2	0	1	1	0	0	0	3	6	1	2	0	0	2	3					
		0.96%	2.60%	0.55%	0.25%	1.52%	1.48%	1.97%	0.46%	2.28%	0.44%	1.71%	1.03%	0.00%	0.34%	0.00%	0.48%	0.88%	0.00%	0.00%	3.59%	1.63%	1.05%	1.01%	0.00%	0.00%	1.09%	0.94%	0.00%	0.39%	0.47%	0.00%	0.00%	0.00%	2.42%	2.60%	0.65%	4.35%	0.00%	0.00%	0.72%	1.30%					
19	2.Всероссийская политическая партия «Гражданская Сила»	38	2	3	4	3	7	1	0	5	0	0	1	0	6	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1					
		0.31%	0.52%	0.83%	1.01%	0.65%	1.30%	0.14%	0.00%	0.88%	0.00%	0.00%	0.26%	0.00%	0.68%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.17%	0.00%	0.00%	0.00%	0.43%					
20	3.Политическая партия «Демократическая партия России»	10	1	1	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.26%	0.28%	0.76%	0.43%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	692	28	38	47	56	50	80	13	46	6	2	12	4	19	7	23	41	2	10	8	2	6	28	4	2	10	5	20	14	24	17	7	1	8	5	5	0	10	5	10	17					
		5.62%	7.29%	10.53%	11.84%	12.15%	9.28%	11.28%	5.99%	8.06%	0.89%	0.68%	3.10%	3.25%	2.16%	7.61%	5.57%	7.23%	1.48%	6.10%	3.59%	1.09%	6.32%	7.05%	4.94%	1.82%	3.62%	2.36%	5.43%	5.51%	11.27%	3.06%	2.14%	1.16%	6.45%	2.16%	3.25%	0.00%	2.84%	3.33%	3.62%	7.36%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	46	8	5	1	6	2	1	0	1	3	0	0	0	2	0	0	1	0	0	1	0	2	2	0	0	1	0	0	1	3	0	2	1	0	0	1	0	0	1	1	0					
		0.37%	2.08%	1.39%	0.25%	1.30%	0.37%	0.14%	0.00%	0.18%	0.44%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.18%	0.00%	0.00%	0.45%	0.00%	2.11%	0.50%	0.00%	0.00%	0.36%	0.00%	0.00%	0.39%	1.41%	0.00%	0.61%	1.16%	0.00%	0.00%	0.65%	0.00%	0.00%	0.67%	0.36%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	13	0	2	1	2	1	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
