Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Белоярская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №2604					
1	"Число избирателей, внесенных в списки"	25720	1864	1470	688	2208	1589	461	510	232	187	122	1092	326	508	1581	277	236	284	178	171	215	1232	1208	624	144	210	896	479	1078	200	567	102	1579	199	1157	1846					
2	"Число бюллетеней, полученных участковыми комиссиями"	24575	1670	1355	660	1980	1500	450	490	300	175	120	1040	330	520	1390	275	230	250	165	170	200	1120	1170	600	135	205	860	460	1080	190	550	100	1520	195	1120	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11771	908	570	276	780	815	200	190	106	97	72	523	153	263	751	121	82	133	96	86	63	596	488	233	65	83	479	211	451	98	239	43	678	111	706	1005					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1365	59	67	16	113	72	43	65	76	37	20	55	48	20	77	25	21	10	18	30	30	8	42	80	6	36	12	12	62	27	22	0	84	12	46	14					
6	Число погашенных бюллетеней	11439	703	718	368	1087	613	207	235	118	41	28	462	129	237	562	129	127	107	51	54	107	516	640	287	64	86	369	237	567	65	289	57	758	72	368	981					
7	Число бюллетеней в переносных ящиках для голосования	1365	59	67	16	113	72	43	65	76	37	20	55	48	20	77	25	21	10	18	30	30	8	42	80	6	36	12	12	62	27	22	0	84	12	46	14					
8	Число бюллетеней в стационарных ящиках для голосования	11770	908	569	276	780	815	200	190	106	97	72	523	153	263	751	121	82	133	96	86	63	596	488	233	65	83	479	211	451	98	239	43	678	111	706	1005					
9	Число недействительных бюллетеней	274	26	7	8	15	8	5	8	3	2	3	14	5	13	27	0	3	3	2	0	3	4	3	11	0	0	13	12	23	6	0	0	20	5	10	12					
10	Число действительных бюллетеней	12861	941	629	284	878	879	238	247	179	132	89	564	196	270	801	146	100	140	112	116	90	600	527	302	71	119	478	211	490	119	261	43	742	118	742	1007					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	375	25	20	5	30	20	7	7	8	3	2	20	5	10	20	4	3	4	2	2	3	15	20	10	2	3	15	10	16	3	8	2	23	3	20	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	94	12	11	1	1	3	0	0	8	0	0	6	1	0	3	0	0	0	0	1	1	5	1	1	1	0	3	7	5	0	2	0	2	1	8	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	154	4	5	2	5	2	18	3	1	5	1	5	5	4	14	0	2	3	4	4	1	0	9	6	6	0	3	1	8	8	9	2	3	4	2	5					
14	Число погашенных открепительных удостоверений	281	13	9	4	29	17	7	7	0	3	2	14	4	10	17	4	3	4	2	1	2	10	19	9	1	3	12	3	11	3	6	2	21	2	12	15					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	207	9	6	8	13	12	8	3	4	0	3	9	5	2	11	0	0	4	2	1	1	6	10	7	1	2	9	8	14	3	6	0	25	0	10	5					
