Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Район Богородское																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №3079					
1	"Число избирателей, внесенных в списки"	65357	2766	2755	2878	2701	2272	2430	2449	2776	2830	2762	2689	2661	2454	2356	2102	2836	2754	1934	2301	2598	2359	1753	2538	2046	2368	2486	428	75					
2	"Число бюллетеней, полученных участковыми комиссиями"	60500	2500	2500	2600	2500	2000	2200	2200	2500	2600	2500	2500	2500	2200	2200	2000	2600	2500	1700	2000	2500	2200	1600	2500	2000	2200	2500	400	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	34705	1553	1526	1617	1514	1192	1221	1252	1497	1541	1542	1415	1440	1403	1154	1191	1462	1588	1040	1073	1330	1112	907	1367	1084	1268	1173	168	75					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	836	34	4	20	36	21	20	22	27	20	47	30	36	34	40	24	26	17	29	112	33	18	10	19	32	29	28	68	0					
6	Число погашенных бюллетеней	24959	913	970	963	950	787	959	926	976	1039	911	1055	1024	763	1006	785	1112	895	631	815	1137	1070	683	1114	884	903	1299	164	225					
7	Число бюллетеней в переносных ящиках для голосования	836	34	4	20	36	21	20	22	27	20	47	30	36	34	40	24	26	17	29	112	33	18	10	19	32	29	28	68	0					
8	Число бюллетеней в стационарных ящиках для голосования	34611	1553	1523	1614	1514	1192	1221	1252	1497	1519	1539	1415	1440	1403	1152	1190	1462	1585	1040	1073	1330	1112	907	1359	1082	1221	1173	168	75					
9	Число недействительных бюллетеней	336	10	10	13	16	10	15	9	14	18	14	9	8	21	9	21	4	11	15	22	7	19	11	13	6	18	9	4	0					
10	Число действительных бюллетеней	35111	1577	1517	1621	1534	1203	1226	1265	1510	1521	1572	1436	1468	1416	1183	1193	1484	1591	1054	1163	1356	1111	906	1365	1108	1232	1192	232	75					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1450	50	50	50	50	50	50	40	50	50	50	50	50	50	50	50	100	50	50	110	50	50	50	50	50	50	50	50	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	776	35	46	34	34	25	23	17	41	26	25	23	39	28	18	19	50	29	28	59	24	26	21	28	23	25	25	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	413	14	17	18	21	12	11	22	7	14	17	21	21	12	12	27	11	19	11	6	18	9	11	12	33	10	12	15	0					
14	Число погашенных открепительных удостоверений	674	15	4	16	16	25	27	23	9	24	25	27	11	22	32	31	50	21	22	51	26	24	29	22	27	25	25	45	0					
15	Число открепительных удостоверений выданных ТИК	52	0	0	0	0	0	0	0	0	1	0	0	50	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	267	13	3	4	9	18	9	10	11	9	11	13	11	7	1	17	33	14	2	14	12	5	5	12	8	4	8	4	0					
		0.75%	0.81%	0.19%	0.24%	0.58%	1.48%	0.72%	0.78%	0.72%	0.58%	0.69%	0.89%	0.74%	0.48%	0.08%	1.40%	2.21%	0.87%	0.18%	1.18%	0.88%	0.44%	0.54%	0.87%	0.71%	0.32%	0.66%	1.69%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2307	130	100	154	117	90	70	85	76	117	82	106	92	105	64	50	83	133	60	49	107	62	73	68	49	81	87	14	3					
