Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Шарьинская городская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29820	2891	1291	1685	1880	969	1962	1190	2446	1341	1720	1817	1033	1186	2865	2756	2788									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29200	2900	1250	1650	1850	950	1900	1150	2200	1350	1700	1750	1000	1200	2850	2750	2750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9435	723	367	533	684	332	573	344	680	426	636	730	420	327	935	980	745									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	285	25	14	20	21	9	12	10	10	4	16	57	0	4	13	32	38									
6	Число погашенных избирательных бюллетеней	19480	2152	869	1097	1145	609	1315	796	1510	920	1048	963	580	869	1902	1738	1967									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	285	25	14	20	21	9	12	10	10	4	16	57	0	4	13	32	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9428	723	367	531	684	332	572	344	680	426	636	728	420	327	935	980	743									
9	Число недействительных избирательных бюллетеней	138	17	4	4	9	4	5	4	7	12	11	6	4	5	14	19	13									
10	Число действительных избирательных бюллетеней	9575	731	377	547	696	337	579	350	683	418	641	779	416	326	934	993	768									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	449	20	20	25	30	25	20	25	20	40	40	40	25	25	40	34	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	145	11	2	4	5	4	7	7	14	16	12	12	4	7	10	23	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	108	5	6	4	9	3	15	6	8	6	8	10	0	0	8	16	4									
14	Число погашенных неиспользованных открепительных удостоверений	304	9	18	21	25	21	13	18	6	24	28	28	21	18	30	11	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	3	1	0	0	1	3	3	4	1	2	1	1	4	3	3	1									
