Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Нижневартовская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20288	335	1090	307	860	319	306	794	321	134	1597	1344	1304	1090	1567	1830	1566	102	308	139	781	1489	976	1345	384									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17600	340	1050	330	900	360	350	880	400	120	1100	1000	1100	1000	1100	1300	1200	100	320	150	800	1350	900	1100	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1503	43	503	0	0	9	0	373	0	68	0	0	0	0	0	0	0	0	0	0	0	417	0	0	90									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10327	255	477	256	532	278	285	342	284	46	665	676	577	558	789	981	836	83	194	88	354	453	476	648	194									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	290	20	62	3	17	9	6	11	20	0	9	4	6	4	8	3	39	1	6	0	5	17	10	17	13									
6	Число погашенных избирательных бюллетеней	5480	22	8	71	351	64	59	154	96	6	426	320	517	438	303	316	325	16	120	62	441	463	414	435	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1793	63	565	3	17	18	6	384	20	68	9	4	6	4	8	3	39	1	6	0	5	434	10	17	103									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10323	255	477	256	532	278	285	342	284	46	665	676	577	558	789	981	836	83	194	88	354	449	476	648	194									
9	Число недействительных избирательных бюллетеней	323	5	8	7	12	1	2	29	13	2	20	20	23	9	24	17	17	4	6	4	11	51	14	17	7									
10	Число действительных избирательных бюллетеней	11793	313	1034	252	537	295	289	697	291	112	654	660	560	553	773	967	858	80	194	84	348	832	472	648	290									
