Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Залегощенская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321					
1	"Число избирателей, внесенных в списки"	12449	961	1634	522	1192	511	87	400	248	298	197	285	115	227	197	685	839	225	1022	267	110	437	849	366	192	479	104					
2	"Число бюллетеней, полученных участковыми комиссиями"	12194	900	1546	505	1133	498	85	400	250	295	197	295	120	225	205	675	830	230	1010	257	118	445	815	370	200	480	110					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8191	774	1253	373	929	298	63	192	144	121	121	184	83	191	161	359	468	154	650	159	72	270	505	191	96	298	82					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2234	36	42	62	66	137	21	157	71	157	47	74	25	31	34	235	170	60	138	64	36	92	156	107	87	115	14					
6	Число погашенных бюллетеней	1769	90	251	70	138	63	1	51	35	17	29	37	12	3	10	81	192	16	222	34	10	83	154	72	17	67	14					
7	Число бюллетеней в переносных ящиках для голосования	2234	36	42	62	66	137	21	157	71	157	47	74	25	31	34	235	170	60	138	64	36	92	156	107	87	115	14					
8	Число бюллетеней в стационарных ящиках для голосования	8191	774	1253	373	929	298	63	192	144	121	121	184	83	191	161	359	468	154	650	159	72	270	505	191	96	298	82					
9	Число недействительных бюллетеней	220	31	0	11	18	1	1	19	72	1	0	1	1	2	5	31	9	1	10	3	0	1	0	0	0	2	0					
10	Число действительных бюллетеней	10205	779	1295	424	977	434	83	330	143	277	168	257	107	220	190	563	629	213	778	220	108	361	661	298	183	411	96					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	12	17	10	19	10	5	5	5	5	5	5	5	5	5	8	10	5	10	5	5	8	10	6	5	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	90	11	17	4	19	1	0	3	0	0	0	4	0	1	0	2	3	0	7	0	0	7	2	0	1	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	91	4	11	1	8	3	4	4	3	2	1	1	0	2	1	6	4	1	3	4	0	5	4	4	3	9	3					
14	Число погашенных открепительных удостоверений	110	1	0	6	0	9	5	2	5	5	5	1	5	4	5	6	7	5	3	5	5	1	8	6	4	2	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	66	7	9	1	0	5	0	0	4	1	0	2	0	3	0	1	0	0	3	2	0	4	14	0	3	7	0					
		0.63%	0.86%	0.69%	0.22%	0.0%	1.14%	0.0%	0.0%	1.86%	0.35%	0.0%	0.77%	0.0%	1.35%	0.0%	0.16%	0.0%	0.0%	0.38%	0.89%	0.0%	1.10%	2.11%	0.0%	1.63%	1.69%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	70	7	17	3	1	2	0	1	1	0	0	2	1	0	0	2	3	2	10	1	2	4	4	3	0	2	2					
		0.67%	0.86%	1.31%	0.68%	0.10%	0.45%	0.0%	0.28%	0.46%	0.0%	0.0%	0.77%	0.92%	0.0%	0.0%	0.33%	0.47%	0.93%	1.26%	0.44%	1.85%	1.10%	0.60%	1.00%	0.0%	0.48%	2.08%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	59	3	17	3	2	0	0	2	4	0	0	0	1	0	1	1	5	2	4	1	1	0	4	0	2	5	1					
		0.56%	0.37%	1.31%	0.68%	0.20%	0.0%	0.0%	0.57%	1.86%	0.0%	0.0%	0.0%	0.92%	0.0%	0.51%	0.16%	0.78%	0.93%	0.50%	0.44%	0.92%	0.0%	0.60%	0.0%	1.09%	1.21%	1.04%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	104	7	25	5	0	8	0	2	0	1	0	2	6	1	0	3	7	4	11	7	1	2	4	4	0	4	0					
