Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    ТИК Березовского МР																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438					
1	"Число избирателей, внесенных в списки избирателей"	13760	875	145	507	1031	1947	2046	348	222	255	122	170	97	234	518	182	315	408	76	126	139	214	134	222	320	129	99	389	159	136	125	451	204	228	170	288	198	414	117					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12061	800	135	400	1000	1600	1700	300	200	220	110	150	100	200	450	170	300	350	76	130	120	200	120	200	300	120	90	320	150	130	100	400	200	200	150	250	170	350	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7916	464	64	288	565	1108	1232	227	131	146	66	119	68	150	246	66	167	286	52	93	68	107	74	149	185	88	66	269	93	92	74	253	122	130	91	174	119	166	58					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1154	54	43	25	50	69	52	48	18	21	25	4	8	8	71	46	49	10	8	21	20	29	19	21	61	2	6	8	32	6	10	62	26	18	30	22	17	123	12					
6	Число погашенных избирательных бюллетеней	2991	282	28	87	385	423	416	25	51	53	19	27	24	42	133	58	84	54	16	16	32	64	27	30	54	30	18	43	25	32	16	85	52	52	29	54	34	61	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1154	54	43	25	50	69	52	48	18	21	25	4	8	8	71	46	49	10	8	21	20	29	19	21	61	2	6	8	32	6	10	62	26	18	30	22	17	123	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7915	464	64	288	565	1108	1231	227	131	146	66	119	68	150	246	66	167	286	52	93	68	107	74	149	185	88	66	269	93	92	74	253	122	130	91	174	119	166	58					
9	Число недействительных избирательных бюллетеней	60	6	0	4	3	9	8	2	1	0	0	0	0	2	1	3	2	2	0	0	0	2	0	0	0	1	0	3	2	0	0	2	0	1	0	2	2	0	2					
10	Число действительных избирательных бюллетеней	9009	512	107	309	612	1168	1275	273	148	167	91	123	76	156	316	109	214	294	60	114	88	134	93	170	246	89	72	274	123	98	84	313	148	147	121	194	134	289	68					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	299	16	3	8	15	35	30	10	2	5	3	3	4	3	8	4	15	18	5	8	3	3	4	5	8	2	3	12	2	4	2	13	8	3	3	9	6	10	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	179	14	1	2	12	33	28	7	1	3	1	1	3	1	2	0	1	17	5	8	2	0	1	5	4	1	0	1	2	0	0	10	7	2	1	0	1	2	0					
