Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																														
Дата голосования: 18.09.2016																																																																														
																																																																														
"Наименование Избирательной комиссии:    Новосибирск, Заельцовская"																																																																														
																																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																																														
																																																																														
		Сумма	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №2026	УИК №2027									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	112155	2000	1741	1318	2006	1982	1536	1740	1903	1404	2110	2175	2016	1841	1571	1694	2021	2111	2013	1722	2146	1182	1596	1587	1165	1862	1916	1695	2500	1914	1546	2107	2125	2082	1265	1777	2167	1631	1901	1251	978	881	2310	1463	1184	2393	1383	1624	1412	1796	1595	1488	1601	2569	396	1424	1153	2798	1030	1912	1782	2046	1699	1687	2028	820	335	49									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	108233	1900	1700	1300	2000	2000	1500	1600	1800	1400	2000	2100	2000	1700	1500	1600	2000	2100	2000	1600	2000	1100	1500	1500	1100	1700	1800	1650	2500	1800	1500	2100	2100	2000	1200	1700	2000	1600	1900	1200	950	850	2200	1400	1100	2300	1300	1600	1400	1700	1500	1500	1600	2500	357	1400	1100	2600	1000	1800	1800	2000	1700	1600	2000	650	503	73									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31903	600	508	427	687	617	544	597	625	496	647	703	719	566	555	566	562	565	663	616	654	304	563	218	117	533	648	421	819	621	471	596	682	655	336	534	587	483	625	367	265	284	568	266	250	504	285	444	414	443	547	429	375	535	205	363	337	707	239	557	350	397	313	462	572	182	108	5									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	867	11	4	5	3	4	6	11	3	5	7	3	13	8	6	6	12	5	7	9	1	4	6	12	3	0	7	10	11	16	8	4	6	16	14	10	7	6	7	4	2	1	1	6	7	0	5	7	5	14	1	3	5	9	89	2	4	7	4	11	11	26	2	7	6	97	211	44									
6	Число погашенных избирательных бюллетеней	75464	1289	1188	868	1310	1379	950	992	1172	899	1346	1394	1268	1126	939	1028	1426	1530	1331	975	1345	792	931	1270	980	1167	1145	1219	1670	1163	1021	1500	1412	1329	850	1156	1406	1111	1268	829	683	565	1631	1128	843	1796	1010	1149	981	1243	952	1068	1220	1956	63	1035	759	1886	757	1232	1439	1577	1385	1131	1422	371	184	24									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	866	11	4	5	3	4	6	11	3	5	7	3	13	8	6	6	12	5	6	9	1	4	6	12	3	0	7	10	11	16	8	4	6	16	14	10	7	6	7	4	2	1	1	6	7	0	5	7	5	14	1	3	5	9	89	2	4	7	4	11	11	26	2	7	6	97	211	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31880	600	508	427	687	617	543	597	622	491	647	703	718	566	555	566	562	565	662	616	654	304	563	218	117	533	647	421	808	621	471	596	682	655	336	534	587	483	625	367	265	284	568	266	250	504	285	444	414	443	547	429	375	535	205	363	337	707	239	557	350	397	313	462	572	182	108	5									
9	Число недействительных избирательных бюллетеней	709	9	10	7	5	5	12	19	8	12	9	20	21	0	10	17	6	9	17	22	6	8	8	1	1	10	14	22	14	8	8	17	17	31	13	10	11	14	22	5	8	1	10	4	3	7	6	6	10	7	12	6	6	6	36	7	3	17	9	18	9	8	5	10	14	12	11	0									
10	Число действительных избирательных бюллетеней	32037	602	502	425	685	616	537	589	617	484	645	686	710	574	551	555	568	561	651	603	649	300	561	229	119	523	640	409	805	629	471	583	671	640	337	534	583	475	610	366	259	284	559	268	254	497	284	445	409	450	536	426	374	538	258	358	338	697	234	550	352	415	310	459	564	267	308	49									
