Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Абинская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141					
1	"Число избирателей, внесенных в списки"	71446	2964	2340	2127	1558	2388	2883	2830	2918	2358	2874	311	289	2738	785	478	860	2598	2677	2372	1860	2634	2867	1712	1843	2159	1790	1700	1803	1751	1711	708	521	282	312	2136	2173	406	1354	1609	1124	643					
2	"Число бюллетеней, полученных участковыми комиссиями"	65636	2664	2371	1884	1407	2157	2648	2542	2624	2128	2637	326	311	2439	749	490	776	2276	2372	2080	1685	2378	2646	1567	1746	1980	1674	1587	1634	1612	1519	715	564	312	322	1982	1998	403	1258	1496	1034	643					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	33401	1357	1173	995	704	1006	1270	1362	1315	1048	1401	184	192	1277	438	333	490	1158	1264	1161	799	946	1218	660	849	1015	767	864	770	754	612	433	277	203	229	928	1101	248	795	799	658	348					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2743	54	57	37	42	107	120	142	61	92	85	23	1	82	32	7	25	43	63	113	37	177	79	24	126	70	107	88	65	48	34	148	113	34	10	71	84	25	57	81	49	30					
6	Число погашенных бюллетеней	29492	1253	1141	852	661	1044	1258	1038	1248	988	1151	119	118	1080	279	150	261	1075	1045	806	849	1255	1349	883	771	895	800	635	799	810	873	134	174	75	83	983	813	130	406	616	327	265					
7	Число бюллетеней в переносных ящиках для голосования	2743	54	57	37	42	107	120	142	61	92	85	23	1	82	32	7	25	43	63	113	37	177	79	24	126	70	107	88	65	48	34	148	113	34	10	71	84	25	57	81	49	30					
8	Число бюллетеней в стационарных ящиках для голосования	33377	1357	1173	995	704	1006	1262	1361	1315	1046	1401	184	192	1277	438	333	480	1156	1264	1161	799	946	1218	659	849	1015	767	864	770	754	612	433	277	203	229	928	1101	248	795	799	658	348					
9	Число недействительных бюллетеней	463	24	7	15	6	4	12	6	9	6	8	5	3	2	4	0	8	10	165	9	11	0	7	8	15	5	10	0	23	13	9	2	3	3	0	8	20	3	8	8	0	4					
10	Число действительных бюллетеней	35657	1387	1223	1017	740	1109	1370	1497	1367	1132	1478	202	190	1357	466	340	497	1189	1162	1265	825	1123	1290	675	960	1080	864	952	812	789	637	579	387	234	239	991	1165	270	844	872	707	374					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	700	20	20	20	20	20	20	20	20	20	20	9	9	20	9	9	9	20	20	20	20	20	20	20	20	20	21	20	20	20	20	9	9	9	9	20	20	9	20	20	20	9					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	173	7	16	9	1	6	5	6	7	3	3	0	3	8	8	2	0	4	4	7	3	3	5	4	5	5	2	3	0	3	1	6	8	0	0	4	9	1	3	4	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	153	6	13	8	3	3	6	6	2	3	4	2	0	6	4	1	0	6	3	4	3	0	3	0	1	5	1	2	3	0	3	4	0	2	2	2	19	3	4	11	5	0					
