Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Ершичская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235					
1	"Число избирателей, внесенных в списки избирателей"	6647	2934	187	213	302	943	355	330	170	257	428	145	193	190					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6790	2990	207	214	304	970	346	338	170	273	435	151	200	192					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2922	1455	69	102	119	375	88	150	68	88	150	65	109	84					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1289	200	66	83	110	140	192	56	62	119	128	24	40	69					
6	Число погашенных избирательных бюллетеней	2579	1335	72	29	75	455	66	132	40	66	157	62	51	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1289	200	66	83	110	140	192	56	62	119	128	24	40	69					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2920	1453	69	102	119	375	88	150	68	88	150	65	109	84					
9	Число недействительных избирательных бюллетеней	60	20	4	1	1	16	1	4	1	3	3	3	2	1					
10	Число действительных избирательных бюллетеней	4149	1633	131	184	228	499	279	202	129	204	275	86	147	152					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	249	84	10	10	15	30	15	15	10	15	15	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	67	26	0	0	1	9	0	9	0	0	2	3	7	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	44	22	1	3	3	5	1	2	1	3	1	0	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	182	58	10	10	14	21	15	6	10	15	13	7	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	164	67	5	7	6	13	14	12	3	11	4	8	9	5					
		3.90%	4.05%	3.70%	3.78%	2.62%	2.52%	5.00%	5.83%	2.31%	5.31%	1.44%	8.99%	6.04%	3.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	23	16	0	2	0	3	0	0	0	0	1	0	1	0					
		0.55%	0.97%	0.00%	1.08%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.67%	0.00%					
20	3.Политическая партия «Демократическая партия России»	11	4	0	0	1	2	0	3	0	0	1	0	0	0					
		0.26%	0.24%	0.00%	0.00%	0.44%	0.39%	0.00%	1.46%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	536	241	9	11	28	76	35	20	7	17	58	4	20	10					
		12.73%	14.58%	6.67%	5.95%	12.23%	14.76%	12.50%	9.71%	5.38%	8.21%	20.86%	4.49%	13.42%	6.54%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	10	7	0	0	0	2	0	0	0	0	0	0	1	0					
		0.24%	0.42%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	394	145	16	20	19	53	27	28	20	6	26	8	11	15					
		9.36%	8.77%	11.85%	10.81%	8.30%	10.29%	9.64%	13.59%	15.38%	2.90%	9.35%	8.99%	7.38%	9.80%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	319	160	7	11	11	29	11	11	7	21	23	7	7	14					
		7.58%	9.68%	5.19%	5.95%	4.80%	5.63%	3.93%	5.34%	5.38%	10.14%	8.27%	7.87%	4.70%	9.15%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	30	15	1	0	1	6	0	1	0	2	1	0	0	3					
		0.71%	0.91%	0.74%	0.00%	0.44%	1.17%	0.00%	0.49%	0.00%	0.97%	0.36%	0.00%	0.00%	1.96%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2638	961	93	133	162	311	192	127	92	147	158	59	98	105					
		62.68%	58.14%	68.89%	71.89%	70.74%	60.39%	68.57%	61.65%	70.77%	71.01%	56.83%	66.29%	65.77%	68.63%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	23	16	0	0	0	4	0	0	0	0	3	0	0	0					
		0.55%	0.97%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	1.08%	0.00%	0.00%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
