Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Дальнегорская городская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389					
1	"Число избирателей, внесенных в списки"	42701	2445	807	2980	2341	2326	2110	1660	1935	2918	2512	2173	2363	2168	1893	1800	1281	1619	2290	1205	425	2027	1423					
2	"Число бюллетеней, полученных участковыми комиссиями"	38850	2200	750	2800	2100	2100	1900	1500	1750	2700	2300	2000	2100	2000	1700	1650	1150	1450	2100	1100	400	1800	1300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20081	1135	373	1446	930	1165	1061	812	928	1403	1224	940	972	1060	871	857	702	751	1035	577	116	1061	662					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	606	88	14	19	19	23	15	6	14	22	27	116	22	18	9	15	9	15	19	15	44	65	12					
6	Число погашенных бюллетеней	18163	977	363	1335	1151	912	824	682	808	1275	1049	944	1106	922	820	778	439	684	1046	508	240	674	626					
7	Число бюллетеней в переносных ящиках для голосования	606	88	14	19	19	23	15	6	14	22	27	116	22	18	9	15	9	15	19	15	44	65	12					
8	Число бюллетеней в стационарных ящиках для голосования	20075	1134	373	1446	930	1163	1061	812	928	1403	1224	940	971	1059	870	857	702	751	1035	577	116	1061	662					
9	Число недействительных бюллетеней	215	15	9	10	6	11	18	6	8	14	13	3	10	8	7	13	6	12	17	6	0	18	5					
10	Число действительных бюллетеней	20466	1207	378	1455	943	1175	1058	812	934	1411	1238	1053	983	1069	872	859	705	754	1037	586	160	1108	669					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	365	20	10	20	20	20	15	15	15	20	20	15	20	20	15	15	15	15	20	15	10	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	80	7	0	4	4	6	6	6	2	8	3	1	2	4	2	6	2	3	0	3	0	10	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	6	0	0	0	2	1	4	0	2	3	1	11	1	1	1	0	2	0	0	9	3	2					
14	Число погашенных открепительных удостоверений	285	13	10	16	16	14	9	9	13	12	17	14	18	16	13	9	13	12	20	12	10	5	14					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	292	8	10	18	16	20	20	8	16	27	18	21	15	7	13	9	10	12	10	10	1	21	2					
		1.41%	0.65%	2.58%	1.22%	1.68%	1.68%	1.85%	0.97%	1.69%	1.89%	1.43%	1.98%	1.51%	0.64%	1.47%	1.03%	1.40%	1.56%	0.94%	1.68%	0.62%	1.86%	0.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	291	6	3	25	33	11	7	9	13	11	19	15	13	26	12	9	12	17	16	4	2	11	17					
		1.40%	0.49%	0.77%	1.70%	3.47%	0.92%	0.65%	1.10%	1.38%	0.77%	1.51%	1.42%	1.30%	2.41%	1.36%	1.03%	1.68%	2.21%	1.51%	0.67%	1.25%	0.97%	2.52%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	563	55	20	40	18	22	28	29	31	34	36	40	20	24	24	17	16	25	23	14	3	14	30					
		2.72%	4.50%	5.16%	2.73%	1.89%	1.85%	2.60%	3.54%	3.29%	2.38%	2.87%	3.78%	2.01%	2.22%	2.73%	1.94%	2.25%	3.26%	2.18%	2.36%	1.87%	1.24%	4.45%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	829	28	8	56	29	54	34	22	49	53	51	48	57	86	64	20	37	33	43	14	4	32	7					
		4.00%	2.29%	2.06%	3.82%	3.05%	4.55%	3.15%	2.68%	5.20%	3.71%	4.07%	4.54%	5.74%	7.98%	7.28%	2.29%	5.20%	4.30%	4.07%	2.36%	2.5%	2.84%	1.03%					
22	"5. ""За Русь Святую"""	132	7	2	16	6	4	5	5	6	7	10	8	9	2	1	7	11	2	12	6	2	2	2					
		0.63%	0.57%	0.51%	1.09%	0.63%	0.33%	0.46%	0.61%	0.63%	0.49%	0.79%	0.75%	0.90%	0.18%	0.11%	0.80%	1.54%	0.26%	1.13%	1.01%	1.25%	0.17%	0.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	61	5	1	7	4	0	7	3	0	1	5	4	5	2	0	6	2	3	1	2	1	2	0					
		0.29%	0.40%	0.25%	0.47%	0.42%	0.0%	0.65%	0.36%	0.0%	0.07%	0.39%	0.37%	0.50%	0.18%	0.0%	0.68%	0.28%	0.39%	0.09%	0.33%	0.62%	0.17%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	218	9	1	32	15	11	10	12	5	13	11	16	19	15	8	6	3	5	12	8	0	7	0					
		1.05%	0.73%	0.25%	2.18%	1.58%	0.92%	0.92%	1.46%	0.53%	0.91%	0.87%	1.51%	1.91%	1.39%	0.91%	0.68%	0.42%	0.65%	1.13%	1.35%	0.0%	0.62%	0.0%					
