Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Александрово-Заводская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7017	2005	57	312	315	223	149	142	106	124	102	184	165	119	419	264	119	123	590	224	186	179	137	337	299	43	94									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7200	2080	60	320	315	225	150	140	110	125	105	190	170	120	430	270	120	130	600	235	185	180	140	350	305	50	95									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	19	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2586	552	34	167	125	95	62	69	23	69	41	48	87	57	168	101	57	72	155	111	55	55	49	126	126	21	61									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	436	25	0	23	15	13	5	10	13	28	10	16	6	4	13	24	9	10	70	20	29	14	13	24	30	4	8									
6	Число погашенных избирательных бюллетеней	4159	1503	26	130	175	117	83	61	74	28	54	126	77	59	230	145	54	48	375	104	101	111	78	200	149	25	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	455	25	0	23	15	13	5	10	13	28	10	16	6	4	32	24	9	10	70	20	29	14	13	24	30	4	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2586	552	34	167	125	95	62	69	23	69	41	48	87	57	168	101	57	72	155	111	55	55	49	126	126	21	61									
9	Число недействительных избирательных бюллетеней	57	16	0	2	4	5	1	1	0	2	1	1	0	1	6	4	1	0	2	3	2	0	0	5	0	0	0									
10	Число действительных избирательных бюллетеней	2984	561	34	188	136	103	66	78	36	95	50	63	93	60	194	121	65	82	223	128	82	69	62	145	156	25	69									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	100	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	42	16	0	2	6	0	0	1	0	0	0	0	0	1	4	0	4	1	3	3	0	0	0	1	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	20	1	0	0	3	1	1	1	1	1	0	0	1	1	1	1	0	0	2	1	1	0	0	1	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	308	84	5	8	4	10	10	9	10	10	10	10	10	9	6	10	6	9	17	7	10	10	10	9	10	5	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	9	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	29	8	1	0	2	2	0	0	0	0	0	0	1	1	2	1	0	0	4	2	1	1	1	1	1	0	0									
		0.95%	1.39%	2.94%	0.00%	1.43%	1.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.08%	1.64%	1.00%	0.80%	0.00%	0.00%	1.78%	1.53%	1.19%	1.45%	1.61%	0.67%	0.64%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	99	28	0	4	3	1	3	2	1	1	1	1	2	3	7	2	6	3	15	4	1	1	2	2	3	0	3									
		3.26%	4.85%	0.00%	2.11%	2.14%	0.93%	4.48%	2.53%	2.78%	1.03%	1.96%	1.56%	2.15%	4.92%	3.50%	1.60%	9.09%	3.66%	6.67%	3.05%	1.19%	1.45%	3.23%	1.33%	1.92%	0.00%	4.35%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	73	10	0	7	1	3	1	4	2	4	0	1	1	1	8	4	3	1	9	4	1	2	2	3	1	0	0									
		2.40%	1.73%	0.00%	3.68%	0.71%	2.78%	1.49%	5.06%	5.56%	4.12%	0.00%	1.56%	1.08%	1.64%	4.00%	3.20%	4.55%	1.22%	4.00%	3.05%	1.19%	2.90%	3.23%	2.00%	0.64%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1250	176	15	93	67	60	42	40	6	28	24	24	33	26	79	61	35	28	69	58	47	36	18	59	72	16	38									
		41.10%	30.50%	44.12%	48.95%	47.86%	55.56%	62.69%	50.63%	16.67%	28.87%	47.06%	37.50%	35.48%	42.62%	39.50%	48.80%	53.03%	34.15%	30.67%	44.27%	55.95%	52.17%	29.03%	39.33%	46.15%	64.00%	55.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	3	0	1	3	1	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	1	0	2	0	0	0									
		0.53%	0.52%	0.00%	0.53%	2.14%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	1.60%	0.00%	1.22%	0.00%	0.00%	0.00%	1.45%	0.00%	1.33%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	4	0	0	0									
		0.43%	0.35%	0.00%	0.00%	0.71%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.22%	0.89%	0.00%	1.19%	0.00%	1.61%	2.67%	0.00%	0.00%	0.00%									
