Выборы Президента Российской Федерации																																																															
Дата голосования: 02.03.2008																																																															
																																																															
Наименование Избирательной комиссии:    Серпуховская городская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
	Число участковых избирательных комиссий	56																																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	56																																																													
																																																															
		Сумма	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740					
1	"Число избирателей, включенных в списки избирателей"	107726	2296	1448	1417	1035	1947	1545	1541	2152	2192	1949	2193	2176	1087	1714	2182	1388	1730	1636	1931	1935	1630	2039	2284	2347	1857	1554	2655	2169	1629	2162	2733	1858	2408	2415	2184	1692	2273	1840	2036	2617	1953	1687	2358	2282	2474	1953	2155	1855	1674	1885	2428	2065	1595	1942	887	657					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	99210	2100	1300	1300	950	1800	1400	1400	2000	2000	1800	2000	2000	1000	1500	2000	1300	1600	1500	1800	1700	1550	2000	2050	2100	1700	1400	2250	2000	1500	2000	2500	1700	2200	2300	2050	1500	2100	1700	1900	2450	1800	1600	2000	2100	2300	1850	1950	1700	1500	1650	2300	1900	1400	1960	900	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	73236	1669	950	951	644	1334	1087	1037	1250	1493	1274	1364	1636	770	1246	1441	1028	1392	1189	983	1198	1103	1213	1997	1966	1391	1223	1782	1397	1224	1424	1971	947	1391	1650	1355	1000	1224	1287	1499	1633	1223	1340	1493	1637	1392	1196	1485	1098	976	1143	1597	1342	1247	1925	872	657					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4730	132	62	52	94	45	53	87	103	62	80	51	72	50	68	183	48	61	53	99	136	71	123	50	26	73	55	322	38	65	142	57	76	64	109	160	101	92	66	114	84	25	25	106	86	218	264	71	48	53	169	90	53	26	17	0	0					
6	Число погашенных избирательных бюллетеней	21244	299	288	297	212	421	260	276	647	445	446	585	292	180	186	376	224	147	258	718	366	376	664	3	108	236	122	146	565	211	434	472	677	745	541	535	399	784	347	287	733	552	235	401	377	690	390	394	554	471	338	613	505	127	18	28	243					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4729	132	62	52	94	45	52	87	103	62	80	51	72	50	68	183	48	61	53	99	136	71	123	50	26	73	55	322	38	65	142	57	76	64	109	160	101	92	66	114	84	25	25	106	86	218	264	71	48	53	169	90	53	26	17	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	73212	1669	950	951	644	1334	1087	1037	1250	1493	1274	1364	1636	770	1246	1441	1028	1392	1189	983	1198	1103	1207	1997	1966	1391	1223	1782	1397	1224	1424	1967	945	1391	1650	1355	1000	1224	1287	1499	1633	1223	1340	1493	1635	1392	1196	1485	1098	976	1143	1597	1342	1242	1920	872	657					
9	Число недействительных избирательных бюллетеней	980	19	10	18	6	20	7	7	17	25	24	20	27	9	10	7	11	6	11	18	14	11	10	24	41	4	7	28	27	10	12	8	16	23	18	26	13	14	23	14	19	25	14	19	98	24	14	16	23	17	6	19	14	24	21	6	6					
10	Число действительных избирательных бюллетеней	76961	1782	1002	985	732	1359	1132	1117	1336	1530	1330	1395	1681	811	1304	1617	1065	1447	1231	1064	1320	1163	1320	2023	1951	1460	1271	2076	1408	1279	1554	2016	1005	1432	1741	1489	1088	1302	1330	1599	1698	1223	1351	1580	1623	1586	1446	1540	1123	1012	1306	1668	1381	1244	1916	866	651					
11	Число полученных открепительных  удостоверений	2905	56	30	40	15	56	38	31	62	68	48	58	91	50	50	71	32	35	50	56	41	50	66	56	56	46	42	79	56	50	68	89	55	56	75	56	50	56	50	56	85	56	50	56	65	75	56	56	50	45	50	65	56	50	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2534	55	22	40	12	56	32	25	62	68	40	57	91	18	25	57	29	27	33	50	37	48	63	51	54	45	34	69	42	44	61	76	52	47	62	53	50	46	34	44	84	28	43	56	63	75	39	51	39	41	46	65	49	44	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1961	15	32	5	15	30	17	27	18	27	19	27	35	12	14	19	18	35	41	30	41	10	37	29	25	22	20	60	26	24	31	39	24	95	16	27	25	28	33	37	32	25	13	122	25	29	27	87	30	11	53	14	33	27	6	25	317					
14	Число неиспользованных открепительных удостоверений	371	1	8	0	3	0	6	6	0	0	8	1	0	32	25	14	3	8	17	6	4	2	3	5	2	1	8	10	14	6	7	13	3	9	13	3	0	10	16	12	1	28	7	0	2	0	17	5	11	4	4	0	7	6	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	94	4	1	2	1	1	0	1	2	4	1	0	0	0	1	0	0	2	3	1	0	7	4	2	2	0	2	0	5	4	1	1	3	2	3	3	1	2	0	3	3	1	4	2	3	0	0	1	4	2	2	1	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																															
18	Богданов Андрей Владимирович	862	21	12	12	6	9	19	12	18	18	17	19	25	8	4	20	15	16	19	16	14	6	17	15	24	18	13	23	16	8	13	33	13	17	18	25	9	19	19	10	20	15	7	16	14	28	12	12	24	17	11	11	9	15	25	6	4					
		1.11%	1.17%	1.19%	1.20%	0.81%	0.65%	1.67%	1.07%	1.33%	1.16%	1.26%	1.34%	1.46%	0.98%	0.30%	1.23%	1.39%	1.10%	1.53%	1.48%	1.05%	0.51%	1.28%	0.73%	1.20%	1.23%	1.02%	1.09%	1.11%	0.62%	0.83%	1.63%	1.27%	1.17%	1.02%	1.65%	0.82%	1.44%	1.40%	0.62%	1.16%	1.20%	0.51%	1.00%	0.81%	1.74%	0.82%	0.77%	2.09%	1.65%	0.84%	0.65%	0.65%	1.18%	1.29%	0.69%	0.61%					
19	Жириновский Владимир Вольфович	6343	132	79	89	62	109	110	89	168	139	35	127	106	53	95	118	94	111	94	114	85	93	122	144	147	105	101	150	124	103	81	159	72	114	161	119	43	135	102	111	158	147	114	146	104	132	127	137	128	100	87	104	134	117	199	106	108					
		8.14%	7.33%	7.81%	8.87%	8.40%	7.90%	9.66%	7.92%	12.42%	8.94%	2.58%	8.98%	6.21%	6.46%	7.23%	7.27%	8.74%	7.64%	7.57%	10.54%	6.37%	7.92%	9.17%	7.03%	7.38%	7.17%	7.90%	7.13%	8.64%	7.99%	5.17%	7.86%	7.05%	7.84%	9.15%	7.85%	3.91%	10.26%	7.54%	6.88%	9.20%	11.78%	8.35%	9.13%	6.04%	8.20%	8.70%	8.80%	11.17%	9.72%	6.63%	6.16%	9.61%	9.23%	10.27%	12.16%	16.44%					
20	Зюганов Геннадий Андреевич	13874	302	163	138	121	182	176	229	234	293	281	295	436	103	209	224	178	155	165	219	265	200	218	286	260	206	196	370	275	195	319	393	235	342	299	265	243	326	252	224	358	232	200	334	271	353	282	332	332	244	254	381	294	282	110	131	12					
		17.80%	16.77%	16.11%	13.76%	16.40%	13.20%	15.45%	20.37%	17.29%	18.84%	20.75%	20.85%	25.53%	12.56%	15.91%	13.79%	16.54%	10.67%	13.29%	20.24%	19.87%	17.04%	16.39%	13.97%	13.05%	14.07%	15.34%	17.59%	19.16%	15.13%	20.37%	19.42%	23.02%	23.51%	16.99%	17.49%	22.07%	24.77%	18.63%	13.89%	20.85%	18.59%	14.65%	20.89%	15.75%	21.93%	19.32%	21.34%	28.97%	23.71%	19.36%	22.58%	21.08%	22.24%	5.68%	15.02%	1.83%					
21	Медведев Дмитрий Анатольевич	55882	1327	748	746	543	1059	827	787	916	1080	997	954	1114	647	996	1255	778	1165	953	715	956	864	963	1578	1520	1131	961	1533	993	973	1141	1431	685	959	1263	1080	793	822	957	1254	1162	829	1030	1084	1234	1073	1025	1059	639	651	954	1172	944	830	1582	623	527					
		71.70%	73.68%	73.91%	74.38%	73.58%	76.79%	72.61%	70.02%	67.70%	69.45%	73.63%	67.42%	65.22%	78.90%	75.80%	77.28%	72.30%	80.18%	76.73%	66.08%	71.66%	73.59%	72.41%	77.09%	76.31%	77.25%	75.20%	72.86%	69.20%	75.48%	72.86%	70.70%	67.09%	65.91%	71.80%	71.29%	72.03%	62.46%	70.73%	77.74%	67.68%	66.43%	75.46%	67.79%	71.70%	66.65%	70.21%	68.06%	55.76%	63.27%	72.71%	69.47%	67.67%	65.46%	81.67%	71.44%	80.21%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
