Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Осинниковская городская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38734	1636	1838	787	1261	1187	1638	1880	1341	2626	1134	1678	1642	2356	1371	1690	2362	2208	2038	1815	2146	2021	2079									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38650	1650	1800	750	1250	1150	1650	1850	1350	2650	1100	1650	1650	2350	1350	1700	2350	2250	2050	1800	2150	2050	2100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33294	1373	1522	612	980	998	1454	1648	1161	2235	981	1471	1369	1951	1206	1435	2052	1939	1819	1621	1920	1768	1779									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1236	157	178	8	100	82	26	42	19	75	9	39	51	99	44	55	48	41	31	29	30	42	31									
6	Число погашенных избирательных бюллетеней	4120	120	100	130	170	70	170	160	170	340	110	140	230	300	100	210	250	270	200	150	200	240	290									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1236	157	178	8	100	82	26	42	19	75	9	39	51	99	44	55	48	41	31	29	30	42	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33274	1373	1522	612	980	998	1454	1648	1161	2235	981	1471	1369	1950	1201	1435	2052	1929	1819	1621	1920	1768	1775									
9	Число недействительных избирательных бюллетеней	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1									
10	Число действительных избирательных бюллетеней	34504	1528	1699	620	1080	1080	1480	1690	1180	2310	990	1510	1420	2049	1245	1490	2098	1970	1850	1650	1950	1810	1805									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	987	44	44	37	39	38	44	44	39	55	38	44	44	50	39	44	50	50	50	44	50	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	657	44	14	5	39	38	20	19	16	55	10	14	24	27	12	44	33	50	39	29	50	35	40									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	175	4	17	9	0	5	4	16	11	0	5	4	1	0	12	6	0	8	30	11	22	8	2									
14	Число погашенных неиспользованных открепительных удостоверений	330	0	30	32	0	0	24	25	23	0	28	30	20	23	27	0	17	0	11	15	0	15	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	1	0	1	0	0	2	0	0	0	1	1	0	0	0	1	2	2	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	1	2	2	3	3	2	1	2	2	2	1	2	3	2	2	2	2	2	2	2	2	3									
		0.13%	0.07%	0.12%	0.32%	0.28%	0.28%	0.14%	0.06%	0.17%	0.09%	0.20%	0.07%	0.14%	0.15%	0.16%	0.13%	0.10%	0.10%	0.11%	0.12%	0.10%	0.11%	0.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	66	2	2	3	3	3	2	1	4	2	4	1	2	3	5	4	5	4	5	2	4	2	3									
		0.19%	0.13%	0.12%	0.48%	0.28%	0.28%	0.14%	0.06%	0.34%	0.09%	0.40%	0.07%	0.14%	0.15%	0.40%	0.27%	0.24%	0.20%	0.27%	0.12%	0.21%	0.11%	0.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	33	1	1	1	2	2	2	2	1	1	1	2	3	1	4	1	1	1	1	1	1	2	1									
		0.10%	0.07%	0.06%	0.16%	0.19%	0.19%	0.14%	0.12%	0.08%	0.04%	0.10%	0.13%	0.21%	0.05%	0.32%	0.07%	0.05%	0.05%	0.05%	0.06%	0.05%	0.11%	0.06%									
