Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Немецкая																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133					
1	"Число избирателей, внесенных в списки"	13391	1299	1034	1159	1286	149	440	845	1255	960	981	1738	948	969	328					
2	"Число бюллетеней, полученных участковыми комиссиями"	13059	1100	1100	1200	1200	283	500	800	1100	900	1000	1700	900	1000	276					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9076	909	723	731	805	147	337	572	783	654	593	1200	731	684	207					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	221	15	23	15	31	2	0	23	29	8	7	27	24	10	7					
6	Число погашенных бюллетеней	3762	176	354	454	364	134	163	205	288	238	400	473	145	306	62					
7	Число бюллетеней в переносных ящиках для голосования	220	15	23	15	31	1	0	23	29	8	7	27	24	10	7					
8	Число бюллетеней в стационарных ящиках для голосования	9074	909	723	731	803	148	337	572	783	654	592	1200	731	684	207					
9	Число недействительных бюллетеней	125	10	12	10	10	0	6	8	18	9	7	18	6	8	3					
10	Число действительных бюллетеней	9169	914	734	736	824	149	331	587	794	653	592	1209	749	686	211					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	18	7	8	8	3	3	5	8	8	8	7	7	7	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	42	13	2	4	7	0	0	3	0	1	2	2	1	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	1	2	0	3	0	2	1	1	1	1	2	1	1	0					
14	Число погашенных открепительных удостоверений	58	5	5	4	1	3	3	2	8	7	6	5	6	0	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
