Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Вознесенская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13147	1605	1574	1305	1157	346	604	591	474	304	828	183	633	923	535	1280	449	356									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12700	1550	1550	1250	1100	300	600	550	450	300	800	150	600	900	550	1250	450	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5222	688	709	624	459	131	273	119	196	154	303	88	246	284	232	383	160	173									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1075	40	3	23	25	27	80	180	75	42	133	31	36	175	29	70	65	41									
6	Число погашенных избирательных бюллетеней	6403	822	838	603	616	142	247	251	179	104	364	31	318	441	289	797	225	136									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1075	40	3	23	25	27	80	180	75	42	133	31	36	175	29	70	65	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5215	688	706	624	459	131	273	119	196	154	303	88	246	281	232	382	160	173									
9	Число недействительных избирательных бюллетеней	148	10	5	11	11	2	4	4	8	4	12	3	15	18	8	16	6	11									
10	Число действительных избирательных бюллетеней	6142	718	704	636	473	156	349	295	263	192	424	116	267	438	253	436	219	203									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	275	20	30	20	20	10	15	10	15	10	15	10	15	20	25	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	113	12	21	10	5	0	4	0	11	5	5	1	1	4	15	9	8	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	76	2	11	5	3	6	2	3	5	4	5	1	9	4	7	1	2	6									
14	Число погашенных неиспользованных открепительных удостоверений	162	8	9	10	15	10	11	10	4	5	10	9	14	16	10	11	2	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	69	14	5	8	5	3	5	3	2	0	4	0	2	1	3	7	4	3									
