Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    Чаа-Хольская															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №168	УИК №169	УИК №170	УИК №171									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3253	1785	663	170	635									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3335	1815	670	180	670									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	107	89	0	18	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2904	1589	613	139	563									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	157	67	46	0	44									
6	Число погашенных избирательных бюллетеней	167	70	11	23	63									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	264	156	46	18	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2903	1589	613	138	563									
9	Число недействительных избирательных бюллетеней	8	8	0	0	0									
10	Число действительных избирательных бюллетеней	3159	1737	659	156	607									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	45	27	10	0	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	19	10	6	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	14	4	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	26	17	4	0	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	19	2	1	18									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	2	1	1	0	0									
		0.06%	0.06%	0.15%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3068	1664	658	150	596									
		96.87%	95.36%	99.85%	96.15%	98.19%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	1	0	0	1	0									
		0.03%	0.00%	0.00%	0.64%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1	0	0	1	0									
		0.03%	0.00%	0.00%	0.64%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1	0	0	1	0									
		0.03%	0.00%	0.00%	0.64%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	70	60	0	1	9									
		2.21%	3.44%	0.00%	0.64%	1.48%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1	0	0	1	0									
		0.03%	0.00%	0.00%	0.64%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	15	12	0	1	2									
		0.47%	0.69%	0.00%	0.64%	0.33%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
