Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Омск, Октябрьская"																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	136352	2539	2250	2554	1826	2166	1557	2090	1549	1418	2026	2637	2139	2694	2054	2168	1858	2257	1901	1494	1503	2029	1939	2037	2249	2019	2277	2293	1900	1919	2073	1970	1770	2211	2283	2314	2616	1315	1844	1793	1725	1843	2085	2211	1908	1951	1490	1591	1786	1227	2105	1290	1168	552	828	1200	1538	2417	2398	1981	2091	1700	1717	1962	1666	1428	1704	2688	2682	1991	1721	1950	113	114									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	133600	2500	2200	2500	1800	2100	1500	2000	1500	1400	2100	2600	2100	2500	2000	2100	1800	2100	2100	1400	1500	2000	1900	2000	2200	2000	2200	2300	1900	1900	2000	1900	1700	2200	2200	2200	2600	1200	1800	1800	1700	1800	2000	2200	1900	1900	1500	1500	1700	1200	2100	1200	1100	500	800	1200	1500	2400	2400	1900	2100	1700	1600	1900	1600	1400	1700	2700	2700	1900	1700	1900	200	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	46687	936	724	749	541	808	469	815	515	439	760	1083	613	1116	664	731	672	765	732	567	494	661	761	765	763	724	940	865	601	709	744	733	722	827	807	609	840	413	710	752	700	516	651	657	683	663	560	495	637	443	620	496	348	147	270	274	499	812	833	721	834	676	692	779	605	445	404	756	773	517	462	426	88	66									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1212	14	14	22	6	13	12	7	20	37	22	8	8	12	26	63	24	48	5	11	7	8	33	20	38	24	20	42	34	28	25	18	13	29	37	8	8	5	7	38	16	4	14	15	12	10	11	5	15	3	4	3	5	2	18	9	4	11	9	7	8	7	17	5	9	9	12	14	9	19	22	28	15	47									
6	Число погашенных избирательных бюллетеней	85701	1550	1462	1729	1253	1279	1019	1178	965	924	1318	1509	1479	1372	1310	1306	1104	1287	1363	822	999	1331	1106	1215	1399	1252	1240	1393	1265	1163	1231	1149	965	1344	1356	1583	1752	782	1083	1010	984	1280	1335	1528	1205	1227	929	1000	1048	754	1476	701	747	351	512	917	997	1577	1558	1172	1258	1017	891	1116	986	946	1284	1930	1918	1364	1216	1446	97	87									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1212	14	14	22	6	13	12	7	20	37	22	8	8	12	26	63	24	48	5	11	7	8	33	20	38	24	20	42	34	28	25	18	13	29	37	8	8	5	7	38	16	4	14	15	12	10	11	5	15	3	4	3	5	2	18	9	4	11	9	7	8	7	17	5	9	9	12	14	9	19	22	28	15	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	46632	935	724	749	540	808	469	815	515	439	758	1082	613	1116	664	731	672	765	732	567	494	661	761	765	763	718	940	865	600	708	741	733	721	827	807	609	839	413	708	748	697	516	651	657	681	663	560	495	636	442	620	496	347	147	270	274	499	812	831	720	834	675	692	779	605	445	404	756	772	517	444	426	88	66									
9	Число недействительных избирательных бюллетеней	1543	15	21	15	18	19	13	9	21	12	19	29	8	34	39	20	32	38	23	23	12	19	38	27	22	25	29	33	24	28	38	20	34	20	25	17	23	8	24	38	38	27	24	21	25	20	35	23	25	14	21	16	15	13	8	8	15	21	18	22	16	16	15	22	25	14	19	24	26	10	12	17	1	5									
10	Число действительных избирательных бюллетеней	46301	934	717	756	528	802	468	813	514	464	761	1061	613	1094	651	774	664	775	714	555	489	650	756	758	779	717	931	874	610	708	728	731	700	836	819	600	824	410	691	748	675	493	641	651	668	653	536	477	626	431	603	483	337	136	280	275	488	802	822	705	826	666	694	762	589	440	397	746	755	526	454	437	102	108									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3170	50	50	50	40	50	40	50	40	40	50	50	50	50	50	50	40	50	50	40	40	50	40	50	50	50	50	50	40	40	50	40	40	50	50	50	50	40	40	40	40	40	50	50	40	40	40	40	40	40	50	40	40	40	40	40	40	50	50	50	50	40	40	40	40	40	40	50	50	40	40	40	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	965	20	17	30	22	24	12	20	8	10	42	26	20	13	21	7	14	18	30	12	9	11	9	12	11	6	13	12	10	15	10	13	8	17	10	12	15	8	7	8	4	17	10	24	15	22	12	7	15	10	13	3	4	5	7	3	15	13	12	11	18	16	14	8	15	11	11	16	21	10	11	10	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	939	8	12	7	11	11	7	8	4	8	12	19	12	126	23	22	7	70	9	21	8	0	14	7	12	15	9	5	8	9	2	5	6	8	4	90	6	10	1	0	9	10	2	17	11	15	2	2	7	13	4	21	10	0	13	2	8	10	7	8	5	12	5	4	2	3	6	12	4	8	7	12	30	42									
14	Число погашенных неиспользованных открепительных удостоверений	2205	30	33	20	18	26	28	30	32	30	8	24	30	37	29	43	26	32	20	28	31	39	31	38	39	44	37	38	30	25	40	27	32	33	40	38	35	32	33	32	36	23	40	26	25	18	28	33	25	30	37	37	36	35	33	37	25	37	38	39	32	24	26	32	25	29	29	34	29	30	29	30	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	61	0	3	3	1	0	1	3	0	2	0	2	1	1	0	1	0	0	2	2	1	0	1	1	1	1	1	0	0	0	0	0	0	2	0	1	1	0	1	0	1	0	0	1	1	1	3	0	1	0	0	3	0	0	0	2	0	4	1	0	0	1	0	2	1	2	1	0	1	0	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	794	17	8	19	10	13	6	16	12	11	19	24	8	26	9	14	10	14	8	6	6	11	11	21	24	15	11	9	7	14	15	8	7	9	15	19	18	11	10	2	7	7	17	10	9	11	7	7	6	8	8	8	6	1	2	1	12	13	22	12	11	10	11	16	7	5	4	13	12	11	8	15	2	2									
		1.66%	1.79%	1.08%	2.46%	1.83%	1.58%	1.25%	1.95%	2.24%	2.31%	2.44%	2.20%	1.29%	2.30%	1.30%	1.76%	1.44%	1.72%	1.09%	1.04%	1.20%	1.64%	1.39%	2.68%	2.99%	2.02%	1.15%	0.99%	1.10%	1.90%	1.96%	1.07%	0.95%	1.05%	1.78%	3.08%	2.13%	2.63%	1.40%	0.25%	0.98%	1.35%	2.56%	1.49%	1.30%	1.63%	1.23%	1.40%	0.92%	1.80%	1.28%	1.60%	1.70%	0.67%	0.69%	0.35%	2.39%	1.58%	2.62%	1.65%	1.31%	1.47%	1.55%	2.04%	1.14%	1.10%	0.96%	1.69%	1.54%	2.05%	1.72%	3.30%	1.94%	1.77%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	2104	34	33	25	25	36	16	23	33	15	23	41	12	43	29	37	26	34	37	33	24	38	27	36	38	38	42	42	22	37	20	40	41	30	39	25	20	15	30	40	49	25	24	39	36	34	32	25	29	26	23	26	14	9	11	10	26	38	41	24	41	36	38	26	27	15	19	40	47	38	11	16	5	5									
		4.40%	3.58%	4.47%	3.24%	4.58%	4.38%	3.33%	2.80%	6.17%	3.15%	2.95%	3.76%	1.93%	3.81%	4.20%	4.66%	3.74%	4.18%	5.02%	5.71%	4.79%	5.68%	3.40%	4.59%	4.74%	5.12%	4.38%	4.63%	3.47%	5.03%	2.61%	5.33%	5.59%	3.50%	4.62%	4.05%	2.36%	3.59%	4.20%	5.09%	6.87%	4.81%	3.61%	5.80%	5.19%	5.05%	5.60%	5.00%	4.45%	5.84%	3.69%	5.21%	3.98%	6.04%	3.82%	3.53%	5.17%	4.62%	4.88%	3.30%	4.87%	5.28%	5.36%	3.32%	4.40%	3.30%	4.57%	5.19%	6.02%	7.09%	2.36%	3.52%	4.85%	4.42%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	906	11	11	14	9	18	12	20	11	8	14	26	10	14	8	19	19	14	14	10	5	6	14	10	14	17	10	10	11	9	16	20	15	25	22	11	16	5	18	22	19	11	12	11	18	17	10	8	10	7	9	5	5	2	3	11	9	17	17	18	12	8	15	22	9	10	10	12	21	9	9	4	4	4									
		1.89%	1.16%	1.49%	1.82%	1.65%	2.19%	2.49%	2.43%	2.06%	1.68%	1.79%	2.39%	1.61%	1.24%	1.16%	2.39%	2.73%	1.72%	1.90%	1.73%	0.99%	0.90%	1.76%	1.27%	1.75%	2.29%	1.04%	1.10%	1.74%	1.22%	2.09%	2.66%	2.04%	2.92%	2.61%	1.78%	1.89%	1.20%	2.52%	2.80%	2.66%	2.12%	1.80%	1.64%	2.60%	2.53%	1.75%	1.60%	1.54%	1.57%	1.44%	1.00%	1.42%	1.34%	1.04%	3.89%	1.79%	2.07%	2.02%	2.48%	1.43%	1.17%	2.12%	2.81%	1.47%	2.20%	2.40%	1.56%	2.69%	1.68%	1.93%	0.88%	3.88%	3.54%									
