Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Балтачевская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1154	УИК №1155	УИК №1156	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1166	УИК №1167	УИК №1168	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16091	374	326	140	260	577	716	130	796	445	172	200	248	375	211	201	158	217	174	253	568	385	130	114	122	209	119	457	1186	364	1137	1149	221	242	284	321	102	380	306	262	265	144	287	388	466	346	164									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17145	391	330	149	299	591	757	138	900	470	184	206	260	397	232	214	163	247	196	274	596	417	135	121	128	217	128	467	1208	383	1200	1188	248	260	311	361	116	396	307	274	306	160	305	410	575	361	169									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12626	295	288	113	205	465	685	113	396	352	128	180	200	318	190	170	105	159	135	199	454	281	120	84	103	165	101	393	942	255	1004	697	174	182	245	215	92	300	250	234	204	107	230	349	385	248	116									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	806	13	9	13	19	27	3	5	50	44	16	0	0	2	5	0	30	18	9	14	31	49	0	12	7	8	9	10	40	19	21	65	20	30	16	23	0	23	12	12	20	10	25	7	22	29	9									
6	Число погашенных избирательных бюллетеней	3713	83	33	23	75	99	69	20	454	74	40	26	60	77	37	44	28	70	52	61	111	87	15	25	18	44	18	64	226	109	175	426	54	48	50	123	24	73	45	28	82	43	50	54	168	84	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	806	13	9	13	19	27	3	5	50	44	16	0	0	2	5	0	30	18	9	14	31	49	0	12	7	8	9	10	40	19	21	65	20	30	16	23	0	23	12	12	20	10	25	7	22	29	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12626	295	288	113	205	465	685	113	396	352	128	180	200	318	190	170	105	159	135	199	454	281	120	84	103	165	101	393	942	255	1004	697	174	182	245	215	92	300	250	234	204	107	230	349	385	248	116									
9	Число недействительных избирательных бюллетеней	86	0	0	0	8	0	0	0	13	0	2	0	0	0	0	0	0	5	2	0	0	6	1	0	0	0	0	0	2	0	9	12	2	1	0	9	0	0	0	0	0	4	0	0	4	6	0									
10	Число действительных избирательных бюллетеней	13346	308	297	126	216	492	688	118	433	396	142	180	200	320	195	170	135	172	142	213	485	324	119	96	110	173	110	403	980	274	1016	750	192	211	261	229	92	323	262	246	224	113	255	356	403	271	125									
