Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Ейская городская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1499									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	74520	1350	1452	1886	2046	1697	1891	1915	2045	1467	1389	1401	1838	1213	2132	1629	1709	1986	1666	2233	1494	1591	1972	2276	2353	1773	2523	2825	2400	1961	2428	401	2707	2016	2183	2164	3015	1216	2640	1297	340									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71849	1200	1400	1800	2000	1700	1800	1800	1900	1400	1300	1300	1800	1000	2000	1600	1700	1900	1600	2200	1400	1500	1900	2200	2300	1700	2500	2800	2300	1900	2400	390	2700	1900	2135	1990	3000	1200	2600	1234	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27110	604	578	831	764	491	682	683	740	462	420	505	611	316	683	499	546	647	542	769	559	473	720	670	973	552	827	1119	780	682	689	155	968	704	1453	1403	1133	488	943	386	60									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2454	39	33	17	78	37	43	36	62	28	48	56	73	45	79	69	49	70	69	74	44	18	84	95	49	13	30	28	158	85	237	39	20	58	64	7	17	46	30	65	262									
6	Число погашенных избирательных бюллетеней	42285	557	789	952	1158	1172	1075	1081	1098	910	832	739	1116	639	1238	1032	1105	1183	989	1357	797	1009	1096	1435	1278	1135	1643	1653	1362	1133	1474	196	1712	1138	618	580	1850	666	1627	783	78									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2454	39	33	17	78	37	43	36	62	28	48	56	73	45	79	69	49	70	69	74	44	18	84	95	49	13	30	28	158	85	237	39	20	58	64	7	17	46	30	65	262									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27095	604	578	831	764	490	679	683	737	462	420	505	611	316	683	499	546	645	542	769	559	473	720	670	973	552	826	1119	780	682	689	155	968	704	1448	1403	1133	488	943	386	60									
9	Число недействительных избирательных бюллетеней	590	6	12	22	17	2	10	15	26	9	5	6	13	7	10	10	16	18	8	19	13	7	12	5	10	11	25	29	20	24	10	6	13	12	24	56	30	16	19	7	10									
10	Число действительных избирательных бюллетеней	28959	637	599	826	825	525	712	704	773	481	463	555	671	354	752	558	579	697	603	824	590	484	792	760	1012	554	831	1118	918	743	916	188	975	750	1488	1354	1120	518	954	444	312									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	800	20	22	32	25	15	20	15	15	15	15	15	15	15	25	15	15	20	15	15	15	15	35	15	15	15	30	31	25	15	25	15	20	15	40	45	30	15	20	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	627	18	16	30	12	9	19	14	13	14	10	9	13	9	23	10	12	15	12	11	12	9	22	9	10	13	25	31	21	12	19	3	20	14	26	42	26	10	20	14	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	996	92	24	72	34	10	20	75	98	15	30	22	22	21	10	10	12	10	5	21	23	11	45	18	13	20	16	25	8	8	9	6	12	9	19	22	11	13	28	17	60									
14	Число погашенных неиспользованных открепительных удостоверений	173	2	6	2	13	6	1	1	2	1	5	6	2	6	2	5	3	5	3	4	3	6	13	6	5	2	5	0	4	3	6	12	0	1	14	3	4	5	0	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	153	3	3	3	2	2	2	2	3	1	4	2	2	1	2	3	6	1	5	5	4	5	4	2	1	5	7	9	5	1	6	0	5	5	2	23	6	3	6	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
