Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
Наименование Избирательной комиссии:    Куйтунская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999					
1	"Число избирателей, внесенных в список избирателей"	26298	786	701	875	584	1006	462	883	539	766	562	945	217	184	107	137	30	563	163	142	173	903	320	87	110	252	84	1394	75	123	154	150	109	110	809	1071	509	147	695	158	260	508	282	138	128	496	184	214	144	244	197	225	163	248	335	175	280	1166	226	983	947	232	641	89	607	101					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26320	760	715	863	540	1000	470	897	558	750	545	930	231	182	107	140	32	578	159	151	169	887	321	88	116	238	89	1379	76	120	150	151	114	99	840	1050	503	137	726	164	261	526	292	142	137	510	185	213	138	247	192	217	157	262	325	179	283	1173	227	1022	980	238	564	98	630	97					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12295	330	344	376	251	470	237	385	198	318	192	338	139	86	80	73	15	235	83	62	97	356	210	58	74	137	51	514	32	63	84	72	67	64	459	426	131	70	377	103	181	256	115	68	63	287	138	179	64	135	92	132	96	146	204	129	108	475	141	453	381	105	251	63	305	71					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1286	22	18	9	75	33	11	43	27	46	7	33	15	14	0	15	3	19	12	5	5	66	16	11	0	18	10	27	4	9	2	9	3	8	56	28	19	12	18	9	0	33	22	5	9	26	0	0	0	15	38	4	24	30	14	3	9	54	0	60	66	15	74	3	43	2					
6	Число погашенных избирательных бюллетеней	12739	408	353	478	214	497	222	469	333	386	346	559	77	82	27	52	14	324	64	84	67	465	95	19	42	83	28	838	40	48	64	70	44	27	325	596	353	55	331	52	80	237	155	69	65	197	47	34	74	97	62	81	37	86	107	47	166	644	86	509	533	118	239	32	282	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1286	22	18	9	75	33	11	43	27	46	7	33	15	14	0	15	3	19	12	5	5	66	16	11	0	18	10	27	4	9	2	9	3	8	56	28	19	12	18	9	0	33	22	5	9	26	0	0	0	15	38	4	24	30	14	3	9	54	0	60	66	15	74	3	43	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12295	330	344	376	251	470	237	385	198	318	192	338	139	86	80	73	15	235	83	62	97	356	210	58	74	137	51	514	32	63	84	72	67	64	459	426	131	70	377	103	181	256	115	68	63	287	138	179	64	135	92	132	96	146	204	129	108	475	141	453	381	105	251	63	305	71					
9	Число недействительных избирательных бюллетеней	246	7	3	7	6	10	9	11	7	11	0	14	4	6	1	0	1	6	4	0	0	9	8	0	0	6	2	6	0	0	0	0	1	0	3	5	1	5	12	0	8	6	2	1	0	5	3	1	2	5	0	0	0	1	3	1	3	9	0	11	12	2	0	1	4	1					
10	Число действительных избирательных бюллетеней	13335	345	359	378	320	493	239	417	218	353	199	357	150	94	79	88	17	248	91	67	102	413	218	69	74	149	59	535	36	72	86	81	69	72	512	449	149	77	383	112	173	283	135	72	72	308	135	178	62	145	130	136	120	175	215	131	114	520	141	502	435	118	325	65	344	72					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	347	9	3	10	14	16	10	9	7	9	7	9	3	2	2	2	1	9	2	2	2	9	3	1	2	3	2	10	1	2	2	2	2	1	22	10	6	2	10	2	2	5	2	2	11	10	2	3	2	3	2	3	2	6	5	2	3	10	3	22	10	2	7	1	6	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	196	8	1	8	9	14	9	9	4	2	0	0	3	0	0	1	1	8	0	0	1	4	3	0	0	2	2	6	0	1	0	0	0	0	22	1	0	0	9	0	0	4	2	0	7	3	0	1	0	2	0	0	0	5	1	1	0	2	0	22	10	1	1	0	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	122	5	5	4	3	4	2	1	0	4	0	5	1	1	1	2	2	3	2	0	1	2	1	0	1	2	1	5	1	1	0	0	2	1	2	5	1	4	0	1	0	1	1	2	0	0	1	1	2	0	2	0	4	1	2	1	2	5	0	5	4	3	4	0	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	151	1	2	2	5	2	1	0	3	7	7	9	0	2	2	1	0	1	2	2	1	5	0	1	2	1	0	4	1	1	2	2	2	1	0	9	6	2	1	2	2	1	0	2	4	7	2	2	2	1	2	3	2	1	4	1	3	8	3	0	0	1	6	1	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
