Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																											
Дата голосования: 04.12.2011																																																																											
																																																																											
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №6																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893					
1	"Число избирателей, внесенных в список избирателей"	133406	258	2426	2154	2207	2683	376	293	2001	2402	2074	1653	1863	1419	1963	1905	1954	1841	2190	2396	2289	2390	2470	1992	1999	2321	2171	2014	2260	2617	1102	2159	1935	2117	2020	2126	2505	2312	2317	2367	2193	1928	1991	2197	2236	2452	2336	2181	2148	380	2289	2287	2380	1488	2229	1844	1875	2129	1686	2022	2182	2006	1789	2387	2379	2466	1579	436	370					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	95700	300	1600	1500	1600	1600	300	200	1500	1700	1500	1700	1500	1000	1300	1400	1400	1400	1600	1600	1600	1800	1700	1500	1400	1600	1500	1400	1600	1700	800	1500	1400	1500	1500	1600	1800	1700	1700	1700	1600	1400	1400	1500	1600	1600	1600	1600	1500	350	1600	1600	2100	1000	1600	1300	1400	1500	1200	1400	1500	1500	1300	1600	1600	1700	1200	400	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	69035	198	1020	994	796	1439	159	156	1000	1430	1193	1230	997	788	1117	975	1079	974	1113	1198	1204	1255	1315	906	1028	1188	1092	1118	1191	1476	594	1142	1006	976	1064	996	1264	1212	1136	1117	1119	942	1024	1249	1231	1357	1311	1026	1193	244	1075	1089	1822	752	1153	876	870	1048	823	951	1053	1080	760	1256	1170	1238	814	222	151					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1294	60	13	27	12	24	0	0	12	28	17	13	10	19	13	5	12	43	15	49	43	55	16	24	9	10	21	15	12	3	42	15	22	11	18	26	21	6	20	17	16	9	18	29	17	19	19	21	17	0	22	48	46	15	18	10	11	13	18	36	47	7	15	14	9	19	3	0	0					
6	Число погашенных избирательных бюллетеней	25371	42	567	479	792	137	141	44	488	242	290	457	493	193	170	420	309	383	472	353	353	490	369	570	363	402	387	267	397	221	164	343	372	513	418	578	515	482	544	566	465	449	358	222	352	224	270	553	290	106	503	463	232	233	429	414	519	439	359	413	400	413	525	330	421	443	383	178	199					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1294	60	13	27	12	24	0	0	12	28	17	13	10	19	13	5	12	43	15	49	43	55	16	24	9	10	21	15	12	3	42	15	22	11	18	26	21	6	20	17	16	9	18	29	17	19	19	21	17	0	22	48	46	15	18	10	11	13	18	36	47	7	15	14	9	19	3	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68895	198	1020	994	796	1439	159	153	999	1430	1193	1218	994	788	1093	975	1079	971	1109	1198	1200	1255	1310	906	1028	1188	1092	1118	1191	1471	594	1142	1005	976	1064	996	1264	1206	1136	1117	1119	942	1019	1243	1229	1357	1308	1025	1186	243	1068	1087	1821	752	1153	876	870	1048	823	947	1048	1071	760	1253	1170	1226	813	222	151					
9	Число недействительных избирательных бюллетеней	1003	3	17	23	12	24	11	4	11	15	25	16	11	9	15	12	9	10	11	13	10	23	19	18	14	2	15	49	10	15	5	19	15	10	22	13	15	10	14	16	22	6	14	12	17	13	19	15	15	1	15	21	53	8	17	4	12	16	9	6	12	11	10	54	20	15	14	5	2					
10	Число действительных избирательных бюллетеней	69186	255	1016	998	796	1439	148	149	1000	1443	1185	1215	993	798	1091	968	1082	1004	1113	1234	1233	1287	1307	912	1023	1196	1098	1084	1193	1459	631	1138	1012	977	1060	1009	1270	1202	1142	1118	1113	945	1023	1260	1229	1363	1308	1031	1188	242	1075	1114	1814	759	1154	882	869	1045	832	977	1083	1067	765	1213	1159	1230	802	217	149					
