Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
"Наименование Избирательной комиссии:    Саратов, Волжская"																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558					
1	"Число избирателей, внесенных в списки"	67282	731	1314	912	1527	1128	750	671	1084	1813	1539	690	960	931	1013	2020	1497	1154	1464	136	63	119	1639	1902	1355	1447	1120	1401	1546	1724	1215	1545	2136	2056	1955	760	329	1364	1622	1456	1193	1419	1027	1617	1440	1766	2056	1441	2095	2020	691	1433	996					
2	"Число бюллетеней, полученных участковыми комиссиями"	66000	740	1330	880	1500	1140	760	660	1040	1800	1530	680	950	930	970	2000	1540	1140	1470	150	80	120	1620	1910	1330	1460	1110	1370	1550	1770	1110	1540	2000	2000	1800	740	400	1340	1600	1430	1150	1300	970	1640	1440	1740	2000	1390	1860	1900	680	1420	1020					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	32704	392	716	566	783	519	457	275	497	782	778	223	303	367	450	1169	776	648	818	136	63	119	759	1002	565	724	483	700	515	772	410	728	1061	1097	818	259	275	510	564	752	484	715	542	846	604	822	1145	889	1188	1042	373	624	599					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2380	29	56	28	59	36	24	25	79	55	70	53	65	44	14	86	58	54	47	0	0	0	83	62	37	34	27	23	38	58	44	41	30	78	55	81	54	83	69	58	52	48	30	67	19	56	22	25	21	9	20	69	105					
6	Число погашенных бюллетеней	30917	319	558	286	658	585	279	360	464	963	682	404	582	519	506	745	706	438	605	14	17	1	778	846	728	702	600	648	997	940	656	771	909	825	927	400	71	747	967	620	614	537	398	727	817	862	833	476	651	849	287	727	316					
7	Число бюллетеней в переносных ящиках для голосования	2380	29	56	28	59	36	24	25	79	55	70	53	65	44	14	86	58	54	47	0	0	0	83	62	37	34	27	23	38	58	44	41	30	78	55	81	54	83	69	58	52	48	30	67	19	56	22	25	21	9	20	69	105					
8	Число бюллетеней в стационарных ящиках для голосования	32683	392	716	563	783	519	457	274	496	782	778	223	301	367	449	1169	775	648	818	136	63	119	759	1002	565	724	482	700	514	770	410	728	1061	1097	818	259	275	508	564	752	484	715	542	844	604	819	1145	889	1188	1042	373	623	599					
9	Число недействительных бюллетеней	507	5	6	7	8	6	3	5	1	6	11	4	9	8	3	6	3	0	2	5	1	0	4	8	7	4	8	6	10	7	11	11	11	25	10	6	9	23	31	6	7	11	5	6	7	17	84	22	6	2	13	18	13					
10	Число действительных бюллетеней	34556	416	766	584	834	549	478	294	574	831	837	272	357	403	460	1249	830	702	863	131	62	119	838	1056	595	754	501	717	542	821	443	758	1080	1150	863	334	320	568	602	804	529	752	567	905	616	858	1083	892	1203	1049	380	674	691					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2525	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	50	70	50	50	50	50	50	50	50	50	80	100	50	50	0	50	50	50	50	50	50	50	50	50	50	50	70	55	50	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1534	22	42	24	37	22	27	21	24	47	48	22	13	18	22	45	41	21	44	0	0	0	29	64	31	17	27	40	35	40	22	33	59	62	42	17	0	23	39	31	21	28	18	25	23	22	39	32	51	55	17	25	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1286	9	12	22	7	5	12	19	44	25	9	18	4	21	11	24	25	46	12	60	63	119	17	14	13	31	13	19	11	20	15	9	2	4	10	13	329	24	31	10	22	14	15	8	5	4	11	16	19	2	5	1	12					
14	Число погашенных открепительных удостоверений	991	28	8	26	13	28	23	29	26	3	2	28	37	32	28	5	9	29	6	0	0	0	21	6	19	33	23	10	15	10	28	17	21	38	8	33	0	27	11	19	29	22	32	25	27	28	11	18	19	0	33	25	23					
