Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Валуйская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №738	УИК №794	УИК №1247									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	55092	450	1212	1140	1210	1925	2363	1566	1963	977	1222	1387	1216	1214	1163	2802	1521	1287	2010	1447	947	1378	1350	364	965	195	200	256	546	279	395	155	646	1291	333	316	818	109	145	135	156	337	230	684	261	379	148	861	1440	501	887	296	1311	419	206	484	429	161	647	252	1775	595	259	415	175	351	196	1201	1021	117									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54019	450	1200	1100	1200	1900	2300	1500	1900	950	1200	1350	1150	1150	1100	2800	1500	1200	2000	1400	900	1300	1300	360	950	200	200	250	550	280	400	160	640	1200	330	310	820	110	140	140	160	330	230	690	250	370	150	850	1450	500	870	290	1300	430	210	490	430	160	650	250	1750	600	250	400	170	350	200	1205	1025	119									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33463	248	619	667	601	1098	1135	708	1030	612	604	741	621	557	524	1331	601	650	968	841	700	850	1183	253	567	131	131	189	361	206	275	132	436	879	219	259	450	90	107	97	109	222	185	382	134	190	74	529	841	336	457	260	934	261	160	394	404	142	477	191	1352	503	230	250	106	199	131	1201	1021	117									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3522	74	45	23	49	89	58	104	94	39	92	41	35	84	35	73	69	105	62	85	20	125	82	64	35	31	54	27	70	27	47	9	71	102	30	9	54	17	16	16	12	33	24	46	62	75	40	73	172	47	142	20	142	45	42	57	15	9	32	31	108	41	19	22	9	32	10	0	0	0									
6	Число погашенных избирательных бюллетеней	17034	128	536	410	550	713	1107	688	776	299	504	568	494	509	541	1396	830	445	970	474	180	325	35	43	348	38	15	34	119	47	78	19	133	219	81	42	316	3	17	27	39	75	21	262	54	105	36	248	437	117	271	10	224	124	8	39	11	9	141	28	290	56	1	128	55	119	59	4	4	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3522	74	45	23	49	89	58	104	94	39	92	41	35	84	35	73	69	105	62	85	20	125	82	64	35	31	54	27	70	27	47	9	71	102	30	9	54	17	16	16	12	33	24	46	62	75	40	73	172	47	142	20	142	45	42	57	15	9	32	31	108	41	19	22	9	32	10	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33463	248	619	667	601	1098	1135	708	1030	612	604	741	621	557	524	1331	601	650	968	841	700	850	1183	253	567	131	131	189	361	206	275	132	436	879	219	259	450	90	107	97	109	222	185	382	134	190	74	529	841	336	457	260	934	261	160	394	404	142	477	191	1352	503	230	250	106	199	131	1201	1021	117									
9	Число недействительных избирательных бюллетеней	744	1	5	17	7	25	30	11	30	7	19	14	13	1	7	27	10	14	26	18	10	20	20	1	8	4	6	3	6	4	3	0	13	143	2	7	12	2	2	0	0	9	1	10	2	4	3	8	16	3	12	12	7	17	1	0	11	0	13	1	12	10	3	4	0	1	3	17	14	2									
10	Число действительных избирательных бюллетеней	36241	321	659	673	643	1162	1163	801	1094	644	677	768	643	640	552	1377	660	741	1004	908	710	955	1245	316	594	158	179	213	425	229	319	141	494	838	247	261	492	105	121	113	121	246	208	418	194	261	111	594	997	380	587	268	1069	289	201	451	408	151	496	221	1448	534	246	268	115	230	138	1184	1007	115									
