Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Себежская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15527	1707	647	929	787	848	606	678	668	1037	296	122	223	182	292	385	157	281	200	398	255	194	1254	826	871	467	215	297	366	339									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10737	1198	450	615	556	592	419	477	470	705	203	83	155	125	206	265	110	192	137	275	176	134	862	564	592	323	163	197	256	237									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6504	763	312	432	294	359	212	250	212	578	108	55	93	66	125	86	49	127	86	166	109	91	563	343	358	189	92	119	164	103									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1004	16	17	5	4	9	6	66	35	50	28	19	20	26	42	91	37	28	27	37	41	18	31	38	34	30	55	66	61	67									
6	Число погашенных избирательных бюллетеней	3229	419	121	178	258	224	201	161	223	77	67	9	42	33	39	88	24	37	24	72	26	25	268	183	200	104	16	12	31	67									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1004	16	17	5	4	9	6	66	35	50	28	19	20	26	42	91	37	28	27	37	41	18	31	38	34	30	55	66	61	67									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6502	763	312	432	294	359	212	250	212	577	108	55	93	66	125	86	49	127	86	165	109	91	563	343	358	189	92	119	164	103									
9	Число недействительных избирательных бюллетеней	188	18	9	9	6	6	8	9	9	17	2	2	2	1	3	4	2	1	9	7	7	2	20	6	9	3	5	1	5	6									
10	Число действительных избирательных бюллетеней	7318	761	320	428	292	362	210	307	238	610	134	72	111	91	164	173	84	154	104	195	143	107	574	375	383	216	142	184	220	164									
