Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Кизнерская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236					
1	"Число избирателей, внесенных в список"	16984	1151	1097	811	196	764	1093	933	937	545	667	635	226	642	490	282	201	506	429	498	318	197	220	568	94	410	477	183	144	229	253	174	544	499	193	126	252					
2	Число полученных избирательных бюллетеней	15230	990	930	735	180	720	1000	820	850	480	590	560	200	560	440	270	180	455	385	470	290	200	200	485	90	390	415	165	145	200	225	160	480	440	180	120	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10738	720	595	525	139	456	582	531	562	311	431	365	181	390	371	230	144	281	312	250	193	129	162	364	50	226	352	160	79	183	201	146	367	357	163	84	146					
5	"Число избирательных бюллетеней, выданных вне помещения"	1921	30	121	39	6	133	22	38	21	11	48	138	11	70	29	32	20	133	37	206	94	58	21	72	25	141	54	0	36	15	5	10	112	53	9	10	61					
6	Число погашенных избирательных бюллетеней	2571	240	214	171	35	131	396	251	267	158	111	57	8	100	40	8	16	41	36	14	3	13	17	49	15	23	9	5	30	2	19	4	1	30	8	26	23					
7	Число избирательных бюллетеней в переносных ящиках	1920	30	121	39	6	133	22	38	21	11	48	137	11	70	29	32	20	133	37	206	94	58	21	72	25	141	54	0	36	15	5	10	112	53	9	10	61					
8	Число бюллетеней в стационарных ящиках для голосования	10737	720	595	525	139	456	582	531	562	311	431	365	181	389	371	230	144	281	312	250	193	129	162	364	50	226	352	160	79	183	201	146	367	357	163	84	146					
9	Число недействительных избирательных бюллетеней	78	9	4	0	4	1	10	4	8	3	4	4	0	4	3	1	1	2	0	2	0	1	0	5	0	0	1	0	1	1	1	0	0	0	1	1	2					
10	Число действительных избирательных бюллетеней	12579	741	712	564	141	588	594	565	575	319	475	498	192	455	397	261	163	412	349	454	287	186	183	431	75	367	405	160	114	197	205	156	479	410	171	93	205					
11	Число полученных открепительных  удостоверений	227	7	9	10	3	28	10	10	7	3	10	5	5	2	5	5	3	9	15	11	5	3	6	5	1	18	2	3	3	5	7	3	1	5	2	0	1					
12	Число выданных открепительных удостоверений	175	7	9	7	1	27	10	6	6	1	6	5	3	2	5	0	3	7	4	11	3	3	5	5	1	16	1	0	2	4	7	3	1	2	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	108	32	9	2	0	4	4	5	5	2	2	2	1	2	2	2	1	1	1	4	0	1	2	1	0	2	4	0	2	2	1	1	3	4	1	2	1					
14	Число неиспользованных открепительных удостоверений	52	0	0	3	2	1	0	4	1	2	4	0	2	0	0	5	0	2	11	0	2	0	1	0	0	2	1	3	1	1	0	0	0	3	1	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	16	2	2	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	175	26	8	20	1	5	13	14	7	4	4	6	0	5	10	4	0	1	5	1	0	0	4	12	0	2	3	0	0	3	1	0	4	5	3	2	2					
		1.38%	3.47%	1.12%	3.55%	0.69%	0.85%	2.15%	2.46%	1.20%	1.24%	0.84%	1.20%	0.00%	1.09%	2.50%	1.53%	0.00%	0.24%	1.43%	0.22%	0.00%	0.00%	2.19%	2.75%	0.00%	0.54%	0.74%	0.00%	0.00%	1.52%	0.49%	0.00%	0.84%	1.22%	1.74%	2.13%	0.97%					
19	. Малышкин Олег Александрович	204	14	6	8	3	11	10	6	11	6	10	9	6	5	10	0	5	7	5	5	2	2	3	12	3	10	5	2	2	3	4	2	7	3	1	2	4					
		1.61%	1.87%	0.84%	1.42%	2.07%	1.87%	1.66%	1.05%	1.89%	1.86%	2.09%	1.79%	3.12%	1.09%	2.50%	0.00%	3.05%	1.69%	1.43%	1.10%	0.70%	1.07%	1.64%	2.75%	4.00%	2.72%	1.23%	1.25%	1.74%	1.52%	1.94%	1.28%	1.46%	0.73%	0.58%	2.13%	1.93%					
20	. Миронов Сергей Михайлович	68	7	2	4	0	4	2	7	3	2	2	1	1	0	2	3	1	2	3	1	0	1	0	4	1	1	1	2	0	2	1	0	1	5	1	1	0					
		0.54%	0.93%	0.28%	0.71%	0.00%	0.68%	0.33%	1.23%	0.51%	0.62%	0.42%	0.20%	0.52%	0.00%	0.50%	1.15%	0.61%	0.48%	0.86%	0.22%	0.00%	0.53%	0.00%	0.92%	1.33%	0.27%	0.25%	1.25%	0.00%	1.01%	0.49%	0.00%	0.21%	1.22%	0.58%	1.06%	0.00%					
21	. Путин Владимир Владимирович	10827	579	606	446	124	537	503	474	505	283	415	448	173	406	291	243	133	384	282	394	268	171	150	368	66	317	362	149	103	177	188	140	410	369	145	58	160					
		85.54%	77.20%	84.64%	79.08%	85.52%	91.17%	83.28%	83.30%	86.62%	87.89%	86.64%	89.24%	90.10%	88.45%	72.75%	92.75%	81.10%	92.75%	80.80%	86.40%	93.38%	91.44%	81.97%	84.40%	88.00%	86.38%	89.16%	93.12%	89.57%	89.39%	91.26%	89.74%	85.59%	90.00%	84.30%	61.70%	77.29%					
22	. Хакамада Ирина Муцуовна	127	10	12	15	2	5	13	7	5	4	13	8	3	2	2	0	2	2	1	3	0	0	0	3	0	2	1	0	1	0	2	1	3	2	1	2	0					
		1.00%	1.33%	1.68%	2.66%	1.38%	0.85%	2.15%	1.23%	0.86%	1.24%	2.71%	1.59%	1.56%	0.44%	0.50%	0.00%	1.22%	0.48%	0.29%	0.66%	0.00%	0.00%	0.00%	0.69%	0.00%	0.54%	0.25%	0.00%	0.87%	0.00%	0.97%	0.64%	0.63%	0.49%	0.58%	2.13%	0.00%					
23	. Харитонов Николай Михайлович	1047	89	68	68	9	17	42	47	37	18	26	24	7	32	74	11	22	14	51	46	16	12	25	23	4	30	30	7	8	11	9	13	54	21	20	26	36					
		8.27%	11.87%	9.50%	12.06%	6.21%	2.89%	6.95%	8.26%	6.35%	5.59%	5.43%	4.78%	3.65%	6.97%	18.50%	4.20%	13.41%	3.38%	14.61%	10.09%	5.57%	6.42%	13.66%	5.28%	5.33%	8.17%	7.39%	4.38%	6.96%	5.56%	4.37%	8.33%	11.27%	5.12%	11.63%	27.66%	17.39%					
																																											
24	Против всех	131	16	10	3	2	9	11	10	7	2	5	2	2	5	8	0	0	2	2	4	1	0	1	9	1	5	3	0	0	1	0	0	0	5	0	2	3					
		1.04%	2.13%	1.40%	0.53%	1.38%	1.53%	1.82%	1.76%	1.20%	0.62%	1.04%	0.40%	1.04%	1.09%	2.00%	0.00%	0.00%	0.48%	0.57%	0.88%	0.35%	0.00%	0.55%	2.06%	1.33%	1.36%	0.74%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	1.22%	0.00%	2.13%	1.45%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
