Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Дмитровский район																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №3642									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	54320	2072	2881	2332	2810	2347	2683	2123	2175	2513	2589	2201	2354	2806	2205	2354	2350	2447	2662	2530	2709	2733	2248	196									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49800	1800	2600	2100	2500	2100	2500	1900	1900	2300	2400	2000	2100	2500	1900	2100	2100	2200	2400	2300	2500	2500	2100	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16769	643	844	649	822	736	822	722	659	852	867	717	805	854	693	770	761	705	840	816	828	750	557	57									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	814	30	26	41	50	42	11	13	12	29	19	34	42	36	31	42	30	26	34	30	42	39	16	139									
6	Число погашенных избирательных бюллетеней	32217	1127	1730	1410	1628	1322	1667	1165	1229	1419	1514	1249	1253	1610	1176	1288	1309	1469	1526	1454	1630	1711	1527	804									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	814	30	26	41	50	42	11	13	12	29	19	34	42	36	31	42	30	26	34	30	42	39	16	139									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16665	643	842	649	821	694	822	721	659	848	866	717	804	850	689	744	761	703	834	811	828	745	557	57									
9	Число недействительных избирательных бюллетеней	302	9	12	7	15	19	15	12	16	20	19	7	11	18	6	13	14	12	20	11	18	12	16	0									
10	Число действительных избирательных бюллетеней	17177	664	856	683	856	717	818	722	655	857	866	744	835	868	714	773	777	717	848	830	852	772	557	196									
