Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
"Наименование Избирательной комиссии:    Тюмень, Восточная"																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764					
1	"Число избирателей, внесенных в список избирателей"	103230	1926	2498	1920	2049	2396	2564	2625	2543	2546	2662	2461	2185	1931	1934	2268	2259	2171	2085	1997	2858	2101	2254	2098	2120	1982	2067	1970	1970	2364	2233	1904	1930	1843	1833	1925	1909	2162	1906	2145	1950	2093	2026	2123	1920	1982	1976	1966	1887	389	176	148					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	102263	1929	2446	1907	2014	2388	2571	2565	2513	2523	2651	2468	2174	1696	1934	2250	2211	2094	2040	1984	2663	2062	2284	2140	1995	2005	1964	1964	1988	2339	2199	1910	1941	1880	1865	1967	1911	2097	1799	2135	2040	2100	2032	2114	1932	1976	1971	1978	1867	385	250	152					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	82696	1821	2122	1569	1681	2024	2024	2012	2055	1979	2026	1796	1514	1449	1618	1802	1978	1745	1758	1692	2252	1784	1910	1608	1478	1619	1400	1552	1494	1831	1784	1446	1531	1509	1491	1531	1550	1669	1617	1713	1644	1722	1720	1817	1591	1574	1667	1629	1410	258	138	92					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	797	14	7	26	19	14	9	11	11	11	8	12	20	5	8	6	8	8	11	2	17	16	27	14	8	75	4	17	12	28	33	12	11	5	15	19	10	21	12	16	15	17	14	9	13	15	9	17	11	1	38	56					
6	Число погашенных избирательных бюллетеней	18770	94	317	312	314	350	538	542	447	533	617	660	640	242	308	442	225	341	271	290	394	262	347	518	509	311	560	395	482	480	382	452	399	366	359	417	351	407	170	406	381	361	298	288	328	387	295	332	446	126	74	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	797	14	7	26	19	14	9	11	11	11	8	12	20	5	8	6	8	8	11	2	17	16	27	14	8	75	4	17	12	28	33	12	11	5	15	19	10	21	12	16	15	17	14	9	13	15	9	17	11	1	38	56					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	82547	1821	2122	1569	1681	2024	2014	2000	2055	1968	2018	1796	1514	1449	1618	1802	1978	1745	1724	1692	2252	1784	1910	1608	1478	1619	1396	1552	1494	1831	1769	1446	1531	1509	1491	1529	1550	1621	1617	1713	1644	1722	1720	1817	1591	1569	1667	1629	1410	258	138	92					
9	Число недействительных избирательных бюллетеней	479	0	2	3	15	30	1	1	21	42	24	24	25	13	0	5	10	2	29	3	13	1	6	0	15	10	18	5	0	0	9	5	5	29	15	2	2	23	3	3	0	30	13	3	3	2	2	2	2	5	0	3					
10	Число действительных избирательных бюллетеней	82865	1835	2127	1592	1685	2008	2022	2010	2045	1937	2002	1784	1509	1441	1626	1803	1976	1751	1706	1691	2256	1799	1931	1622	1471	1684	1382	1564	1506	1859	1793	1453	1537	1485	1491	1546	1558	1619	1626	1726	1659	1709	1721	1823	1601	1582	1674	1644	1419	254	176	145					
