Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Атюрьевская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8593	1392	1166	1404	258	85	119	160	202	152	323	245	413	430	123	136	524	337	165	350	189	229	191									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8870	1435	1200	1450	265	85	120	160	204	154	330	250	430	460	128	140	545	345	168	375	198	233	195									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7401	1286	1072	859	235	70	107	144	180	131	306	222	381	399	113	122	480	263	154	311	172	213	181									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	164	10	10	15	0	0	0	0	11	11	0	0	21	0	0	0	10	47	5	24	0	0	0									
6	Число погашенных избирательных бюллетеней	1305	139	118	576	30	15	13	16	13	12	24	28	28	61	15	18	55	35	9	40	26	20	14									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	164	10	10	15	0	0	0	0	11	11	0	0	21	0	0	0	10	47	5	24	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7400	1286	1071	859	235	70	107	144	180	131	306	222	381	399	113	122	480	263	154	311	172	213	181									
9	Число недействительных избирательных бюллетеней	18	10	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	7546	1286	1081	874	235	70	107	144	191	142	300	222	400	399	113	122	490	310	159	335	172	213	181									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	115	21	10	20	1	0	0	0	1	3	0	0	5	12	4	5	9	9	1	8	5	1	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	97	20	7	19	1	0	0	0	1	2	0	0	2	12	2	4	9	7	1	7	2	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	20	2	0	2	0	1	1	1	0	2	1	1	0	1	0	2	2	3	0	1	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	18	1	3	1	0	0	0	0	0	1	0	0	3	0	2	1	0	2	0	1	3	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	83	8	15	19	1	0	0	0	1	0	0	1	5	11	2	0	5	0	0	11	4	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	8	0	0	3	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0									
		0.11%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	2.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	19	0	0	9	0	0	0	0	4	3	0	0	0	1	0	2	0	0	0	0	0	0	0									
		0.25%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	2.09%	2.11%	0.00%	0.00%	0.00%	0.25%	0.00%	1.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	4	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.05%	0.08%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6979	1259	1067	717	211	58	91	133	176	128	296	202	363	349	101	105	483	285	135	301	166	179	174									
		92.27%	97.15%	98.70%	82.04%	89.79%	82.86%	85.05%	92.36%	92.15%	90.14%	96.73%	90.99%	90.30%	87.47%	89.38%	86.07%	98.57%	91.94%	84.91%	89.85%	96.51%	84.04%	96.13%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0									
		0.08%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.89%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	171	8	5	24	9	6	6	2	4	6	2	13	7	18	4	9	2	10	8	16	1	9	2									
		2.26%	0.62%	0.46%	2.75%	3.83%	8.57%	5.61%	1.39%	2.09%	4.23%	0.65%	5.86%	1.74%	4.51%	3.54%	7.38%	0.41%	3.23%	5.03%	4.78%	0.58%	4.23%	1.10%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
