Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Унечская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091					
1	"Число избирателей, внесенных в списки избирателей"	35522	2228	2100	2394	2193	1460	2048	2184	2025	2203	2284	2240	252	262	475	248	578	851	359	463	528	428	666	603	233	774	538	445	509	513	111	162	139	281	671	377	490	819	300	88					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35010	2210	2080	2330	2160	1450	1950	2140	1990	2140	2180	2220	250	270	480	250	570	860	350	440	520	420	670	610	240	770	530	450	510	520	110	170	130	280	680	380	480	820	320	80					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15950	783	935	1006	1074	602	759	1006	1002	1100	930	959	131	102	227	163	281	440	177	164	148	198	301	287	107	409	284	207	214	249	74	73	84	147	316	194	258	350	158	51					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2399	77	68	44	56	36	223	58	39	53	84	44	5	58	79	15	66	65	34	81	208	54	76	78	38	87	27	50	146	48	8	19	22	36	66	49	19	125	45	13					
6	Число погашенных избирательных бюллетеней	16661	1350	1077	1280	1030	812	968	1076	949	987	1166	1217	114	110	174	72	223	355	139	195	164	168	293	245	95	274	219	193	150	223	28	78	24	97	298	137	203	345	117	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2399	77	68	44	56	36	223	58	39	53	84	44	5	58	79	15	66	65	34	81	208	54	76	78	38	87	27	50	146	48	8	19	22	36	66	49	19	125	45	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15950	783	935	1006	1074	602	759	1006	1002	1100	930	959	131	102	227	163	281	440	177	164	148	198	301	287	107	409	284	207	214	249	74	73	84	147	316	194	258	350	158	51					
9	Число недействительных избирательных бюллетеней	153	7	13	6	7	1	4	7	12	15	10	7	2	1	1	0	3	4	2	1	0	4	4	3	3	5	9	0	2	1	0	0	1	3	0	2	2	4	5	2					
10	Число действительных избирательных бюллетеней	18196	853	990	1044	1123	637	978	1057	1029	1138	1004	996	134	159	305	178	344	501	209	244	356	248	373	362	142	491	302	257	358	296	82	92	105	180	382	241	275	471	198	62					
