Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Звенигородская городская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620					
1	"Число избирателей, внесенных в списки избирателей"	12917	1637	773	994	1231	1540	1354	726	501	2748	1236	177					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10745	1390	575	850	1060	1280	1110	525	400	2385	1035	135					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7382	869	463	532	720	910	757	462	288	1552	707	122					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	436	198	9	22	30	30	46	16	14	34	24	13					
6	Число погашенных избирательных бюллетеней	2926	323	102	296	310	340	307	47	98	799	304	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	436	198	9	22	30	30	46	16	14	34	24	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7381	869	462	532	720	910	757	462	288	1552	707	122					
9	Число недействительных избирательных бюллетеней	147	15	18	15	15	12	14	4	2	35	14	3					
10	Число действительных избирательных бюллетеней	7670	1052	453	539	735	928	789	474	300	1551	717	132					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	175	15	15	15	15	15	15	15	15	25	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	96	13	7	5	11	11	11	6	2	17	13	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	539	23	45	42	8	70	63	184	15	35	48	6					
14	Число погашенных неиспользованных открепительных удостоверений	79	2	8	10	4	4	4	9	13	8	2	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	2	0	0	0	5	1	0					
16	Число утраченных избирательных бюллетеней	1	0	1	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	206	22	17	11	22	33	23	11	10	35	20	2					
		2.64%	2.06%	3.61%	1.99%	2.93%	3.51%	2.86%	2.30%	3.31%	2.21%	2.74%	1.48%					
19	2.Всероссийская политическая партия «Гражданская Сила»	78	7	5	8	6	11	12	5	4	12	8	0					
		0.99%	0.66%	1.06%	1.44%	0.80%	1.17%	1.49%	1.05%	1.32%	0.76%	1.09%	0.00%					
20	3.Политическая партия «Демократическая партия России»	8	1	0	1	2	0	2	0	0	1	1	0					
		0.10%	0.09%	0.00%	0.18%	0.27%	0.00%	0.25%	0.00%	0.00%	0.06%	0.14%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1249	95	62	87	152	180	126	126	36	269	101	15					
		15.98%	8.90%	13.16%	15.70%	20.27%	19.15%	15.69%	26.36%	11.92%	16.96%	13.82%	11.11%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	109	17	4	6	8	26	7	9	6	14	12	0					
		1.39%	1.59%	0.85%	1.08%	1.07%	2.77%	0.87%	1.88%	1.99%	0.88%	1.64%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	26	5	2	5	6	2	5	0	0	0	1	0					
		0.33%	0.47%	0.42%	0.90%	0.80%	0.21%	0.62%	0.00%	0.00%	0.00%	0.14%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	558	70	41	40	41	60	48	56	17	116	54	15					
		7.14%	6.56%	8.70%	7.22%	5.47%	6.38%	5.98%	11.72%	5.63%	7.31%	7.39%	11.11%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	512	57	19	31	44	73	65	43	17	106	53	4					
		6.55%	5.34%	4.03%	5.60%	5.87%	7.77%	8.09%	8.99%	5.63%	6.68%	7.25%	2.96%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	91	11	12	1	8	10	12	5	3	21	7	1					
		1.16%	1.03%	2.55%	0.18%	1.07%	1.06%	1.49%	1.05%	0.99%	1.32%	0.96%	0.74%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4696	752	282	344	437	505	471	208	201	955	449	92					
		60.07%	70.48%	59.87%	62.09%	58.27%	53.72%	58.66%	43.51%	66.56%	60.21%	61.42%	68.15%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	137	15	9	5	9	28	18	11	6	22	11	3					
		1.75%	1.41%	1.91%	0.90%	1.20%	2.98%	2.24%	2.30%	1.99%	1.39%	1.50%	2.22%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
