Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Нарьян-Марская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56					
1	"Число избирателей, внесенных в список"	14061	742	1521	952	1571	815	813	1407	638	1067	927	360	1603	309	1173	163					
2	Число полученных избирательных бюллетеней	12355	640	1150	840	1410	730	710	1270	580	950	840	325	1440	270	1000	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8094	385	992	581	998	501	468	839	340	577	487	186	871	138	643	88					
5	"Число избирательных бюллетеней, выданных вне помещения"	229	33	12	7	20	8	4	8	3	10	5	9	22	3	10	75					
6	Число погашенных избирательных бюллетеней	4033	222	146	252	392	221	238	423	237	363	348	130	547	129	348	37					
7	Число избирательных бюллетеней в переносных ящиках	229	33	12	7	20	8	4	8	3	10	5	9	22	3	10	75					
8	Число бюллетеней в стационарных ящиках для голосования	8091	385	992	581	998	500	468	839	338	577	487	186	871	138	643	88					
9	Число недействительных избирательных бюллетеней	71	7	5	0	6	5	2	6	5	7	4	2	7	2	10	3					
10	Число действительных избирательных бюллетеней	8249	411	999	588	1012	503	470	841	336	580	488	193	886	139	643	160					
11	Число полученных открепительных  удостоверений	178	10	15	15	20	10	10	20	5	15	10	5	20	5	18	0					
12	Число выданных открепительных удостоверений	41	3	1	3	14	2	0	4	1	1	4	0	3	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	1	15	2	2	2	3	2	2	2	3	4	4	0	2	2					
14	Число неиспользованных открепительных удостоверений	137	7	14	12	6	8	10	16	4	14	6	5	17	5	13	0					
15	"Число открепительных удостоверений, выданных в ТИК"	19	1	3	1	7	3	1	1	0	0	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	279	16	34	21	35	18	16	42	13	13	18	7	24	2	18	2					
		3.35%	3.83%	3.39%	3.57%	3.44%	3.54%	3.39%	4.96%	3.81%	2.21%	3.66%	3.59%	2.69%	1.42%	2.76%	1.23%					
19	. Малышкин Олег Александрович	180	10	20	6	22	10	8	22	9	8	16	3	27	4	11	4					
		2.16%	2.39%	1.99%	1.02%	2.16%	1.97%	1.69%	2.60%	2.64%	1.36%	3.25%	1.54%	3.02%	2.84%	1.68%	2.45%					
20	. Миронов Сергей Михайлович	126	5	18	12	23	9	7	14	4	9	6	0	5	1	11	2					
		1.51%	1.20%	1.79%	2.04%	2.26%	1.77%	1.48%	1.65%	1.17%	1.53%	1.22%	0.00%	0.56%	0.71%	1.68%	1.23%					
21	. Путин Владимир Владимирович	6079	323	739	434	703	367	355	597	226	436	347	148	671	113	483	137					
		73.06%	77.27%	73.61%	73.81%	69.06%	72.24%	75.21%	70.48%	66.28%	74.28%	70.53%	75.90%	75.14%	80.14%	73.97%	84.05%					
22	. Хакамада Ирина Муцуовна	459	19	55	37	63	22	27	49	33	33	38	12	32	3	29	7					
		5.52%	4.55%	5.48%	6.29%	6.19%	4.33%	5.72%	5.79%	9.68%	5.62%	7.72%	6.15%	3.58%	2.13%	4.44%	4.29%					
23	. Харитонов Николай Михайлович	710	24	80	43	107	39	31	78	35	56	43	16	77	11	65	5					
		8.53%	5.74%	7.97%	7.31%	10.51%	7.68%	6.57%	9.21%	10.26%	9.54%	8.74%	8.21%	8.62%	7.80%	9.95%	3.07%					
																						
24	Против всех	416	14	53	35	59	38	26	39	16	25	20	7	50	5	26	3					
		5.00%	3.35%	5.28%	5.95%	5.80%	7.48%	5.51%	4.60%	4.69%	4.26%	4.07%	3.59%	5.60%	3.55%	3.98%	1.84%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
