Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Нефтекумская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906					
1	"Число избирателей, внесенных в список избирателей"	45414	2313	2155	2190	1773	1792	1822	1826	1787	1809	1064	1563	1261	679	941	485	441	891	1093	402	2148	1758	184	2062	229	1718	248	404	259	528	1763	1822	395	780	138	2074	1984	633					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45742	2319	2176	2198	1788	1797	1845	1860	1808	1815	1079	1572	1273	687	957	489	434	890	1107	403	2162	1767	186	2084	231	1740	247	401	257	525	1777	1829	391	784	135	2109	2002	618					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21736	875	891	933	1185	1074	883	845	646	872	362	635	457	340	468	335	278	511	472	196	861	719	99	1073	144	1004	194	228	179	310	1028	693	304	484	129	808	863	358					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2401	88	38	69	66	23	115	110	88	330	39	44	28	36	29	11	32	114	33	57	256	179	24	98	8	48	8	26	7	21	23	99	7	22	0	162	43	20					
6	Число погашенных избирательных бюллетеней	21605	1356	1247	1196	537	700	847	905	1074	613	678	893	788	311	460	143	124	265	602	150	1045	869	63	913	79	688	45	147	71	194	726	1037	80	278	6	1139	1096	240					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2401	88	38	69	66	23	115	110	88	330	39	44	28	36	29	11	32	114	33	57	256	179	24	98	8	48	8	26	7	21	23	99	7	22	0	162	43	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21600	868	891	932	1185	1074	864	841	646	825	362	635	457	340	468	335	278	511	472	196	861	719	99	1073	144	1004	194	228	179	310	1028	693	304	484	129	754	859	358					
9	Число недействительных избирательных бюллетеней	379	12	10	15	16	21	15	21	31	15	6	18	9	8	5	2	1	32	12	3	17	25	2	3	0	14	1	6	3	1	3	21	0	1	2	14	9	5					
10	Число действительных избирательных бюллетеней	23622	944	919	986	1235	1076	964	930	703	1140	395	661	476	368	492	344	309	593	493	250	1100	873	121	1168	152	1038	201	248	183	330	1048	771	311	505	127	902	893	373					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	383	18	20	23	20	20	20	22	17	20	10	10	9	6	5	5	5	5	10	5	10	10	5	10	5	13	5	5	5	5	10	10	5	5	5	10	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	234	8	18	21	15	14	9	21	9	17	6	6	4	6	4	2	0	3	5	0	6	6	5	4	5	10	0	2	0	2	3	0	0	2	0	9	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	198	3	7	10	4	7	9	1	1	14	1	5	0	3	2	2	6	6	3	3	4	4	2	1	3	8	4	5	5	10	7	11	4	5	3	7	7	21					
14	Число погашенных неиспользованных открепительных удостоверений	149	10	2	2	5	6	11	1	8	3	4	4	5	0	1	3	5	2	5	5	4	4	0	6	0	3	5	3	5	3	7	10	5	3	5	1	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	2	1	1	2	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1975	84	119	110	175	124	147	119	110	120	55	108	59	38	18	7	13	20	38	9	65	52	3	55	3	42	8	11	12	26	57	39	7	15	3	50	40	14					
		8.23%	8.79%	12.81%	10.99%	13.99%	11.30%	15.02%	12.51%	14.99%	10.39%	13.72%	15.91%	12.16%	10.11%	3.62%	2.02%	4.19%	3.20%	7.52%	3.56%	5.82%	5.79%	2.44%	4.70%	1.97%	3.99%	3.96%	4.33%	6.45%	7.85%	5.42%	4.92%	2.25%	2.96%	2.33%	5.46%	4.43%	3.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2067	113	121	120	140	122	144	135	129	132	69	145	91	49	8	16	27	29	26	9	101	74	2	40	20	71	4	3	4	12	17	20	6	8	3	17	27	13					
		8.61%	11.82%	13.02%	11.99%	11.19%	11.12%	14.71%	14.20%	17.57%	11.43%	17.21%	21.35%	18.76%	13.03%	1.61%	4.62%	8.71%	4.64%	5.15%	3.56%	9.04%	8.24%	1.63%	3.42%	13.16%	6.75%	1.98%	1.18%	2.15%	3.63%	1.62%	2.53%	1.93%	1.58%	2.33%	1.86%	2.99%	3.44%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	137	6	6	11	7	12	5	7	4	9	3	2	6	1	1	2	0	1	3	2	8	5	2	3	1	8	1	1	1	0	2	2	1	0	1	5	6	2					
		0.57%	0.63%	0.65%	1.10%	0.56%	1.09%	0.51%	0.74%	0.54%	0.78%	0.75%	0.29%	1.24%	0.27%	0.20%	0.58%	0.00%	0.16%	0.59%	0.79%	0.72%	0.56%	1.63%	0.26%	0.66%	0.76%	0.50%	0.39%	0.54%	0.00%	0.19%	0.25%	0.32%	0.00%	0.78%	0.55%	0.67%	0.53%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3382	150	177	166	162	200	116	122	109	162	54	105	116	66	93	49	37	51	60	20	158	108	18	194	19	188	31	40	21	36	112	128	15	49	10	116	98	26					
		14.09%	15.69%	19.05%	16.58%	12.95%	18.23%	11.85%	12.83%	14.85%	14.03%	13.47%	15.46%	23.92%	17.55%	18.71%	14.16%	11.94%	8.16%	11.88%	7.91%	14.15%	12.03%	14.63%	16.57%	12.50%	17.87%	15.35%	15.75%	11.29%	10.88%	10.66%	16.16%	4.82%	9.68%	7.75%	12.66%	10.86%	6.88%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	167	8	22	8	12	15	19	8	5	17	1	2	5	2	0	0	0	2	13	0	8	5	1	1	0	0	0	0	2	1	0	1	0	2	0	3	4	0					
		0.70%	0.84%	2.37%	0.80%	0.96%	1.37%	1.94%	0.84%	0.68%	1.47%	0.25%	0.29%	1.03%	0.53%	0.00%	0.00%	0.00%	0.32%	2.57%	0.00%	0.72%	0.56%	0.81%	0.09%	0.00%	0.00%	0.00%	0.00%	1.08%	0.30%	0.00%	0.13%	0.00%	0.40%	0.00%	0.33%	0.44%	0.00%					
