Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Бузулукская городская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64021	891	2021	1448	1498	1836	896	1464	1404	1376	1088	762	1660	1093	783	1011	2425	1663	1423	1888	1151	1512	2513	2622	1887	1538	1790	2365	445	2203	931	1851	1348	1221	923	2118	2165	1316	1105	1875	2511	249	1752									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62100	800	2000	1400	1500	1800	800	1400	1400	1300	1000	700	1600	1000	700	1000	2400	1600	1400	1800	1100	1500	2500	2600	1800	1500	1700	2300	400	2200	900	1800	1300	1200	900	2100	2100	1300	1100	1800	2500	200	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24714	296	835	538	483	723	324	573	485	492	380	285	691	401	281	421	964	694	627	619	438	565	867	942	647	630	693	767	145	740	396	706	578	457	308	877	937	602	496	853	1228	111	619									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	696	3	17	6	189	15	3	11	13	11	4	15	14	34	1	11	24	24	10	10	10	11	24	16	18	2	20	9	4	23	4	17	17	13	12	14	24	10	3	3	8	7	12									
6	Число погашенных избирательных бюллетеней	36690	501	1148	856	828	1062	473	816	902	797	616	400	895	565	418	568	1412	882	763	1171	652	924	1609	1642	1135	868	987	1524	251	1437	500	1077	705	730	580	1209	1139	688	601	944	1264	82	1069									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	696	3	17	6	189	15	3	11	13	11	4	15	14	34	1	11	24	24	10	10	10	11	24	16	18	2	20	9	4	23	4	17	17	13	12	14	24	10	3	3	8	7	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24704	293	835	538	483	723	323	573	485	492	380	285	691	401	281	421	964	694	627	619	438	564	867	942	647	630	693	767	145	740	396	706	575	457	307	877	937	602	496	852	1228	111	619									
9	Число недействительных избирательных бюллетеней	490	4	20	11	2	13	11	7	8	15	14	5	17	7	5	10	15	14	14	16	4	13	20	12	12	15	16	11	2	17	14	19	24	14	6	15	13	9	12	12	11	2	9									
10	Число действительных избирательных бюллетеней	24910	292	832	533	670	725	315	577	490	488	370	295	688	428	277	422	973	704	623	613	444	562	871	946	653	617	697	765	147	746	386	704	568	456	313	876	948	603	487	843	1225	116	622									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	461	6	15	15	12	10	10	16	10	11	6	6	20	7	7	7	16	15	13	5	5	10	15	25	15	20	16	10	0	10	5	10	10	10	5	11	12	7	10	15	16	1	16									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	423	6	13	9	12	9	9	16	8	11	5	5	20	7	7	7	16	13	12	5	5	8	15	20	14	20	15	8	0	9	5	9	10	8	4	11	12	7	10	12	16	1	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	340	10	13	7	14	9	7	15	4	6	5	3	15	9	6	5	15	4	5	9	10	8	10	13	12	9	14	14	5	6	4	8	9	4	7	4	9	4	2	3	3	12	9									
14	Число погашенных неиспользованных открепительных удостоверений	38	0	2	6	0	1	1	0	2	0	1	1	0	0	0	0	0	2	1	0	0	2	0	5	1	0	1	2	0	1	0	1	0	2	1	0	0	0	0	3	0	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	1	1	1	2	1	0	2	0	0	0	1	3	1	0	0	0	2	0	1	0	1	2	1	1	1	1	2	0	0	4	3	1	0	0	0	1	0	0	1	3	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	332	3	8	10	9	10	2	5	7	3	2	2	12	9	7	5	10	4	9	10	4	13	12	12	6	11	9	12	0	10	5	14	11	4	4	12	12	4	6	18	16	2	8									
		1.31%	1.01%	0.94%	1.84%	1.34%	1.36%	0.61%	0.86%	1.41%	0.60%	0.52%	0.67%	1.70%	2.07%	2.48%	1.16%	1.01%	0.56%	1.41%	1.59%	0.89%	2.26%	1.35%	1.25%	0.90%	1.74%	1.26%	1.55%	0.00%	1.31%	1.25%	1.94%	1.86%	0.85%	1.25%	1.35%	1.25%	0.65%	1.20%	2.11%	1.29%	1.69%	1.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	671	6	24	13	18	18	9	17	12	7	7	10	20	10	4	8	30	18	18	10	8	24	16	26	25	21	23	20	7	24	10	24	16	13	10	25	20	13	7	25	32	7	16									
		2.64%	2.03%	2.82%	2.39%	2.68%	2.44%	2.76%	2.91%	2.41%	1.39%	1.82%	3.33%	2.84%	2.30%	1.42%	1.85%	3.04%	2.51%	2.83%	1.59%	1.79%	4.17%	1.80%	2.71%	3.76%	3.32%	3.23%	2.58%	4.70%	3.15%	2.50%	3.32%	2.70%	2.77%	3.13%	2.81%	2.08%	2.12%	1.40%	2.92%	2.59%	5.93%	2.54%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	510	9	19	12	11	19	10	12	5	6	7	6	17	9	7	7	16	19	19	7	11	8	17	16	17	10	24	13	1	13	8	21	6	6	5	17	18	8	8	20	29	3	14									
		2.01%	3.04%	2.23%	2.21%	1.64%	2.57%	3.07%	2.05%	1.00%	1.19%	1.82%	2.00%	2.41%	2.07%	2.48%	1.62%	1.62%	2.65%	2.98%	1.11%	2.46%	1.39%	1.91%	1.67%	2.56%	1.58%	3.37%	1.68%	0.67%	1.70%	2.00%	2.90%	1.01%	1.28%	1.57%	1.91%	1.87%	1.31%	1.60%	2.34%	2.35%	2.54%	2.22%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8850	98	274	176	331	248	119	190	190	174	132	118	249	149	110	186	336	223	220	205	169	175	315	331	239	218	215	277	50	248	159	247	197	137	116	284	343	203	177	299	457	44	222									
		34.84%	33.11%	32.16%	32.35%	49.26%	33.60%	36.50%	32.53%	38.15%	34.59%	34.38%	39.33%	35.32%	34.25%	39.01%	43.06%	34.01%	31.06%	34.54%	32.59%	37.72%	30.43%	35.35%	34.55%	35.94%	34.49%	30.15%	35.70%	33.56%	32.50%	39.75%	34.16%	33.28%	29.15%	36.36%	31.87%	35.69%	33.17%	35.47%	34.97%	36.97%	37.29%	35.18%									
