Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Матвеево-Курганская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33500	646	836	531	700	338	82	1056	1224	758	830	972	333	598	669	968	1083	346	2387	2059	2134	2337	2404	204	783	309	627	640	531	1067	884	600	2018	1202	544	800									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32780	650	850	500	700	300	80	1050	1200	798	852	950	300	600	650	950	1050	350	2200	2050	2200	2200	2200	200	750	300	600	650	500	1050	850	600	2050	1200	550	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14949	273	358	166	303	168	47	456	725	422	476	479	168	263	423	494	728	128	1031	873	958	932	960	87	289	174	333	274	207	394	385	245	776	358	192	404									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2676	54	50	60	49	56	7	126	69	37	80	85	38	54	51	110	133	55	58	77	107	174	91	31	19	48	38	77	65	118	207	59	192	98	67	36									
6	Число погашенных избирательных бюллетеней	15155	323	442	274	348	76	26	468	406	339	296	386	94	283	176	346	189	167	1111	1100	1135	1094	1149	82	442	78	229	299	228	538	258	296	1082	744	291	360									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2676	54	50	60	49	56	7	126	69	37	80	85	38	54	51	110	133	55	58	77	107	174	91	31	19	48	38	77	65	118	207	59	192	98	67	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14948	273	358	166	303	168	47	456	725	422	475	479	168	263	423	494	728	128	1031	873	958	932	960	87	289	174	333	274	207	394	385	245	776	358	192	404									
9	Число недействительных избирательных бюллетеней	409	6	6	2	19	10	1	13	14	11	9	23	10	14	5	14	17	0	30	28	30	21	23	5	4	3	7	10	7	3	4	17	8	11	10	14									
10	Число действительных избирательных бюллетеней	17215	321	402	224	333	214	53	569	780	448	546	541	196	303	469	590	844	183	1059	922	1035	1085	1028	113	304	219	364	341	265	509	588	287	960	445	249	426									
