Выборы Президента Российской Федерации																																																										
Дата голосования: 18.03.2018																																																										
																																																										
Наименование Избирательной комиссии:    Бердская городская																																																										
																																																										
Сводная таблица итогов голосования																																																										
																																																										
	Число участковых избирательных комиссий	47																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	47																																																								
																																																										
		Сумма	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373									
1	"Число избирателей, включенных в список избирателей"	84368	1021	590	2187	2699	1170	1790	2277	887	2400	1061	2170	2194	1239	1649	1241	1114	1134	2317	808	1452	2258	2177	1226	1042	2525	1382	1183	2586	2562	1107	1840	2602	2654	1876	2546	2794	1296	1129	2694	2580	1892	1828	1106	2767	1479	1225	2612									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80950	900	500	2000	2600	1050	1700	2250	800	2300	1000	2050	2150	1200	1450	1200	1050	1100	2250	750	1400	2200	2100	1150	1000	2500	1300	1150	2550	2550	1100	1800	2550	2550	1800	2500	2700	1200	1050	2650	2500	1800	1750	1050	2700	1350	1200	2500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	50108	540	269	1282	1475	697	1156	1460	537	1497	669	1385	1343	785	1087	808	751	677	1371	431	856	1308	1212	744	617	1365	828	645	1386	1434	570	1070	1401	1690	952	1514	1737	879	748	1708	1663	1104	1175	725	1486	875	780	1416									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1937	19	229	48	102	26	43	19	12	32	18	37	50	27	33	15	26	29	71	13	26	55	66	24	25	26	15	35	37	47	11	39	53	38	28	41	41	24	17	68	35	17	22	21	23	115	54	85									
6	Число погашенных избирательных бюллетеней	28903	341	2	670	1023	327	501	771	251	771	313	628	757	388	330	377	273	394	808	306	518	836	822	382	358	1109	457	470	1127	1069	519	690	1096	822	820	945	922	297	285	874	802	679	553	304	1191	360	366	999									
