Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Мончегорская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340					
1	"Число избирателей, внесенных в списки"	44748	2760	2698	2563	2418	2418	1037	1013	1545	1220	1752	2084	2397	2355	1969	221	2036	1908	1137	1521	2633	2070	1639	942	74	212	2126					
2	"Число бюллетеней, полученных участковыми комиссиями"	44717	2745	2634	2507	2435	2382	1033	1041	1502	1232	1936	2107	2420	2424	1973	220	2068	1915	1084	1475	2630	2030	1632	930	71	212	2079					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23041	1318	1237	1326	1117	1308	542	502	794	679	1003	1189	1300	1300	1077	220	1226	1052	499	811	1320	849	646	365	28	125	1208					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	537	19	17	15	21	35	33	16	38	23	27	24	11	22	43	0	25	29	14	21	20	46	14	7	0	0	17					
6	Число погашенных бюллетеней	21139	1408	1380	1166	1297	1039	458	523	670	530	906	894	1109	1102	853	0	817	834	571	643	1290	1135	972	558	43	87	854					
7	Число бюллетеней в переносных ящиках для голосования	537	19	17	15	21	35	33	16	38	23	27	24	11	22	43	0	25	29	14	21	20	46	14	7	0	0	17					
8	Число бюллетеней в стационарных ящиках для голосования	23015	1312	1236	1324	1117	1303	542	502	794	679	1001	1189	1299	1300	1074	220	1225	1050	499	811	1320	849	645	365	28	125	1206					
9	Число недействительных бюллетеней	154	11	3	13	0	4	6	2	10	11	9	12	8	6	8	1	13	4	1	5	5	6	6	1	0	3	6					
10	Число действительных бюллетеней	23398	1320	1250	1326	1138	1334	569	516	822	691	1019	1201	1302	1316	1109	219	1237	1075	512	827	1335	889	653	371	28	122	1217					
